count,lemma
13,system
12,vehicle
12,state
12,problem
9,condition
8,school
8,law
7,job
7,opportunity
7,world
7,form
7,endangerment
7,market
6,""
6,effect
6,culture
6,climate
6,situation
5,class
5,energy
5,barrier
5,program
5,public
4,work
4,power
4,process
4,type
4,feel
4,information
4,credit
4,network
4,community
4,right
4,human
4,category
4,office
4,sense
4,interest
4,risk
4,exemption
4,government
4,health
4,test
4,waste
3,economy
3,demand
3,art
3,airtouch
3,section
3,labor
3,use
3,people
3,company
3,mechanism
3,citizen
3,circumstance
3,story
3,presumption
3,danger
3,hierarchy
3,militia
3,offense
3,technology
3,man
3,percept
3,burden
3,response
3,environment
3,star
3,knowledge
3,reality
3,imagination
3,computer
3,land
3,level
3,agency
3,nation-state
3,nation
3,thing
3,balance
3,zone
3,wave
3,harm
3,dam
3,change
2,application
2,being
2,image
2,impression
2,radical
2,crime
2,opening
2,illusion
2,tradition
2,expression
2,motor
2,institution
2,present
2,theory
2,teacher
2,potential
2,space
2,rule
2,surface
2,exception
2,subsidy
2,record
2,agreement
2,challenge
2,function
2,analog
2,revulsion
2,classroom
2,strategy
2,polity
2,revolution
2,child
2,democracy
2,question
2,confusion
2,profit
2,relationship
2,pollution
2,association
2,//
2,business
2,step
2,reform
2,advantage
2,commission
2,consciousness
2,traffic
2,future
2,secret
2,self
2,individual
2,access
2,transport
2,university
2,opposition
2,atmosphere
2,set
2,scene
2,registry
2,earl
2,place
2,trade
2,bureaucracy
2,structure
2,issue
2,bank
2,development
2,newspaper
2,society
2,difficulty
2,size
2,hazard
2,crisis
2,combustion
2,park
2,birth
2,amount
2,industry
2,science
2,construct
2,mass
2,education
2,policy
2,abstraction
2,building
2,mitigation
2,laser
1,spot
1,expectation
1,period
1,rear
1,transformation
1,fertilizer
1,teen
1,propaganda
1,vision
1,haven
1,representative
1,smell
1,list
1,constituent
1,province
1,employee
1,immigrant
1,fiber-optic
1,operation
1,personality
1,curiosity
1,probability
1,dance
1,macrostructure
1,positivism
1,possibility
1,password
1,civilization
1,blood
1,confluence
1,evidence
1,softness
1,otc
1,monument
1,middle
1,cathedral
1,survey
1,think
1,single
1,technique
1,wish
1,venture
1,roof
1,save
1,investment
1,population
1,appetite
1,resource
1,universe
1,book
1,representation
1,reign
1,other
1,dilemma
1,oppommc
1,turkey
1,campaign
1,guerra
1,energy-storage
1,path
1,jamaican
1,management
1,redistribution
1,grief
1,national
1,sister
1,disposal
1,adversary
1,nursery
1,lagoon
1,strain
1,belief
1,candidate
1,village
1,sanga
1,inverse
1,absolution
1,cloth
1,domain
1,bell
1,engineering
1,person
1,hypertext
1,back
1,nonattainment
1,option
1,wind
1,growth
1,one
1,transfer
1,chemical
1,jealousy
1,communism
1,phrase
1,starvation
1,incinerator
1,mystery
1,simulation
1,cad
1,research
1,map
1,peak
1,magnitude
1,exclusion
1,fairy
1,wealth
1,unsettle
1,flower
1,amendment
1,iron
1,mood
1,--
1,project
1,ozone-laden
1,area
1,object
1,batch
1,incident
1,body
1,legislature
1,context
1,initiation
1,fix
