lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[SUPPLY],3.0,17.0,10.0,4.0,4.0,8.0,13.0,10.0,9.0,6.0,6.0,9.0,45.0,2.0,20.0,28.0,14.0,5.0,8.0,221.0
[ATTENTION],11.0,13.0,7.0,14.0,11.0,17.0,7.0,14.0,11.0,8.0,6.0,7.0,12.0,8.0,5.0,10.0,5.0,6.0,13.0,185.0
[MAN],7.0,7.0,6.0,9.0,5.0,15.0,9.0,20.0,14.0,19.0,13.0,13.0,8.0,7.0,8.0,7.0,7.0,3.0,2.0,179.0
[PRICE],2.0,7.0,5.0,8.0,11.0,2.0,6.0,3.0,4.0,4.0,8.0,13.0,29.0,5.0,35.0,14.0,7.0,2.0,2.0,167.0
[LABOR],5.0,4.0,8.0,25.0,6.0,6.0,9.0,16.0,9.0,7.0,8.0,22.0,10.0,6.0,4.0,2.0,2.0,7.0,4.0,160.0
[MONEY],6.0,19.0,3.0,8.0,14.0,5.0,6.0,13.0,10.0,9.0,8.0,12.0,10.0,2.0,8.0,6.0,9.0,2.0,5.0,155.0
[GOVERNMENT],5.0,10.0,4.0,5.0,5.0,3.0,4.0,17.0,5.0,6.0,5.0,14.0,12.0,7.0,7.0,8.0,11.0,1.0,2.0,131.0
[RIGHT],4.0,3.0,3.0,6.0,9.0,9.0,8.0,8.0,3.0,12.0,6.0,10.0,4.0,8.0,8.0,5.0,11.0,6.0,4.0,127.0
[GOOD],2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,3.0,5.0,34.0,22.0,8.0,9.0,8.0,10.0,4.0,2.0,118.0
[SERVICE],3.0,2.0,3.0,6.0,2.0,3.0,4.0,2.0,6.0,5.0,5.0,6.0,12.0,9.0,6.0,9.0,11.0,16.0,6.0,116.0
[PRODUCT],3.0,2.0,3.0,7.0,1.0,6.0,1.0,4.0,5.0,5.0,4.0,5.0,15.0,8.0,22.0,5.0,5.0,5.0,5.0,111.0
[PUBLIC],7.0,10.0,4.0,3.0,4.0,6.0,3.0,11.0,3.0,9.0,4.0,6.0,3.0,6.0,5.0,7.0,6.0,3.0,2.0,102.0
[PEOPLE],5.0,2.0,3.0,4.0,1.0,3.0,6.0,10.0,7.0,7.0,4.0,7.0,5.0,5.0,9.0,5.0,4.0,2.0,2.0,91.0
[INCREASE],3.0,2.0,4.0,7.0,3.0,1.0,5.0,1.0,1.0,6.0,2.0,9.0,5.0,5.0,10.0,14.0,6.0,4.0,3.0,91.0
[EXPLANATION],5.0,0.0,4.0,7.0,3.0,6.0,5.0,2.0,6.0,3.0,9.0,8.0,3.0,7.0,7.0,3.0,7.0,1.0,1.0,87.0
[CHANGE],5.0,0.0,4.0,2.0,1.0,5.0,3.0,4.0,5.0,6.0,6.0,5.0,3.0,3.0,7.0,2.0,10.0,5.0,9.0,85.0
[POWER],3.0,3.0,6.0,4.0,4.0,6.0,1.0,2.0,2.0,3.0,6.0,8.0,10.0,5.0,3.0,5.0,4.0,2.0,4.0,81.0
[WORK],0.0,2.0,0.0,5.0,6.0,2.0,7.0,5.0,5.0,5.0,10.0,4.0,7.0,4.0,4.0,2.0,4.0,3.0,5.0,80.0
[USE],3.0,0.0,2.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,7.0,1.0,8.0,1.0,12.0,6.0,3.0,6.0,0.0,73.0
[WAGE],0.0,2.0,1.0,2.0,0.0,1.0,5.0,0.0,3.0,5.0,4.0,9.0,9.0,5.0,4.0,10.0,10.0,1.0,2.0,73.0
[WOMAN],1.0,0.0,4.0,1.0,2.0,2.0,5.0,11.0,3.0,4.0,10.0,8.0,2.0,3.0,1.0,5.0,5.0,1.0,3.0,71.0
[ACTION],1.0,0.0,2.0,4.0,4.0,2.0,4.0,5.0,2.0,5.0,3.0,6.0,8.0,3.0,5.0,5.0,7.0,1.0,3.0,70.0
[LIFE],0.0,2.0,2.0,1.0,7.0,4.0,3.0,11.0,6.0,1.0,3.0,5.0,4.0,2.0,8.0,1.0,2.0,3.0,4.0,69.0
[SCHEDULE],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,57.0,2.0,5.0,1.0,1.0,68.0
[MARKET],2.0,1.0,2.0,4.0,2.0,2.0,4.0,5.0,3.0,1.0,1.0,6.0,6.0,5.0,8.0,6.0,5.0,4.0,1.0,68.0
[THING],2.0,2.0,4.0,2.0,1.0,2.0,6.0,5.0,4.0,6.0,7.0,8.0,3.0,4.0,6.0,1.0,2.0,0.0,1.0,66.0
[PAYMENT],4.0,8.0,3.0,4.0,7.0,3.0,5.0,0.0,4.0,4.0,3.0,5.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,65.0
[STATE],4.0,2.0,4.0,3.0,3.0,1.0,2.0,5.0,2.0,3.0,10.0,3.0,2.0,1.0,5.0,2.0,6.0,3.0,2.0,63.0
[FOOD],2.0,0.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,9.0,4.0,2.0,4.0,2.0,5.0,1.0,15.0,61.0
[SURRENDER],5.0,3.0,1.0,8.0,2.0,7.0,5.0,4.0,7.0,5.0,1.0,0.0,3.0,1.0,0.0,3.0,1.0,2.0,1.0,59.0
[CONSIDERATION],3.0,3.0,9.0,4.0,2.0,4.0,5.0,3.0,4.0,3.0,6.0,0.0,6.0,0.0,2.0,2.0,0.0,2.0,0.0,58.0
[GENERAL],1.0,2.0,3.0,16.0,2.0,1.0,0.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,3.0,4.0,3.0,1.0,1.0,57.0
[REASON],6.0,5.0,5.0,6.0,2.0,1.0,5.0,1.0,3.0,3.0,4.0,4.0,0.0,1.0,4.0,0.0,2.0,2.0,3.0,57.0
[JUSTICE],4.0,2.0,6.0,2.0,2.0,3.0,5.0,7.0,2.0,3.0,0.0,2.0,0.0,1.0,4.0,5.0,3.0,2.0,3.0,56.0
[LABOUR],4.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,19.0,0.0,0.0,0.0,56.0
[CAPITAL],4.0,4.0,10.0,1.0,3.0,1.0,2.0,0.0,1.0,3.0,4.0,3.0,3.0,0.0,5.0,9.0,1.0,0.0,1.0,55.0
[CURVE],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,7.0,6.0,0.0,0.0,55.0
[CHILD],1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,7.0,4.0,3.0,7.0,2.0,3.0,8.0,2.0,2.0,5.0,54.0
[REFORM],1.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,6.0,4.0,5.0,1.0,6.0,4.0,5.0,1.0,5.0,2.0,0.0,54.0
[OTHER],2.0,8.0,2.0,5.0,1.0,1.0,5.0,2.0,5.0,2.0,1.0,3.0,5.0,4.0,0.0,3.0,4.0,1.0,0.0,54.0
