count,lemma
64,""
50,power
50,account
38,congress
36,way
21,reason
20,life
19,opportunity
18,idea
14,name
14,direction
14,rule
14,depth
14,man
14,pleasure
14,order
14,hope
13,place
13,point
12,rise
12,strength
12,proof
12,evidence
12,child
11,weight
11,command
11,pain
11,part
11,state
11,heart
11,view
11,thanks
11,character
10,constitution
10,people
10,--
10,word
10,grace
10,other
10,comfort
10,thing
10,peace
9,opinion
9,god
9,public
9,effect
9,information
9,attention
8,law
8,appearance
8,birth
8,language
8,light
8,credit
8,president
8,general
8,offense
8,height
7,government
7,world
7,satisfaction
7,/z/
7,knowledge
7,son
7,employment
7,religion
7,present
7,assent
6,breadth
6,section
6,father
6,advantage
6,passage
6,example
6,cause
6,ground
6,vote
6,occasion
6,case
6,nature
6,support
6,friend
6,answer
6,right
5,blessing
5,author
5,picture
5,jurisdiction
5,change
5,force
5,manner
5,lesson
5,result
5,subject
5,education
5,consent
5,student
5,person
5,tone
5,rest
5,success
5,preference
5,disciple
5,influence
5,beauty
5,image
5,history
5,extract
5,duty
5,line
5,hold
5,center
5,description
5,glory
5,money
4,mind
4,area
4,sight
4,beam
4,object
4,battle
4,instruction
4,officer
4,country
4,particular
4,aid
4,edge
4,protection
4,hint
4,manufacturer
4,king
4,senate
4,joy
4,substance
4,intelligence
4,art
4,end
4,diameter
4,writer
4,portion
4,elevation
4,liberty
4,form
4,definition
4,water
4,assistance
4,currency
4,advice
4,purpose
4,individual
4,cavalier
4,spirit
4,hand
4,trouble
4,instance
4,institution
4,authority
4,sanction
4,nationality
3,arm
3,alarm
3,dignity
3,mother
3,nation
3,notion
3,circle
3,design
3,court
3,lady
3,servant
3,construction
3,deed
3,term
3,pressure
3,confidence
3,blow
3,eye
3,shape
3,encouragement
3,statement
3,countenance
3,half
3,sovereign
3,argument
3,hebrew
3,note
3,rate
3,be
3,count
3,affection
3,charge
3,tract
3,apostle
3,counsel
3,christian
3,letter
3,legislature
3,patent
3,testimony
3,victory
3,college
3,whole
3,source
3,delight
3,discretion
3,will
3,turn
3,side
3,work
3,exchange
3,room
3,wisdom
3,indication
3,tariff
3,mould
3,specimen
3,consideration
3,assurance
3,cup
3,truth
3,benefit
3,proportion
3,attempt
3,greek
3,ascendency
2,salary
2,duke
2,expansion
2,text
2,guard
2,uneasiness
2,human
2,wife
2,invitation
2,wind
2,signal
2,triangle
2,uniformity
2,growth
2,disturbance
2,return
2,prayer
2,pursuit
2,use
2,builder
2,union
2,vigor
2,degree
2,reception
2,idol
2,matter
2,sash
2,ability
2,measure
2,balance
2,body
2,promise
2,receipt
2,tbe
2,efficiency
2,lord
2,list
2,futurity
2,moulding
2,voyage
2,reserve
2,stiffness
2,farmer
2,wall
2,deflection
2,goodness
2,house
2,university
2,address
2,projection
2,master
2,relation
2,enjoyment
2,relief
2,enemy
2,police
2,indian
2,plan
2,one
2,arrest
2,period
2,trial
2,ambition
2,delusion
2,courage
2,movement
2,interest
2,surface
2,superiority
2,consolation
2,tie
2,alteration
2,ratio
2,course
2,ac
2,kind
2,examination
2,vice
2,flesh
2,tree
2,reader
2,opposition
2,share
2,husband
2,dissent
2,thought
2,legislation
2,explanation
2,expectation
2,covenant
2,pound
2,scene
2,credence
2,quantity
2,partition
2,head
2,concern
2,facility
2,outline
2,cry
2,number
2,act
2,department
2,moment
2,impulse
2,security
2,service
2,premium
2,importance
2,rein
2,branch
2,sign
2,fire
2,writing
2,gospel
2,aspect
2,faculty
2,attendant
2,earnest
2,existence
2,remark
2,tuscan
2,regard
2,question
2,charm
2,oak
2,office
2,reading
2,alfaqui
2,representation
2,contest
2,residence
2,column
2,inclination
2,detail
2,bread
2,fray
2,intimation
2,report
2,commerce
2,conduct
2,circumstance
2,sister
2,woman
2,society
2,gravity
2,belief
2,captive
2,magistrate
2,sleep
2,prominence
2,chapter
1,agriculture
1,motion
1,departure
1,rib
1,vineyard
1,mansion
1,companionship
1,grandeur
1,connection
1,servility
1,lot
1,angel
1,approximation
1,exercise
1,appointment
1,accompaniment
1,peninsula
1,quietness
1,long
1,piety
1,sort
1,teacher
1,prisoner
1,sware
1,zeal
1,nourishment
1,cultivation
1,countess
1,eloquence
1,catharine
1,bill
1,hesitation
1,chase
1,article
1,date
1,phenomenon
1,volley
1,notice
1,church
1,release
1,countryman
1,limb
1,passion
1,difficulty
1,hook
1,theology
1,mean
1,deliverance
1,kingdom
1,avenger
1,display
1,craven
1,alms
1,air
1,epithet
1,virtue
1,commission
1,adhere
1,ajs
1,friendship
1,steed
1,retreat
1,anguish
1,export
1,trustee
1,diversity
1,undergraduate
1,march
1,tion
1,vengeance
1,relish
1,repose
1,claim
1,theory
1,reply
1,consequence
1,wolf
1,disorder
1,turbulence
1,bility
1,obligation
1,worthy
1,inspiration
1,cornice
1,problem
1,tarleton
