count,lemma
76,account
43,""
33,way
32,direction
32,rise
32,idea
31,name
30,power
28,man
28,credit
27,place
25,character
21,effect
20,opinion
19,general
19,right
19,work
18,view
17,attention
17,description
16,government
16,public
16,birth
16,notice
15,reason
15,impression
15,pleasure
15,evidence
15,color
15,history
14,subject
14,interest
13,opportunity
13,order
13,hand
13,world
13,//
12,utterance
12,example
12,people
12,degree
12,value
12,author
12,expression
12,word
12,reader
12,labor
12,preference
11,pain
11,life
11,mind
11,picture
11,employment
11,freedom
11,weight
11,air
11,party
11,answer
11,country
10,appearance
10,assurance
10,proof
10,article
9,satisfaction
9,--
9,unity
9,vigor
9,authority
9,form
9,extract
9,sketch
9,law
9,information
9,charm
9,impulse
9,indication
9,letter
9,assent
9,detail
8,support
8,hint
8,fact
8,writer
8,offense
8,money
8,scope
8,liberty
8,advantage
8,explanation
8,testimony
7,aid
7,whole
7,heart
7,illustration
7,land
7,knowledge
7,number
7,facility
7,principle
7,existence
7,question
7,point
7,representation
7,other
7,result
7,advice
7,countenance
7,reputation
7,person
7,consent
7,warning
7,spirit
6,course
6,case
6,consequence
6,specimen
6,father
6,kind
6,part
6,force
6,volume
6,table
6,charter
6,society
6,influence
6,feel
6,claim
6,present
6,circulation
6,constitution
6,property
6,despair
6,language
6,aspect
6,benefit
6,tone
6,cause
6,manner
6,amount
6,strength
6,thing
5,think
5,lie
5,introduction
5,blow
5,beauty
5,vote
5,consideration
5,title
5,verdict
5,grace
5,confidence
5,chapter
5,occasion
5,bond
5,quantity
5,abstract
5,analysis
5,instruction
5,hope
5,passion
5,price
5,king
5,length
5,care
5,light
5,body
5,state
5,reality
5,notion
5,system
5,popularity
5,assistance
4,relief
4,thought
4,period
4,motion
4,sense
4,portrait
4,dignity
4,conception
4,outline
4,welcome
4,exchange
4,insight
4,line
4,president
4,particular
4,bank
4,administration
4,hearty
4,indian
4,command
4,member
4,measure
4,vent
4,poetry
4,imagination
4,eye
4,enemy
4,hut
4,plan
4,argument
4,attempt
4,court
4,success
4,concern
4,chief
4,report
4,currency
4,favor
4,composition
4,narrative
4,son
4,happiness
4,efficiency
4,lustre
4,material
4,justice
3,scheme
3,companion
3,feeling
3,trade
3,journal
3,alarm
3,establishment
3,living
3,space
3,copy
3,vitality
3,circumstance
3,truth
3,judgment
3,portion
3,side
3,talent
3,pretension
3,book
3,rank
3,motive
3,science
3,worth
3,servant
3,village
3,stability
3,figure
3,matter
3,love
3,war
3,equivalent
3,literature
3,wealth
3,english
3,trouble
3,meaning
3,charge
3,variety
3,paper
3,energy
3,religion
3,study
3,celebrity
3,possession
3,attraction
3,mode
3,reception
3,piece
3,discussion
3,shape
3,pestilence
3,taste
3,class
3,efficacy
3,importance
3,sound
3,exposition
3,sensation
3,officer
3,incident
3,privilege
3,agriculture
3,writing
3,bread
3,indulgence
3,lesson
3,habitation
3,task
3,owner
3,business
3,grandeur
3,secret
3,counsel
3,exercise
3,probability
3,duty
3,sort
3,finish
3,industry
3,glance
3,protection
3,immortality
3,youth
3,propensity
3,zest
3,education
3,note
3,congress
3,action
3,deed
3,voice
3,adhesion
3,rule
3,distinction
3,estate
3,future
3,application
3,examination
3,head
3,average
3,difficulty
2,discoverer
2,interpretation
2,priest
2,arm
2,inside
2,self-respect
2,objection
2,gold
2,emperor
2,mass
2,greatness
2,accusation
2,milk
2,product
2,reply
2,gratification
2,annal
2,prospect
2,conscience
2,observance
2,vice
2,theory
2,half
2,object
2,key
2,promise
2,merit
2,validity
2,superiority
2,battle
2,certificate
2,legislature
2,blood
2,song
2,sorrow
2,parting
2,town
2,french
2,remark
2,animal
2,invitation
2,requisite
2,culprit
2,painting
2,share
2,skill
2,tion
2,community
2,content
2,summary
2,statement
2,substance
2,display
2,respect
2,regret
2,settlement
2,friend
2,branch
2,individual
2,translation
2,duration
2,condition
2,speculation
2,operation
2,attainment
2,wherewithal
2,wonder
2,approbation
2,series
2,turn
2,merchant
2,trust
2,draft
2,connection
2,moment
2,passage
2,biography
2,provost
2,honor
2,praise
2,print
2,slave
2,precision
2,population
2,standard
2,lecture
2,poem
2,remembrance
2,aids
2,credence
2,produce
2,department
2,admission
2,representative
2,instinct
2,school
2,pursuit
2,original
2,delicacy
2,ascendancy
2,county
2,drink
2,hymn
2,epithet
2,shelter
2,return
2,construction
2,novel
2,treaty
2,intellectual
2,will
2,presence
2,distinctness
2,family
2,colonization
2,refuse
2,capital
2,nature
2,guilt
2,excellence
2,convention
2,shade
2,hill
2,encouragement
2,chance
2,deal
2,signal
2,page
2,approach
2,permission
2,annoyance
2,bounty
2,event
2,ordinance
2,security
2,room
2,german
2,ministry
2,instance
2,judiciary
2,spire
2,institution
2,death
2,favorite
2,invention
2,fashion
2,ground
2,affection
2,pound
2,transaction
2,rest
2,investigation
2,tree
2,citizen
2,developement
2,purpose
2,health
2,qualification
2,desolation
2,sanction
2,play
2,desire
2,sign
2,sweetness
2,list
2,difference
2,majority
2,art
2,governor
2,destiny
2,acquaintance
2,sway
2,mortal
2,adventure
2,conversation
2,thanks
2,sum
2,fluency
2,leisure
2,distaste
2,policy
2,chivalry
2,belief
2,likeness
2,extent
2,human
2,city
2,dominion
2,definition
2,emigrant
2,project
2,witness
2,sympathy
2,independence
2,trial
2,ornament
2,assertion
2,activity
1,stand
1,precept
1,transfer
1,gift
1,sider
1,tonti
1,negative
1,meat
1,horror
1,enthusiasm
1,husbandman
1,monk
1,research
1,occupant
1,misrepresentation
1,position
1,manager
1,sun
1,flower
1,exile
1,amendment
1,mood
1,abolition
1,pendant
1,optimist
1,sentence
1,acceptations
1,significance
1,manufacture
1,perspiration
1,upholsterer
1,wound
1,loss
1,expedition
1,quiet
1,element
1,skin
1,greek
1,press
1,tribute
1,indifference
1,prescription
1,colony
1,decline
1,repentance
1,uncle
1,over-statement
1,reverie
1,and--
1,heed
1,medicine
1,inactivity
1,water-fall
1,term
1,house
1,precedent
1,withhold
1,insertion
1,proprietor
1,springs
1,relation
1,erudition
1,solidity
1,professor
1,meed
1,honesty
1,gentleman
1,reverse
1,malcontent
1,student
1,foreigner
1,tribe
1,comfort
1,devil
1,hy
1,intention
1,regulation
1,tibur
