count,lemma
60,look
37,way
29,chance
28,money
23,hug
23,""
22,name
22,life
19,birth
18,number
16,ride
16,people
16,call
16,kiss
15,damn
15,smile
14,order
13,hand
12,child
12,break
11,right
11,back
10,idea
10,hope
10,thing
10,shit
10,impression
10,laugh
9,think
9,creep
9,rest
8,nod
8,key
8,head
8,room
8,address
8,woman
8,father
8,glance
8,kit
8,sign
7,wife
7,ring
7,lot
7,finger
7,mother
7,direction
7,opportunity
7,communion
7,gun
7,water
7,job
7,man
7,headache
7,word
6,shot
6,permission
6,answer
6,bath
6,home
6,advice
6,light
6,attention
6,card
6,phone
6,kind
6,crap
6,information
6,book
6,reason
6,piece
6,credit
6,detail
5,pearl
5,thumb
5,wave
5,moment
5,freedom
5,set
5,cause
5,telephone
5,place
5,pair
5,food
5,deal
5,brother
5,tour
5,eye
5,peace
5,speech
5,report
5,strength
5,party
4,taste
4,box
4,rat
4,indication
4,try
4,pleasure
4,note
4,dance
4,bill
4,baby
4,space
4,lift
4,drop
4,kid
4,present
4,work
4,human
4,title
4,lecture
4,hint
4,once-over
4,history
4,fuck
4,lady
4,message
4,clothes
4,signal
4,lesson
4,girl
4,world
4,house
3,view
3,arm
3,talk
3,button
3,cookie
3,instruction
3,fever
3,gold
3,face
3,sister
3,gift
3,push
3,contract
3,beat
3,feather
3,foot
3,start
3,grin
3,public
3,nudge
3,body
3,sense
3,doctor
3,love
3,mom
3,blood
3,carter
3,thanks
3,envelope
3,ship
3,cigarette
3,leg
3,daughter
3,bite
3,guess
3,approval
3,shrug
3,warning
3,appearance
3,bunch
3,advantage
3,birthday
3,music
3,dream
3,willy
3,sort
3,kick
3,lupe
3,friend
3,weight
3,heart
3,car
3,guy
3,family
3,iphigenia
3,camera
3,choice
3,glass
3,list
3,leave
3,cup
3,shake
3,show
3,boy
3,secret
3,p.-a
3,copy
3,ability
2,share
2,one-armed
2,circumstance
2,crown
2,mean
2,safety
2,fly
2,bed
2,bit
2,stink-eye
2,privacy
2,example
2,carnival
2,voice
2,thumbs-up
2,chest
2,line
2,check
2,town
2,letter
2,clue
2,couple
2,bird
2,stranger
2,race
2,bracelet
2,bag
2,nadine
2,land
2,run
2,silver
2,question
2,coupon
2,breath
2,role
2,benefit
2,notion
2,option
2,husband
2,dad
2,novel
2,chill
2,cop
2,section
2,shudder
2,devereaux
2,description
2,pass
2,tug
2,milk
2,feel
2,rise
2,mail
2,whatchu
2,offense
2,spirit
2,recital
2,dress
2,parent
2,weapon
2,stick
2,song
2,well
2,dollahs
2,attack
2,meaning
2,apology
2,ass
2,aura
2,hair
2,thump
2,bow
2,squeeze
2,colleague
2,code
2,pep
2,happiness
2,weather
2,vinegar
2,pencil
2,video
2,cheer
2,excitement
2,file
2,bluehorse
2,interview
2,hospital
2,access
2,position
2,shirt
2,pant
2,middle
2,alicia
2,extension
2,bark
2,price
2,profession
2,power
2,uncle
2,identity
2,care
2,rattle
2,buddy
2,medicine
2,pain
2,casey
2,clerk
2,concert
2,navajo
2,coffee
2,plot
2,shape
2,change
2,plan
2,ext
2,comfort
2,sermon
2,whistle
2,wink
2,company
2,slap
2,member
2,stern
2,effect
2,gin
2,language
2,pen
2,plant
2,chip
2,ambition
2,radio
2,candy
2,respect
2,richie
2,protection
2,act
2,return
2,case
2,tape
2,finn
2,pump
2,background
2,odds
2,dog
2,ticket
2,notice
2,grunt
2,hell
2,satisfaction
1,writer
1,pause
1,attorney
1,remark
1,meal
1,operator
1,buck
1,scissors
1,confidence
1,fin
1,tail
1,fedora
1,relationship
1,still-one-armed
1,sportsmanship
1,shag
1,jelly
1,servant
1,mare
1,cream
1,version
1,egg
1,property
1,lord
1,cousin
1,desire
1,claw
1,anesthetic
1,silk
1,friendly
1,discount
1,sentiment
1,part
1,story
1,trouble
1,charge
1,stack
1,landry
1,punk
1,courage
1,vulnerability
1,dobie
1,radiation
1,celandine
1,jiri
1,test
1,heel
1,crop
1,savior
1,therapy
1,harder-edged
1,policeman
1,tit
1,herb
1,killer
1,state
1,cigar
1,gas
1,whack
1,gen
1,airline
1,kinswoman
1,whopper
1,sedative
1,opinion
1,cork
1,dimension
1,grandchildren
1,credibility
1,butkm
1,scholarship
1,dealer
1,diamond
1,excuse
1,officer
1,dalton
1,cold
1,infraction
1,botany
1,variation
1,peridot
1,motion
1,teasing
1,conch
1,admiral
1,eagle
1,bottom
1,paternity
1,vertigo
1,brochure
1,stem
1,program
1,lemonade
1,carol
1,giraffe
1,goal
1,swat
1,greed
1,abbess
1,crime-scene
1,kettle
1,scarcity
1,antigonus
1,sheet
1,guideline
1,hero
1,encouragement
1,check-up
1,blow
1,struggle
1,poetry
1,poontang
1,bubble
1,date
1,interior
1,profile
1,unit
1,milkshake
1,vial
1,release
1,structure
1,content
1,virginidad
1,destination
1,huevos
1,service
1,penalty
1,driver
1,air
1,commentary
1,fantasy
1,pirate
1,jar
1,burst
1,mastery
1,maglie
1,vitamin
1,clack
1,scene
1,meeting
1,bedpan
1,napkin
1,outgain
1,biscuit
1,luggage
1,nurse
1,consolation
1,glare
1,swear
1,publisher
1,koren
1,raised-eyebrow
1,barbecue
1,valium
1,coat
1,wolf
1,leaning
1,hat
1,fall
1,lick
1,crave
1,sandwich
1,pay
1,adieu
1,chore
1,build
1,ether
1,girlfriend
1,oil
1,capital
1,trinket
1,chayo
1,ice
1,crack
1,tablet
1,ear
1,coldness
1,pastel
1,buggy
1,grub
1,redesign
1,antibiotic
1,tea
1,smell
1,sketchy
1,jolt
1,embrace
1,peck
1,lockman
1,publicity
1,jaw
1,okay
1,lie
1,syrup
1,password
1,harp
1,fresca
1,shorthand
1,erica
1,waffle
1,evidence
1,eyeball
1,rope
1,talent
1,vein
1,basement
1,like
1,consciousness
1,haircut
1,point
