count,lemma
5,favor
4,request
3,boon
2,bargain
2,power
2,land
2,government
2,heaven
2,charter
1,need
1,cause
1,jove
1,knuckle
1,fear
1,suit
1,marat
1,visitor
1,interview
1,moment
1,territory
1,will
1,twin
1,person
1,sire
1,hear
1,privilege
1,subsidy
1,adhesion
1,bar
1,bosom
1,kiss
1,number
1,bird
1,exception
1,summons
1,girl
1,tract
1,greatness
1,forester
1,savage
1,record
1,mercy
1,place
1,""
1,work
1,fool
1,company
1,hope
1,plaster
1,council
1,father
1,family
1,pirate
1,woman
1,man
1,assent
1,madam
1,arbitrament
1,lord
1,salvation
1,province
1,gorge
1,fisherman
1,desire
1,pardon
1,tone
