count,lemma
7,state
6,right
5,interview
5,power
4,freedom
4,public
3,authority
3,permission
3,man
3,franchise
3,injunction
3,patent
3,pardon
3,industry
3,money
2,strength
2,gentleman
2,relief
2,incompatibility
2,independence
2,subsidy
2,committee
2,deal
2,--
2,title
2,business
2,information
2,tax
2,representation
2,secretary
2,liberty
2,government
2,haberdashery
2,section
2,treaty
2,management
2,citizenship
2,circumstance
2,kind
2,opportunity
1,communist
1,payroll
1,scholarship
1,board
1,pair
1,effect
1,conduct
1,habeas
1,school
1,fact
1,publisher
1,couple
1,course
1,privilege
1,control
1,buzzard
1,live
1,absence
1,tourist
1,immunity
1,country
1,vote
1,final
1,self-preservation
1,lawyer
1,offer
1,one
1,self-expression
1,equality
1,pressure
1,preponderance
1,motion
1,track
1,worker
1,negro
1,furlough
1,beginning
1,daily
1,land
1,exploration
1,parallel
1,leave
1,respect
1,friend
1,mistake
1,french
1,general
1,purpose
1,place
1,""
1,english
1,sun
1,condition
1,benefit
1,crew
1,association
1,degree
1,face
1,appeal
1,appointment
1,assertion
1,dominion
1,human
1,railroad
1,sales
1,corporation
1,vessel
1,honor
1,pledge
1,exemption
1,out-oftown
1,jew
1,operate
1,assistant
1,ground
1,legislature
1,college
1,hammer
1,porridge
1,twa
1,extension
1,parole
1,circuit
1,premier
1,environment
1,roman
1,individual
1,territory
1,decline
1,bill
1,rightist
1,trade
1,grace
1,idea
1,home
1,peanut
1,frontier
1,present
1,construction
1,house
1,church
1,warmed-over
1,stock
1,relation
1,diploma
1,difficulty
1,pwa
1,mean
1,fee
1,son
1,trial
1,plant
1,airway
1,precipitate
1,average
1,krock
1,club
1,vendor
1,appomattox
1,farmer
1,severity
1,convenience
1,car
1,clemency
1,duty
1,nomad
1,corpus
1,trouble
1,mormonism
1,filipino
1,axiom
1,evidence
1,secondary
1,favorite
1,president
1,child
1,estimate
1,carriage
1,step
1,strike
1,fund
1,organization
1,company
1,registration
1,campaign
1,court
1,show
1,seat
1,catholic
1,outlet
1,treasury
1,audience
1,woman
1,city
1,witness
1,belief
1,reporter
