count,lemma
4,right
3,individual
3,monopoly
3,jew
3,""
3,government
2,town
2,college
2,view
2,state
2,son
2,authority
2,loan
2,person
2,lack
2,program
2,money
2,local
2,enforcement
2,injunction
2,seal
2,case
2,land
1,artificer
1,heaven
1,demand
1,crony
1,order
1,relief
1,sportsman
1,increase
1,encrease
1,application
1,manor
1,independence
1,survival
1,baby
1,show
1,advantage
1,aircraft
1,era
1,difference
1,factor
1,woman
1,mortgage
1,kaiser
1,man
1,mix
1,sister
1,society
1,industry
1,adversary
1,grant
1,conservative
1,group
1,issue
1,block
1,patent
1,prep
1,scholarship
1,livres
1,salary
1,school
1,fact
1,premise
1,credit
1,agency
1,refuse
1,education
1,chapter
1,privilege
1,control
1,recognition
1,estate
1,committee
1,change
1,command
1,plan
1,promise
1,event
1,vote
1,run-of-the-mill
1,rating
1,dropout
1,equality
1,people
1,exception
1,companion
1,necessity
1,beginning
1,side
1,administration
1,monk
1,question
1,granting
1,war
1,research
1,coordinator
1,crown
1,position
1,manager
1,prize
1,feature
1,peace
1,ppa
1,challenge
1,condition
1,capital
1,mayoralty
1,project
1,business
1,area
1,period
1,council
1,honour
1,independent
1,assistance
1,tax
1,center
1,concurrence
1,cost
1,teacher
1,protection
1,concession
1,power
1,information
1,drainage
1,anthology
1,adult
1,status
1,election
1,music
1,policy
1,source
1,convenience
1,field
1,architecture
1,literature
1,constitution
1,value
1,title
1,date
1,protector
1,term
1,middle
1,freedom
1,university
1,limitation
1,child
1,plaintiff
1,tract
1,amount
1,injury
