lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[HAND],115.0,118.0,72.0,136.0,110.0,177.0,142.0,182.0,211.0,206.0,186.0,186.0,191.0,178.0,142.0,191.0,163.0,178.0,177.0,3061.0
[ARM],30.0,19.0,19.0,23.0,28.0,30.0,37.0,36.0,30.0,54.0,61.0,47.0,49.0,64.0,39.0,40.0,46.0,43.0,45.0,740.0
[PLACE],31.0,29.0,43.0,49.0,47.0,43.0,51.0,52.0,43.0,42.0,35.0,33.0,45.0,22.0,20.0,26.0,19.0,30.0,15.0,675.0
[OFFICE],35.0,45.0,82.0,45.0,45.0,33.0,51.0,46.0,36.0,26.0,38.0,35.0,22.0,22.0,23.0,20.0,21.0,13.0,13.0,651.0
[HEAD],30.0,25.0,23.0,20.0,25.0,31.0,25.0,31.0,46.0,32.0,38.0,24.0,33.0,26.0,20.0,23.0,20.0,32.0,30.0,534.0
[BREATH],32.0,18.0,8.0,11.0,14.0,21.0,13.0,30.0,35.0,26.0,21.0,17.0,34.0,29.0,28.0,21.0,31.0,52.0,55.0,496.0
[POSITION],4.0,7.0,10.0,33.0,17.0,30.0,37.0,36.0,40.0,28.0,34.0,38.0,31.0,24.0,23.0,32.0,17.0,13.0,33.0,487.0
[MAN],16.0,24.0,32.0,29.0,38.0,30.0,26.0,28.0,23.0,37.0,29.0,36.0,31.0,28.0,17.0,20.0,13.0,12.0,13.0,482.0
[MEETING],7.0,34.0,23.0,19.0,17.0,10.0,63.0,31.0,14.0,17.0,17.0,15.0,17.0,23.0,44.0,12.0,23.0,8.0,14.0,408.0
[POWER],12.0,17.0,22.0,10.0,27.0,18.0,22.0,13.0,12.0,11.0,17.0,22.0,23.0,10.0,12.0,12.0,13.0,10.0,17.0,300.0
[BACK],2.0,5.0,2.0,6.0,9.0,20.0,12.0,6.0,9.0,21.0,24.0,13.0,8.0,19.0,15.0,19.0,14.0,19.0,20.0,243.0
[VIEW],4.0,4.0,9.0,10.0,14.0,13.0,18.0,16.0,17.0,11.0,21.0,8.0,20.0,6.0,18.0,14.0,15.0,13.0,10.0,241.0
[PUBLIC],11.0,20.0,15.0,16.0,10.0,13.0,18.0,18.0,9.0,11.0,18.0,11.0,7.0,12.0,12.0,12.0,11.0,8.0,8.0,240.0
[PEOPLE],3.0,7.0,4.0,9.0,20.0,9.0,19.0,16.0,9.0,9.0,14.0,7.0,19.0,11.0,15.0,15.0,18.0,14.0,8.0,226.0
[COMPANY],0.0,1.0,0.0,0.0,4.0,2.0,4.0,0.0,10.0,14.0,17.0,66.0,26.0,5.0,19.0,19.0,15.0,17.0,5.0,224.0
[CHECK],7.0,11.0,7.0,4.0,21.0,20.0,22.0,15.0,10.0,21.0,18.0,12.0,13.0,11.0,7.0,3.0,6.0,3.0,6.0,217.0
[OPINION],15.0,21.0,16.0,13.0,15.0,20.0,17.0,19.0,20.0,5.0,11.0,9.0,6.0,4.0,10.0,2.0,7.0,3.0,2.0,215.0
[COURT],15.0,13.0,9.0,20.0,9.0,12.0,12.0,8.0,10.0,9.0,12.0,17.0,17.0,10.0,5.0,11.0,6.0,11.0,8.0,214.0
