lemma,count
hand,186
"",67
company,66
arm,47
position,38
man,36
office,35
place,33
contract,29
head,24
power,22
glass,22
job,19
eye,18
court,17
breath,17
conference,17
school,15
meeting,15
line,14
paper,14
stock,14
door,13
back,13
water,13
horse,13
tongue,13
side,13
check,12
notice,12
face,12
board,11
sway,11
finger,11
life,11
act,11
foot,11
public,11
land,10
education,10
secret,10
way,9
thing,9
opinion,9
end,9
light,9
promise,9
service,9
state,9
hope,8
reserve,8
rein,8
view,8
government,8
property,8
kind,8
horn,8
boy,8
other,8
security,8
rope,8
title,8
world,8
book,7
ground,7
lip,7
money,7
bag,7
price,7
country,7
gun,7
close,7
person,7
control,7
house,7
key,7
wrist,7
respect,7
woman,7
record,7
attention,7
throat,7
right,7
body,7
corporation,7
people,7
honor,6
interest,6
gold,6
material,6
election,6
market,6
course,6
skirt,6
group,6
part,6
district,6
room,6
prisoner,6
rank,6
note,6
letter,6
center,6
church,6
newspaper,6
term,6
belief,6
mind,6
nose,6
void,6
moment,5
--,5
lap,5
heart,5
peace,5
monopoly,5
union,5
club,5
imagination,5
press,5
fish,5
baby,5
business,5
mortgage,5
fact,5
ear,5
bank,5
contempt,5
officer,5
convention,5
father,5
matter,5
palm,5
lock,5
share,5
food,5
balance,5
towel,5
benefit,5
edge,5
store,5
fort,5
thumb,5
conversation,5
bond,5
middle,5
candle,5
decision,5
art,4
standard,4
captive,4
authority,4
child,4
system,4
cord,4
rod,4
front,4
department,4
pearl,4
tooth,4
pattern,4
drink,4
point,4
purpose,4
mother,4
vessel,4
silence,4
box,4
mountain,4
match,4
lamp,4
society,4
string,4
invalid,4
wire,4
mirror,4
girl,4
law,4
county,4
name,4
table,4
cup,4
firm,4
town,4
piece,4
hook,4
character,4
mouth,4
son,4
cold,4
amount,4
air,4
pole,4
ring,4
advantage,4
congress,4
thread,4
member,4
command,4
leg,4
plate,4
enemy,4
dark,4
series,4
hat,4
hold,4
esteem,4
spring,4
bill,4
number,4
temperature,4
grudge,3
shadow,3
trade,3
reduction,3
knee,3
death,3
carriage,3
discussion,3
present,3
shape,3
shoulder,3
grip,3
bound,3
witness,3
feeling,3
territory,3
temper,3
speed,3
tear,3
attack,3
charge,3
turn,3
quarter,3
cash,3
chair,3
faith,3
importance,3
value,3
bottle,3
justice,3
prison,3
island,3
purse,3
loan,3
distance,3
tryout,3
think,3
china,3
cigarette,3
queen,3
operate,3
cheek,3
trustee,3
copy,3
resignation,3
contest,3
train,3
student,3
reverence,3
apple,3
weight,3
boss,3
membership,3
philosophy,3
corset,3
degree,3
agreement,3
statute,3
subject,3
family,3
post,3
order,3
liquor,3
lantern,3
tail,3
lord,3
king,3
handkerchief,3
sport,3
employer,3
policy,3
consequence,3
motion,3
good,3
dog,3
model,3
article,3
yellow,3
ransom,3
hotel,3
drop,3
city,3
case,3
flask,3
stone,3
level,3
voice,3
ace,3
manner,3
nature,3
reality,3
smile,3
husband,3
stedman,3
pistol,3
length,3
branch,3
will,3
see,3
gaze,3
college,3
bale,3
metal,3
corner,3
direction,3
home,3
successor,3
official,3
situation,3
band,3
pencil,3
color,3
guard,3
look,3
expiration,3
crowd,2
stretch,2
principle,2
christianity,2
top,2
mail,2
plant,2
artist,2
auspices,2
song,2
dance,2
duty,2
hall,2
bible,2
picture,2
directorship,2
pot,2
connector,2
bench,2
method,2
hostage,2
valette,2
pail,2
labor,2
brush,2
patience,2
demand,2
representative,2
embrace,2
slavery,2
exclamation,2
dear,2
advance,2
feel,2
pen,2
rise,2
amphibian,2
conduct,2
imogene,2
failure,2
love,2
section,2
breakfast,2
damage,2
revolver,2
root,2
destiny,2
gathering,2
stick,2
dress,2
soil,2
jew,2
railroad,2
space,2
marriage,2
expression,2
dictator,2
quita,2
dinner,2
wall,2
saddle,2
idea,2
navy,2
bird,2
port,2
comber,2
converse,2
constant,2
neck,2
action,2
glow,2
supply,2
fire,2
ratification,2
sack,2
tip,2
trace,2
collective,2
stove,2
knob,2
chance,2
license,2
surprise,2
question,2
absence,2
altitude,2
form,2
sunlight,2
saladin,2
work,2
bear,2
//,2
exhibit,2
activity,2
factory,2
horror,2
wife,2
wage,2
moisture,2
utility,2
consultation,2
lyric,2
producer,2
beach,2
mare,2
use,2
calm,2
spirit,2
silk,2
celebration,2
pressure,2
rule,2
handful,2
arrest,2
significance,2
effort,2
pipe,2
abeyance,2
chisel,2
bureaucracy,2
history,2
cross,2
skin,2
net,2
mouthpiece,2
field,2
blossom,2
doubt,2
bead,2
bail,2
bay,2
inside,2
binoculars,2
knife,2
emperor,2
warrant,2
quality,2
auditorium,2
judge,2
engineering,2
relief,2
soap,2
fool,2
stay,2
stem,2
council,2
over,2
jimmie,2
log,2
bondage,2
yard,2
plow,2
slack,2
estimation,2
ship,2
needle,2
industry,2
offspring,2
fascination,2
canadian,2
return,2
creation,2
par,2
fiesta,2
insurance,2
ceiling,2
banking,2
empire,2
green,2
armament,2
difficulty,2
meet,2
troop,2
possessor,2
pirate,2
lead,2
halter,2
type,2
sugar,2
violation,2
tulle,2
account,2
patch,2
leash,2
cutty,2
plan,2
vote,2
gain,2
player,2
threat,2
airplane,2
memory,2
legislation,2
murder,2
lump,2
closet,2
ice,2
crew,2
continent,2
chief,2
tobacco,2
bit,2
prince,2
cap,2
dilliard,2
truth,2
area,2
portion,2
shield,2
steamer,2
roof,2
teacher,2
sheet,2
investment,2
reel,2
snob,2
steel,2
fist,2
substance,2
tense,2
show,2
delay,2
road,2
pouch,2
basket,2
laundry,2
tube,2
drip,2
pound,2
bosom,2
hearing,2
emergency,2
evil,2
tie,2
deed,2
