lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[EYE],54.0,58.0,49.0,41.0,40.0,59.0,49.0,62.0,71.0,81.0,80.0,104.0,115.0,80.0,87.0,104.0,77.0,94.0,116.0,1421.0
[MIND],21.0,28.0,28.0,22.0,23.0,39.0,23.0,36.0,39.0,70.0,49.0,78.0,64.0,52.0,53.0,41.0,45.0,95.0,64.0,870.0
[SECRET],58.0,49.0,47.0,29.0,45.0,48.0,46.0,46.0,36.0,36.0,26.0,28.0,50.0,25.0,29.0,31.0,45.0,28.0,32.0,734.0
[HAND],12.0,17.0,20.0,21.0,23.0,26.0,32.0,24.0,34.0,39.0,31.0,41.0,33.0,26.0,22.0,47.0,35.0,33.0,30.0,546.0
[HOUSE],13.0,19.0,25.0,20.0,44.0,54.0,27.0,24.0,42.0,29.0,35.0,26.0,20.0,31.0,26.0,24.0,19.0,13.0,15.0,506.0
[WATCH],21.0,19.0,51.0,15.0,35.0,31.0,39.0,33.0,41.0,26.0,26.0,13.0,25.0,19.0,21.0,18.0,20.0,15.0,14.0,482.0
[PACE],33.0,25.0,23.0,30.0,28.0,23.0,22.0,19.0,29.0,23.0,17.0,44.0,28.0,27.0,15.0,20.0,27.0,13.0,29.0,475.0
[MAN],23.0,13.0,16.0,10.0,31.0,30.0,27.0,25.0,36.0,40.0,28.0,37.0,31.0,24.0,15.0,25.0,17.0,10.0,15.0,453.0
[PLACE],23.0,31.0,29.0,28.0,20.0,28.0,37.0,34.0,22.0,25.0,14.0,19.0,22.0,18.0,18.0,17.0,15.0,21.0,19.0,440.0
[THING],8.0,10.0,16.0,8.0,10.0,24.0,12.0,20.0,25.0,26.0,23.0,27.0,29.0,25.0,24.0,30.0,30.0,33.0,38.0,418.0
[WAY],14.0,23.0,23.0,25.0,29.0,19.0,17.0,14.0,26.0,19.0,24.0,15.0,28.0,24.0,17.0,22.0,19.0,15.0,20.0,393.0
[PEOPLE],11.0,10.0,9.0,15.0,17.0,9.0,12.0,21.0,15.0,35.0,17.0,27.0,21.0,32.0,24.0,20.0,34.0,31.0,22.0,382.0
[COMPANY],19.0,23.0,22.0,26.0,18.0,19.0,18.0,24.0,26.0,12.0,11.0,11.0,26.0,25.0,10.0,21.0,11.0,24.0,24.0,370.0
[HEAD],8.0,16.0,7.0,9.0,10.0,16.0,12.0,14.0,16.0,20.0,17.0,26.0,36.0,19.0,14.0,24.0,29.0,35.0,41.0,369.0
[ORDER],10.0,29.0,15.0,24.0,21.0,16.0,21.0,20.0,24.0,31.0,16.0,15.0,35.0,14.0,14.0,18.0,9.0,5.0,8.0,345.0
[WORD],14.0,16.0,17.0,13.0,21.0,20.0,26.0,19.0,37.0,33.0,15.0,10.0,10.0,15.0,9.0,13.0,7.0,12.0,11.0,318.0
[TRACK],3.0,1.0,2.0,4.0,1.0,5.0,2.0,5.0,8.0,15.0,12.0,13.0,15.0,24.0,30.0,31.0,34.0,47.0,52.0,304.0
[QUIET],3.0,11.0,7.0,20.0,15.0,21.0,9.0,18.0,15.0,19.0,28.0,30.0,17.0,19.0,18.0,7.0,10.0,18.0,9.0,294.0
[VIEW],33.0,39.0,35.0,29.0,24.0,18.0,14.0,13.0,15.0,14.0,4.0,3.0,3.0,3.0,4.0,12.0,6.0,0.0,6.0,275.0
[HOME],15.0,7.0,9.0,20.0,11.0,22.0,14.0,20.0,11.0,13.0,16.0,23.0,19.0,16.0,12.0,8.0,9.0,14.0,14.0,273.0
[CHILD],5.0,5.0,13.0,13.0,10.0,30.0,9.0,21.0,13.0,12.0,18.0,16.0,11.0,20.0,12.0,12.0,12.0,24.0,14.0,270.0
[WATER],3.0,20.0,8.0,12.0,21.0,16.0,15.0,11.0,13.0,24.0,15.0,19.0,11.0,14.0,9.0,11.0,13.0,13.0,11.0,259.0
[DISTANCE],20.0,11.0,15.0,12.0,7.0,22.0,9.0,12.0,26.0,8.0,3.0,4.0,7.0,8.0,9.0,17.0,21.0,21.0,27.0,259.0
[WORK],3.0,10.0,3.0,10.0,29.0,19.0,10.0,13.0,19.0,10.0,15.0,20.0,14.0,12.0,9.0,9.0,9.0,11.0,16.0,241.0
[PEACE],10.0,5.0,11.0,9.0,17.0,13.0,8.0,8.0,19.0,18.0,18.0,12.0,18.0,20.0,11.0,15.0,11.0,5.0,10.0,238.0
[MOUTH],1.0,3.0,3.0,0.0,6.0,6.0,6.0,4.0,9.0,18.0,16.0,16.0,32.0,26.0,22.0,25.0,11.0,14.0,18.0,236.0
[PROMISE],13.0,10.0,10.0,7.0,15.0,18.0,18.0,22.0,21.0,9.0,14.0,12.0,11.0,10.0,10.0,3.0,12.0,12.0,7.0,234.0
[RECORD],5.0,2.0,4.0,4.0,4.0,6.0,6.0,7.0,11.0,4.0,9.0,28.0,31.0,23.0,11.0,26.0,20.0,13.0,20.0,234.0
[RIGHT],1.0,3.0,5.0,1.0,7.0,6.0,8.0,16.0,17.0,20.0,19.0,14.0,27.0,17.0,17.0,22.0,5.0,5.0,11.0,221.0
[FIRE],9.0,14.0,5.0,15.0,17.0,21.0,7.0,18.0,13.0,19.0,17.0,12.0,8.0,7.0,6.0,5.0,9.0,6.0,11.0,219.0
[FOOT],8.0,6.0,5.0,12.0,15.0,12.0,10.0,6.0,14.0,9.0,19.0,20.0,16.0,9.0,7.0,9.0,7.0,9.0,20.0,213.0
[SCHOOL],20.0,19.0,8.0,7.0,19.0,7.0,3.0,17.0,13.0,7.0,11.0,13.0,8.0,10.0,11.0,7.0,3.0,10.0,14.0,207.0
[SIGHT],6.0,6.0,18.0,15.0,13.0,15.0,6.0,18.0,16.0,12.0,8.0,13.0,8.0,11.0,6.0,12.0,7.0,2.0,12.0,204.0
[RUN],0.0,3.0,7.0,3.0,5.0,8.0,3.0,15.0,7.0,12.0,8.0,9.0,22.0,12.0,16.0,15.0,18.0,15.0,17.0,195.0
[SPIRIT],25.0,9.0,23.0,12.0,17.0,12.0,8.0,10.0,8.0,14.0,10.0,9.0,7.0,7.0,4.0,5.0,7.0,4.0,1.0,192.0
[ACCOUNT],8.0,17.0,10.0,8.0,15.0,12.0,18.0,10.0,16.0,8.0,10.0,8.0,12.0,8.0,8.0,8.0,4.0,5.0,4.0,189.0
[BACK],4.0,4.0,6.0,4.0,8.0,10.0,7.0,8.0,11.0,8.0,9.0,11.0,12.0,8.0,9.0,14.0,12.0,16.0,27.0,188.0
[THINK],2.0,4.0,2.0,6.0,8.0,8.0,4.0,6.0,12.0,8.0,6.0,11.0,17.0,17.0,11.0,20.0,10.0,23.0,13.0,188.0
[STATE],17.0,20.0,14.0,18.0,17.0,14.0,10.0,7.0,6.0,8.0,4.0,10.0,8.0,7.0,9.0,7.0,3.0,4.0,5.0,188.0
[FAMILY],1.0,4.0,4.0,3.0,6.0,6.0,8.0,9.0,7.0,9.0,11.0,15.0,17.0,16.0,9.0,19.0,13.0,13.0,17.0,187.0
[BODY],3.0,5.0,11.0,11.0,9.0,6.0,7.0,9.0,11.0,19.0,11.0,2.0,10.0,7.0,11.0,10.0,11.0,12.0,15.0,180.0
[SIDE],12.0,10.0,9.0,11.0,2.0,15.0,11.0,11.0,14.0,9.0,11.0,9.0,11.0,7.0,11.0,5.0,6.0,6.0,8.0,178.0
[HEART],20.0,13.0,15.0,15.0,15.0,13.0,11.0,17.0,14.0,10.0,7.0,3.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,177.0
[MONEY],9.0,9.0,8.0,5.0,9.0,18.0,4.0,13.0,7.0,8.0,8.0,14.0,11.0,12.0,5.0,10.0,12.0,8.0,6.0,176.0
[ROOM],3.0,4.0,1.0,5.0,12.0,21.0,10.0,10.0,8.0,10.0,4.0,15.0,11.0,12.0,10.0,10.0,4.0,7.0,14.0,171.0
[FACE],4.0,3.0,0.0,1.0,6.0,6.0,5.0,6.0,11.0,11.0,9.0,16.0,12.0,14.0,14.0,12.0,8.0,9.0,20.0,167.0
[LINE],1.0,2.0,1.0,4.0,7.0,6.0,12.0,6.0,8.0,9.0,11.0,10.0,17.0,10.0,14.0,15.0,10.0,12.0,9.0,164.0
[LIFE],2.0,5.0,4.0,10.0,13.0,7.0,12.0,14.0,10.0,21.0,11.0,7.0,5.0,9.0,3.0,4.0,8.0,6.0,13.0,164.0
[DOOR],5.0,3.0,6.0,10.0,6.0,13.0,8.0,12.0,6.0,13.0,5.0,12.0,10.0,6.0,11.0,13.0,7.0,8.0,8.0,162.0
[CONTROL],0.0,3.0,1.0,4.0,4.0,1.0,7.0,4.0,3.0,7.0,4.0,9.0,15.0,9.0,19.0,16.0,29.0,12.0,15.0,162.0
[SILENCE],14.0,6.0,6.0,4.0,17.0,9.0,9.0,20.0,17.0,8.0,9.0,8.0,8.0,5.0,3.0,2.0,6.0,3.0,1.0,155.0
[PRICE],5.0,4.0,5.0,2.0,5.0,1.0,10.0,4.0,15.0,3.0,7.0,14.0,18.0,9.0,11.0,9.0,18.0,6.0,8.0,154.0
[BOOK],3.0,5.0,4.0,3.0,8.0,16.0,3.0,7.0,4.0,10.0,13.0,13.0,8.0,13.0,10.0,13.0,8.0,7.0,4.0,152.0
[WOMAN],6.0,3.0,3.0,6.0,4.0,13.0,6.0,7.0,2.0,4.0,11.0,11.0,3.0,12.0,8.0,11.0,13.0,15.0,8.0,146.0
[CONDITION],1.0,4.0,7.0,7.0,7.0,5.0,8.0,9.0,12.0,10.0,10.0,7.0,16.0,6.0,10.0,9.0,6.0,4.0,4.0,142.0
[HORSE],9.0,4.0,6.0,12.0,17.0,12.0,9.0,8.0,5.0,9.0,5.0,3.0,13.0,6.0,1.0,8.0,5.0,2.0,2.0,136.0
[FAITH],8.0,8.0,3.0,4.0,5.0,7.0,13.0,13.0,5.0,5.0,12.0,13.0,8.0,2.0,3.0,7.0,7.0,8.0,4.0,135.0
[CHECK],7.0,7.0,9.0,8.0,8.0,5.0,2.0,7.0,4.0,8.0,3.0,5.0,8.0,6.0,9.0,6.0,2.0,9.0,20.0,133.0
[--],1.0,4.0,5.0,5.0,7.0,16.0,3.0,3.0,1.0,6.0,5.0,5.0,11.0,8.0,6.0,8.0,14.0,12.0,11.0,131.0
[WORLD],6.0,4.0,7.0,7.0,7.0,6.0,7.0,4.0,6.0,9.0,12.0,14.0,4.0,12.0,5.0,4.0,5.0,4.0,7.0,130.0
[AIR],2.0,3.0,7.0,11.0,5.0,6.0,5.0,10.0,5.0,5.0,6.0,5.0,13.0,7.0,9.0,10.0,4.0,10.0,6.0,129.0
[ARM],4.0,3.0,4.0,6.0,4.0,7.0,6.0,1.0,8.0,5.0,7.0,2.0,8.0,10.0,8.0,7.0,12.0,9.0,18.0,129.0
[NAME],4.0,3.0,6.0,3.0,7.0,9.0,6.0,6.0,3.0,8.0,8.0,7.0,11.0,8.0,11.0,3.0,5.0,9.0,7.0,124.0
[BUSINESS],2.0,9.0,1.0,2.0,0.0,1.0,4.0,4.0,6.0,8.0,8.0,11.0,16.0,7.0,13.0,5.0,12.0,6.0,9.0,124.0
[COUNTRY],8.0,9.0,7.0,7.0,3.0,8.0,0.0,3.0,5.0,8.0,6.0,12.0,11.0,3.0,8.0,7.0,10.0,3.0,4.0,122.0
[GUARD],9.0,10.0,8.0,2.0,11.0,11.0,8.0,9.0,9.0,9.0,5.0,6.0,7.0,6.0,3.0,2.0,3.0,2.0,2.0,122.0
[GROUND],10.0,10.0,5.0,9.0,2.0,5.0,11.0,5.0,5.0,12.0,5.0,8.0,9.0,3.0,4.0,7.0,3.0,4.0,5.0,122.0
[COURSE],16.0,6.0,13.0,12.0,8.0,2.0,10.0,15.0,10.0,3.0,5.0,1.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,120.0
