lemma,count
"",52
eye,41
pace,30
secret,29
view,29
place,28
company,26
way,25
order,24
mind,22
hand,21
home,20
house,20
quiet,20
state,18
spring,16
watch,15
fire,15
heart,15
sight,15
people,15
limit,14
bee,14
word,13
child,13
water,12
horse,12
spirit,12
store,12
course,12
distance,12
foot,12
body,11
air,11
side,11
purpose,10
tavern,10
work,10
man,10
door,10
life,10
bay,9
head,9
step,9
soul,9
ground,9
slave,9
peace,9
hold,9
thing,8
courage,8
tree,8
ignorance,8
bound,8
account,8
possession,8
law,8
check,8
position,7
boy,7
condition,7
other,7
action,7
subjection,7
motion,7
school,7
country,7
dog,7
feeling,7
mother,7
promise,7
number,7
tear,7
gentleman,7
world,7
appearance,6
woman,6
paper,6
dark,6
interest,6
scene,6
think,6
firm,6
rate,6
sun,6
wind,6
public,6
mass,6
use,6
point,6
carriage,6
good,6
look-out,6
arm,6
shoot,5
green,5
light,5
army,5
money,5
sense,5
government,5
thought,5
lookout,5
--,5
prisoner,5
part,5
girl,5
friend,5
whole,5
awe,5
knowledge,5
land,5
oath,5
cow,5
room,5
fact,5
stand,5
excitement,5
class,4
line,4
food,4
rain,4
seat,4
silence,4
appointment,4
track,4
set,4
office,4
boat,4
sabbath,4
buff,4
character,4
heat,4
wage,4
one,4
duty,4
close,4
control,4
standard,4
surface,4
father,4
supply,4
matter,4
bed,4
record,4
till,4
faith,4
conscience,4
back,4
correspondence,4
portion,4
community,4
reckoning,4
suspense,4
principle,4
estate,4
lead,4
hall,4
shop,4
revolution,4
establishment,4
circle,3
wait,3
population,3
labor,3
family,3
copy,3
resolution,3
distinction,3
form,3
walk,3
string,3
path,3
object,3
vessel,3
harm,3
love,3
command,3
cage,3
layer,3
post,3
nation,3
tongue,3
style,3
animal,3
market,3
umbrella,3
ship,3
trail,3
division,3
bank,3
advantage,3
piece,3
headnote,3
/z/,3
fellow,3
employment,3
power,3
cellar,3
rule,3
present,3
avenue,3
compass,3
sea,3
front,3
flame,3
growth,3
hill,3
person,3
desk,3
road,3
hire,3
book,3
advance,3
inn,3
half,3
lunatic,3
fruit,3
attention,3
ball,3
ear,3
run,3
look,3
chamber,3
movement,3
stout,3
cord,3
force,3
hive,3
son,3
mean,3
snow,3
range,3
box,3
connection,3
improvement,3
level,3
countenance,3
pulpit,3
name,3
party,3
trouble,3
earth,3
key,3
counsel,3
property,3
repair,3
hen,3
pig,3
kind,3
pocket,3
inhabitant,2
cause,2
sky,2
jail,2
foe,2
reserve,2
trim,2
quarter,2
subordination,2
vow,2
circulation,2
nose,2
vigil,2
judgment,2
end,2
news,2
cavalry,2
yard,2
master,2
sale,2
savage,2
play,2
machinery,2
curtain,2
debt,2
base,2
effort,2
sir,2
pent,2
french,2
fly,2
species,2
top,2
energy,2
current,2
edge,2
sleep,2
employ,2
nature,2
picture,2
blood,2
holiday,2
wish,2
grandfather,2
sin,2
organization,2
cry,2
sword,2
provision,2
ticket,2
habit,2
chest,2
hemisphere,2
enemy,2
starvation,2
acquaintance,2
nut,2
foothold,2
iron,2
soil,2
temptation,2
result,2
sweet,2
pigeon,2
ruin,2
wall,2
idea,2
constant,2
payment,2
workhouse,2
application,2
deposit,2
faculty,2
plant,2
treasure,2
majesty,2
canvas,2
silver,2
flood,2
question,2
harmony,2
pearl,2
wife,2
servant,2
cabin,2
egg,2
expense,2
arter,2
cousin,2
pupil,2
weapon,2
constitution,2
pleasure,2
dwelling,2
heel,2
file,2
table,2
opinion,2
choke,2
cold,2
plan,2
damp,2
bottom,2
custom,2
exercise,2
communication,2
presence,2
sort,2
cleaning,2
cultivation,2
note,2
durance,2
lock,2
bankruptcy,2
steam,2
mischief,2
captain,2
stock,2
intellectual,2
content,2
passion,2
gun,2
abundance,2
shadow,2
quantity,2
belt,2
progress,2
roar,2
fall,2
solution,2
memory,2
center,2
storm,2
subject,2
curiosity,2
illness,2
existence,2
trunk,2
garment,2
motive,2
comb,2
temper,2
village,2
hack,2
guard,2
babble,2
evil,2
mercy,2
herd,2
reality,2
variety,2
expedition,2
price,2
abeyance,2
element,2
skin,2
colony,2
weed,2
murmur,2
amount,2
springs,2
discovery,2
coach,2
hy,2
corner,2
excess,2
indian,2
frame,2
wit,2
library,2
pack,2
warfare,2
bookstall,2
pauper,2
joint,2
business,2
system,2
college,2
