count,lemma
26,eye
16,secret
15,""
14,man
14,war
13,mind
11,way
11,peace
10,price
10,hand
9,track
9,company
9,work
9,right
8,house
8,control
8,pace
8,people
8,head
8,place
7,power
7,farmer
7,home
7,german
7,run
6,nation
6,ball
6,country
6,finger
6,army
6,horse
6,family
6,fight
6,thing
6,back
5,record
5,business
5,watch
5,state
5,job
5,husband
5,production
5,water
5,line
5,side
4,gas
4,hat
4,air
4,star
4,move
4,--
4,position
4,face
4,silence
4,lookout
4,other
4,fire
4,account
4,arm
4,french
4,farm
4,purchase
4,mum
4,end
4,tab
4,roll
4,fly
4,mouth
4,machine
4,course
3,refrigerator
3,soldier
3,key
3,quiet
3,duty
3,base
3,check
3,body
3,leader
3,pig
3,hold
3,radio
3,average
3,plan
3,problem
3,reserve
3,level
3,school
3,boat
3,plane
3,door
3,blast
3,sight
3,structure
3,machinery
3,nigger
3,law
3,find
3,condition
3,diary
3,sail
3,steel
3,government
3,competition
3,enemy
3,road
3,ship
3,milk
3,soul
3,orchestra
3,food
3,class
3,world
3,pilot
3,supply
3,order
3,telephone
3,force
3,fellow
3,cost
2,territory
2,belly
2,bound
2,office
2,go
2,toe
2,output
2,lady
2,skipper
2,secretary
2,tradition
2,industry
2,circulation
2,will
2,calm
2,nose
2,emergency
2,volume
2,pocket
2,word
2,present
2,snow
2,room
2,apartment
2,desk
2,money
2,life
2,cuckoo
2,advance
2,joneses
2,battery
2,promise
2,letter
2,ground
2,lip
2,title
2,wave
2,dust
2,storage
2,hair
2,foot
2,conflict
2,guard
2,matter
2,wind
2,monopoly
2,meat
2,shirt
2,sun
2,sea
2,crew
2,cupboard
2,balance
2,light
2,guinea
2,alcohol
2,distance
2,set
2,call
2,contact
2,constant
2,walk
2,shape
2,neck
2,weight
2,jump
2,student
2,reckoning
2,league
2,cheese
2,quaker
2,member
2,import
2,kitchen
2,interest
2,pack
2,restriction
2,navy
2,metal
2,post
2,touch
2,chart
2,dark
2,human
2,producer
2,automatic
2,system
2,game
2,counsel
2,view
2,american
2,car
2,customer
2,pipe
2,girl
2,name
2,god
2,housewife
2,floor
2,hear
2,patient
2,leg
2,communication
2,appointment
2,lock
2,steam
2,temperature
2,church
2,collection
2,commission
2,vitamin
2,cotton
2,classic
2,orderly
2,merchant
2,progress
2,wolf
2,art
2,build
2,oil
2,memory
2,ice
2,ear
2,subject
2,personality
2,politics
2,think
2,editor
2,jap
2,step
2,rank
2,audience
1,cissy
1,ornament
1,leather
1,hotel
1,alaskan
1,spit
1,sister
1,anchor
1,powder
1,layer
1,spray
1,habit
1,child
1,pin
1,succession
1,bee
1,butler
1,quarry
1,round
1,come
1,propagandist
1,fera
1,temper
1,ham
1,belief
1,cracker
1,sovereignty
1,fence
1,mathilda
1,blaze
1,start
1,catcher
1,board
1,pair
1,bearing
1,northbound
1,card
1,supervision
1,collective
1,town
1,ballote
1,two-party
1,grass
1,salary
1,clinic
1,sentinel
1,stranger
1,cat
1,infantry
1,surroundings
1,garage
1,boardinghouse
1,musician
1,himsel
1,anguish
1,drip
1,embargo
1,chain
1,contemporary
1,economy
1,cage
1,command
1,trespasser
1,shutter
1,affliction
1,help
1,ruiz
1,leftist
1,whisper
1,black
1,bomb
1,character
1,superior
1,revolutionary
1,clay
1,one
1,scatter
1,rocker
1,credo
1,evil
1,ink
1,worker
1,investment
1,employes
1,intake
1,lodging
1,flashlight
1,criticism
1,driveway
1,peak
1,trade
1,morale
1,lane
1,elbow
1,risk
1,example
1,fraction
1,be
1,trend
1,crook
1,cow
1,couple
1,tobacco
1,decree
1,emigrant
1,eat
1,project
1,pipeline
1,close-mouthed
1,area
1,high-school
1,profit
1,danger
1,result
1,sound
1,mild
1,depression
1,soup
1,significance
1,rommel
1,operate
1,battle
1,individual
1,ulcer
1,wing
1,public
1,piano
1,tactic
1,cosmos
1,butt
1,beer
1,proportion
1,sixty-knot
1,duck
1,claim
1,engine
1,access
1,headache
1,subversion
1,garden
1,alt
1,yat-sen
1,major
1,explain
1,finder
1,axis
1,punch
1,study
1,diet
1,left
1,hog
1,uncle
1,attack
1,idea
1,official
1,stilt
1,buy
1,weasel
1,ride
1,experience
1,minimum
1,voice
1,bar
1,faint
1,aviation
1,hendy
1,occasion
1,nazi
1,lamb
1,vic
1,knee
1,building
1,coffee
1,book
1,size
1,foam
1,testimony
1,plot
1,suitcase
1,break
1,news
1,flesh
1,land
1,payment
1,action
1,prosecution
1,amount
1,expert
1,seeker
1,stage
1,telescope
1,moon
1,science
1,king
1,oats
1,camera
1,daylight
1,speed
1,traffic
1,outdoors
1,assortment
1,consonance
1,gold
1,boarder
1,prison
1,moan
1,thread
1,trial
1,rein
1,baby
1,japanese
1,plant
1,newcombe
1,learn
1,headway
1,forty-foot
1,saboteur
1,staff
1,budget
1,hall
1,labor
1,pretext
1,bank
1,deck
1,sign
1,eye-drop
1,hawk
1,rust
1,group
1,secrecy
1,enterprise
1,wit
1,potential
1,fly-borne
1,keel
1,phone
1,knowledge
1,margin
1,fragment
1,formula
1,ore
1,native
1,canvas
1,low
1,bed
1,officialdom
1,market
1,bug
1,rival
1,kind
1,novel
1,humiliation
1,live
1,make
1,disease
1,tube
1,thought
1,network
1,agreement
1,roller
1,animal
1,insurance
1,navigator
1,lid
1,youngster
1,estes
1,outbuilding
1,number
1,thosewho
1,intelligence
1,hand-to-mouth
1,smile
1,gasoline
1,scandal
1,ash
1,write
1,style
1,assistant
1,torrent
1,good
1,pause
1,grade
1,motive
1,coaming
1,silver
1,ignorance
1,question
1,friend
1,kefauver
1,fit
1,pose
1,passenger
1,bucket
1,safe
1,combat
1,tenterhooks
1,harmony
1,errant
1,blue
1,crusade
1,activity
1,typhoid
1,gadget
1,representative
1,high
1,wait
1,wife
1,servant
1,rail
1,mother
1,wage
1,fleet
1,poverty
1,instrument
1,sorority
1,reputation
1,facility
1,yawl
1,figure
1,naziism
1,union
1,poem
1,source
1,local
1,college
1,bilbo
1,egg
1,flavor
1,intoxication
1,show
1,transport
1,adventure
1,poker
1,delegate
1,music
1,editorial
1,spirit
1,bail
1,china
1,skirt
1,liquid
1,headline
1,jaw
1,thermostat
1,well
1,part
1,quarter
1,tank
1,story
1,trouble
1,zaibatsu
1,henhouse
1,auxiliary
1,favorite
1,minstrel
1,curiosity
1,seat
1,test
1,neighbor
1,party
1,hospital
1,mooch
1,trim
1,direction
1,paranoia
1,station
1,gripon
1,traveler
1,table
1,turnpike
1,suffi
1,development
1,canadian
1,photographer
1,philosophy
1,frequency
1,nationalist
1,treasury
1,woman
1,length
1,simplicity
1,bulk
1,plutonium
1,self-respect
1,opinion
1,fisher
1,aguila
1,clerk
1,clash
1,humanity
1,pitch
1,deficit
1,leadership
1,agency
1,channel
1,riddle
1,vote
1,celebrat
1,oth
1,alligator
1,ark
1,bombardier
1,mine
1,author
1,hustle
1,rib
1,admiral
1,store
1,eagle
1,jurisdiction
1,scrapbook
1,corps
1,acre-feet
1,helium
1,troop
1,custom
1,depression-ridden
1,panagra
1,guest
1,chicken
1,tarpaulin
1,membership
1,program
1,goal
1,dream
1,sleeve
1,train
1,earshot
1,backslide
1,university
1,box
1,accident
1,kettle
1,window
1,shore
1,sheet
1,announcement
1,democracy
1,hengyang
1,comradeship
1,warm
1,alert
1,bill
1,candidacy
1,design
1,hell
1,engagement
1,poetry
1,practice
1,support
1,rope
1,date
1,mischief
1,calf
1,reading
1,melancholy
1,tenant
1,management
1,empire
1,document
1,overhead
1,draftee
1,ring
1,parisian
1,stomach
1,skier
1,white
1,caller
1,happen
