lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[SIGHT],63.0,73.0,76.0,74.0,62.0,85.0,64.0,68.0,56.0,49.0,49.0,25.0,25.0,27.0,17.0,26.0,20.0,23.0,29.0,911.0
[POWER],27.0,22.0,31.0,29.0,34.0,40.0,13.0,22.0,23.0,19.0,13.0,24.0,18.0,15.0,19.0,19.0,12.0,17.0,11.0,408.0
[MONEY],6.0,10.0,12.0,10.0,17.0,16.0,11.0,16.0,25.0,12.0,24.0,36.0,37.0,36.0,32.0,35.0,29.0,23.0,19.0,406.0
[MAN],18.0,8.0,16.0,21.0,21.0,35.0,23.0,25.0,32.0,21.0,19.0,21.0,27.0,15.0,15.0,15.0,7.0,7.0,19.0,365.0
[JOB],0.0,0.0,1.0,0.0,1.0,1.0,0.0,5.0,5.0,7.0,14.0,50.0,43.0,24.0,25.0,30.0,38.0,44.0,57.0,345.0
[WAY],13.0,11.0,17.0,16.0,23.0,23.0,15.0,24.0,24.0,22.0,35.0,14.0,15.0,5.0,11.0,13.0,17.0,22.0,11.0,331.0
[INTEREST],6.0,10.0,8.0,6.0,18.0,12.0,14.0,9.0,14.0,10.0,26.0,30.0,31.0,17.0,25.0,19.0,27.0,18.0,26.0,326.0
[LIFE],21.0,14.0,22.0,17.0,26.0,28.0,18.0,24.0,18.0,24.0,16.0,14.0,12.0,15.0,13.0,14.0,6.0,11.0,10.0,323.0
[CHIEF],3.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,1.0,245.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,264.0
[SENSE],18.0,13.0,8.0,13.0,6.0,17.0,9.0,17.0,10.0,20.0,18.0,16.0,11.0,17.0,6.0,10.0,16.0,17.0,19.0,261.0
[CONTROL],4.0,4.0,0.0,2.0,5.0,1.0,11.0,3.0,6.0,21.0,14.0,7.0,17.0,24.0,16.0,28.0,33.0,25.0,23.0,244.0
