lemma,count
sight,74
"",33
power,29
man,21
life,17
way,16
friend,15
moment,14
sense,13
balance,13
character,12
thing,12
child,12
ground,11
charm,11
hold,11
money,10
value,10
part,10
people,10
treasure,10
soul,9
hope,9
live,9
queen,8
right,8
party,8
portion,8
snow,8
one,7
wood,7
opportunity,7
object,7
will,7
son,7
spirit,7
principle,6
consciousness,6
use,6
quality,6
interest,6
distance,6
admiration,6
influence,6
confidence,6
world,6
labor,6
eye,5
sheep,5
self-control,5
game,5
--,5
companion,5
head,5
trace,5
other,5
virtue,5
beauty,5
think,5
property,5
element,5
heart,5
market,4
city,4
land,4
benefit,4
forest,4
patience,4
fire,4
truth,4
tree,4
breath,4
heaven,4
trunk,4
habit,4
mind,4
rank,4
business,4
brother,4
dread,4
gain,4
daughter,4
whole,4
temper,4
skill,4
honor,4
blood,4
position,4
sea,4
force,4
air,4
study,4
feeling,4
significance,4
relative,4
fact,4
love,4
chance,4
species,4
race,4
reason,4
capacity,3
experiment,3
flesh,3
respect,3
caste,3
substance,3
identity,3
mother,3
reverie,3
growth,3
office,3
voice,3
chief,3
courage,3
strength,3
evil,3
lady,3
rest,3
favorite,3
gun,3
foothold,3
memory,3
home,3
opinion,3
characteristic,3
trade,3
brightness,3
mist,3
atlantis,3
fall,3
meaning,3
kind,3
remembrance,3
view,3
public,3
number,3
degree,3
navigator,3
tribe,3
uncle,3
place,3
//,3
result,3
cause,3
point,3
freshness,3
father,3
woman,3
terror,3
grace,3
set,3
peace,3
term,3
sting,3
condition,3
work,3
majority,3
society,3
cloud,3
maze,3
darling,3
word,3
elasticity,3
presence,3
mean,3
wife,3
light,2
idea,2
revenue,2
operation,2
elk,2
commerce,2
eugenia,2
throne,2
experience,2
seat,2
mass,2
charge,2
illustration,2
pleasure,2
bible,2
title,2
perception,2
affection,2
picture,2
state,2
freedom,2
simplicity,2
bet,2
witness,2
weight,2
estate,2
humanity,2
officer,2
merit,2
vote,2
mountain,2
track,2
income,2
recollection,2
grandeur,2
faith,2
conscience,2
relief,2
language,2
hound,2
din,2
movement,2
dream,2
want,2
sort,2
flock,2
shore,2
faculty,2
zeal,2
deal,2
struggle,2
advantage,2
learn,2
impression,2
deep,2
family,2
familiarity,2
importance,2
support,2
crown,2
disposition,2
article,2
effect,2
meditation,2
division,2
difference,2
gloom,2
senate,2
color,2
sand,2
fear,2
estimation,2
end,2
trail,2
stranger,2
waste,2
ship,2
manure,2
credit,2
swarm,2
type,2
quantity,2
scene,2
command,2
cedar,2
letter,2
spot,2
relish,2
flame,2
play,2
claim,2
control,2
disease,2
astonishment,2
look,2
appearance,2
parent,2
feature,2
capital,2
husband,2
magnitude,2
be,2
ear,2
crew,2
health,2
warrior,2
attention,2
side,2
sinner,2
tinge,2
energy,2
cost,2
existence,2
half,2
association,2
neglect,2
book,2
wonder,2
resistance,2
expedition,2
dinner,2
desert,2
age,2
sister,2
price,2
human,2
infant,2
intensity,2
ally,2
modesty,2
pass,2
assistance,2
excitement,2
president,2
key,2
fleet,2
enthusiasm,2
sleep,2
reputation,2
process,2
rock,2
wealth,2
english,2
tone,2
search,2
water,2
reality,2
exchange,2
leader,2
body,2
mast,2
lord,2
author,2
superiority,1
eurydices,1
locomotion,1
vivacity,1
grossness,1
thought,1
animal,1
trap,1
indolence,1
passage,1
foliage,1
tamper,1
jollity,1
write,1
post,1
haggle,1
yankee,1
laurel,1
product,1
general,1
clergyman,1
prize,1
relationship,1
pocketbook,1
owner,1
report,1
quarrel,1
dark,1
army,1
melody,1
turn,1
dominion,1
trust,1
text,1
loser,1
hoe,1
servant,1
heir,1
thunder,1
multitude,1
wage,1
redemption,1
slave,1
triumph,1
figure,1
moisture,1
crowd,1
college,1
ancestry,1
flavor,1
sport,1
iron-making,1
measure,1
attempt,1
pith,1
desire,1
field,1
avidity,1
customer,1
commander,1
justice,1
trouble,1
story,1
compound,1
island,1
lumber,1
documentary,1
dieu,1
shakspeare,1
pipe,1
girl,1
awe,1
boat,1
summit,1
first-born,1
canal,1
mode,1
supremacy,1
vigor,1
insult,1
extent,1
countenance,1
blossom,1
scold,1
transit,1
engross,1
thi,1
emperor,1
agency,1
cold,1
attribute,1
ness,1
country,1
principal,1
mine,1
agriculture,1
acadia,1
lesson,1
patient,1
twothirds,1
leg,1
particular,1
deformity,1
jungle,1
angel,1
occurrence,1
popularity,1
carol,1
armistice,1
physician,1
taint,1
democracy,1
wild,1
fortune,1
might,1
note,1
bill,1
design,1
lease,1
derangement,1
mamma,1
column,1
background,1
practice,1
rain,1
chase,1
raft,1
lake,1
notice,1
melancholy,1
exchequer,1
church,1
empire,1
stock,1
limb,1
intellectual,1
try,1
favor,1
service,1
mistress,1
penalty,1
antique,1
masterpiece,1
lee,1
ern,1
buoyancy,1
splendor,1
tale,1
shadow,1
joy,1
labyrinth,1
friendship,1
retreat,1
insert,1
march,1
glare,1
uncertainty,1
removal,1
forehead,1
self-sustenance,1
read,1
repose,1
living,1
medium,1
mariner,1
consequence,1
art,1
hat,1
revolution,1
match,1
victim,1
steerage,1
solution,1
face,1
timidity,1
mexican,1
crack,1
assistant,1
instinct,1
recovery,1
champion,1
blount,1
largeness,1
self-direction,1
storm,1
relapse,1
dear,1
visit,1
personality,1
childhood,1
lie,1
bulk,1
branch,1
inquiry,1
camp,1
evidence,1
door,1
ray,1
sorrow,1
interval,1
estimate,1
investment,1
step,1
whaling,1
twig,1
coolness,1
self-management,1
organ,1
garment,1
spread,1
theme,1
self-respect,1
wanderer,1
benefice,1
arm,1
road,1
fog,1
decay,1
insect,1
worth,1
hair,1
curve,1
bee,1
strain,1
individuality,1
demonstration,1
heiress,1
duke,1
spring,1
attractiveness,1
sex,1
situation,1
stand,1
throb,1
primary,1
darkness,1
horror,1
serenity,1
water-course,1
war,1
oar,1
equivalent,1
contraction,1
rogue,1
cannon,1
sun,1
stringency,1
emotion,1
convulsion,1
conqueror,1
attachment,1
manner,1
outlay,1
tyranny,1
variety,1
disciple,1
pursuer,1
hecatomb,1
novelty,1
anathema,1
deliberation,1
weather,1
tresor,1
smoothness,1
insolence,1
axe,1
restfulness,1
continent,1
foe,1
supper,1
divinity,1
remainder,1
label,1
alloy,1
hunter,1
spirituality,1
catholic,1
river,1
hive,1
clothes,1
it,1
hill,1
ence,1
preparation,1
dry,1
glory,1
leaf,1
blue,1
fascination,1
dissolution,1
footing,1
semblance,1
find,1
passenger,1
ferocity,1
fit,1
clergy,1
delay,1
squall,1
act,1
spectacle,1
illusion,1
appreciation,1
calm,1
change,1
accumulation,1
ancestor,1
peculiarity,1
sweetness,1
antiquity,1
horse,1
exception,1
worm,1
cargo,1
herbage,1
milk,1
prince,1
judgment,1
oratory,1
moon,1
tax,1
case,1
ram,1
expression,1
lamb,1
fulness,1
sovereign,1
poet,1
score,1
fancy,1
wanderings,1
grove,1
hurry,1
inheritance,1
pocket,1
savor,1
brood,1
emphasis,1
wisdom,1
pretense,1
correction,1
master,1
crevice,1
rapture,1
bearing,1
construction,1
food,1
return,1
shame,1
malice,1
strife,1
circumstance,1
rider,1
regard,1
usefulness,1
manhood,1
clue,1
noise,1
tie,1
coast,1
rosalie,1
distinctness,1
pocket-book,1
boy,1
baggage,1
salvation,1
descendant,1
high-spirited,1
encumbrance,1
floe,1
advance,1
hue,1
fray,1
trait,1
rifle,1
generation,1
highlands,1
gravel,1
curtain,1
genius,1
guardsman,1
wilderness,1
encamp,1
disturbance,1
glow,1
ball,1
thonght,1
arrow,1
repetition,1
folly,1
ambition,1
seaman,1
beginning,1
effort,1
jot,1
painting,1
government,1
berry,1
fly,1
humility,1
lustre,1
sum,1
private,1
sensitiveness,1
self-distrust,1
pulpit,1
tragedy,1
watch,1
elder,1
woe,1
trophy,1
conception,1
vision,1
landmark,1
voyage,1
mag,1
delicateness,1
intuition,1
province,1
edge,1
constituent,1
kick,1
prominence,1
rose,1
song,1
billet,1
patriotism,1
wire,1
duty,1
hen,1
nature,1
lip,1
strong-armed,1
aspect,1
height,1
care,1
glassiness,1
confusion,1
appetite,1
chagrin,1
method,1
speculation,1
sin,1
universe,1
journal,1
resolution,1
discomfort,1
lightfoot,1
cry,1
sword,1
better,1
vacancy,1
reverence,1
insanity,1
court,1
path,1
elysium,1
dog,1
fluctuation,1
delicacy,1
satisfaction,1
forbearance,1
prue,1
tongue,1
invitation,1
nation,1
stream,1
notion,1
chain,1
turk,1
chill,1
tittle,1
enemy,1
analyst,1
phrase,1
institution,1
psalm,1
possession,1
gathering,1
ranger,1
decision,1
eurydice,1
material,1
emigrant,1
soil,1
anxiety,1
success,1
sound,1
vessel,1
trout,1
listlessness,1
expiation,1
smoke,1
efficiency,1
garden,1
paradise,1
unresisting,1
dignity,1
religion,1
proserpine,1
confus,1
lameness,1
aunt,1
saddle,1
sternness,1
flash,1
boatmen,1
call,1
morsel,1
equanimity,1
bar,1
reasoning,1
contact,1
maccaroni,1
/z/,1
talk,1
lack,1
doubt,1
training,1
piece,1
house,1
glove,1
walk,1
foam,1
temporality,1
governor,1
perspective,1
withdrawal,1
proof,1
remorse,1
amount,1
action,1
jewel,1
perfection,1
decency,1
region,1
cattle,1
solidity,1
gentleness,1
refinement,1
order,1
supply,1
sustenance,1
distinction,1
speed,1
loveliness,1
student,1
transaction,1
thread,1
reckoning,1
fanatic,1
concern,1
crime,1
elf,1
plain,1
lover,1
purchaser,1
suggestion,1
debate,1
conquest,1
failure,1
grant,1
outline,1
forgiveness,1
disappointment,1
wit,1
destiny,1
pity,1
fountain,1
consideration,1
repulsiveness,1
eternity,1
coun,1
vapor,1
space,1
