count,lemma
11,money
11,sight
8,confidence
8,power
7,job
6,group
6,temper
6,head
6,live
6,faith
5,""
5,man
5,part
5,touch
5,want
5,interest
5,battle
5,cause
5,weight
4,shape
4,investment
4,role
3,soul
3,prestige
3,significance
3,sex
3,importance
3,hair
3,amount
3,opportunity
3,hope
3,leader
3,world
3,child
3,character
2,ring
2,contact
2,strength
2,darkness
2,leadership
2,capacity
2,war
2,wife
2,work
2,position
2,consequence
2,roman
2,advantage
2,fortune
2,sales
2,total
2,hold
2,husband
2,catties
2,loan
2,cook
2,saving
2,efficiency
2,value
2,control
2,death
2,flour
2,sale
2,home
2,race
2,life
2,way
2,thing
2,eye
2,spirit
2,wool
2,effort
2,land
2,right
2,attempt
2,reserve
2,number
2,french
2,water
2,other
2,service
2,feel
1,flexibility
1,guillotine
1,trade
1,influence
1,six-shooter
1,support
1,rain
1,word
1,breakdown
1,odor
1,present
1,district
1,bearing
1,noren
1,snow
1,wastage
1,merchandise
1,discussion
1,ax
1,hinterland
1,provincial
1,catholicism
1,stock
1,cattle
1,gentleman
1,security
1,distinction
1,drown
1,initial
1,student
1,goodwill
1,transaction
1,son
1,clue
1,principle
1,salesperson
1,baby
1,fat
1,class
1,tie
1,beard
1,mission
1,fief
1,force
1,spontaneity
1,corner
1,vitamin
1,average
1,rate
1,quantity
1,adenoid
1,equipment
1,reef
1,pep
1,ship
1,wearability
1,evaporation
1,line
1,resentment
1,mineral
1,trait
1,potential
1,wear
1,chance
1,ore
1,debris
1,fact
1,depression
1,mobility
1,beat
1,bolt
1,spear
1,market
1,nickel
1,wilderness
1,smartness
1,grueling
1,flume
1,living
1,salespeople
1,ember
1,progress
1,buy
1,obscurity
1,occasion
1,feces
1,art
1,navy
1,skull
1,people
1,ambition
1,passage
1,fall
1,fire
1,farm
1,rightness
1,transmission
1,past
1,consumer
1,tail
1,look
1,product
1,government
1,general
1,polarity
1,condition
1,association
1,choice
1,face
1,//
1,contract
1,shoot
1,ravage
1,candle
1,blizzard
1,business
1,inflection
1,memory
1,peon
1,human
1,period
1,sense
1,producer
1,wage
1,forest
1,system
1,slave
1,game
1,ground
1,sincerity
1,figure
1,recording
1,fervor
1,expense
1,ability
1,energy
1,vision
1,correlation
1,advancement
1,edge
1,mother
1,chief
1,whiff
1,attention
1,sleep
1,key
1,comply
1,pliny
1,fun
1,bran
1,sell
1,need
1,source
1,impressiveness
1,bulk
1,portion
1,illness
1,civilization
1,offense
1,sheep
1,calf
1,transparency
1,existence
1,freedom
1,unity
1,dress
1,venture
1,adulteration
1,tooth
1,reason
1,silt
1,resource
1,composure
1,consciousness
1,knight
1,book
1,journal
1,heart
1,superstition
1,revolutionist
1,rank
1,italian
1,self-respect
1,brush
1,charm
1,brother
1,decay
1,cognition
1,vehemence
1,ornament
1,habit
1,society
1,conflict
1,intensity
1,tongue
1,belief
1,individuality
1,swamp
1,town
1,pugnacity
1,quality
1,person
1,disuse
1,restraint
1,command
1,characteristic
1,love
1,artisan
1,sproul
1,monopoly
1,amazement
1,stand
1,section
1,generality
1,fashion
1,institution
1,journey
1,possession
1,parent
1,sea
1,degree
1,soil
1,--
1,devotion
1,success
1,manner
1,father
1,fame
1,mire
1,beauty
1,inter-sections
1,skill
1,beer
1,reassertion
1,velocity
1,religion
1,colony
1,finder
1,silica
1,identity
1,crispness
1,insecurity
1,allyl
1,career
1,status
1,machine
1,nerve
1,memorial
1,completion
1,commonwealth
1,chick
1,virility
1,office
1,field
1,customer
1,complexion
1,hand
1,meaning
1,gain
1,spell
1,sky
1,re-election
1,finger
1,test
1,lust
1,direction
1,citizenship
1,sulphide
1,unlimbering
1,heirloom
1,short
1,collapse
1,state
1,label
1,plane
1,catholic
1,difference
1,vigor
1,length
1,simplicity
1,laughter
1,carelessness
1,industry
1,transit
1,potency
1,footing
1,scholarship
1,effect
1,form
1,change
1,sermon
1,production
1,vote
1,antiquity
1,horse
1,companion
1,track
1,phlogiston
1,continuity
1,carry
1,tonsil
1,bottom
1,lead
1,novelist
1,preconception
1,substance
1,fight
1,program
1,membership
1,tax
1,jew
1,lamb
1,decrease
1,nutrient
1,plea
1,surgery
1,exhalation
1,accident
1,trace
1,stein
1,observer
1,environment
1,struggle
1,nourishment
1,individual
1,territory
1,foundation
