lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[POSITION],3.0,9.0,17.0,12.0,9.0,10.0,10.0,15.0,13.0,18.0,9.0,11.0,9.0,13.0,9.0,8.0,6.0,6.0,9.0,196.0
[ORDER],5.0,6.0,5.0,4.0,13.0,7.0,2.0,7.0,6.0,12.0,10.0,8.0,18.0,20.0,14.0,14.0,12.0,14.0,2.0,179.0
[RIGHT],9.0,22.0,19.0,19.0,10.0,11.0,9.0,4.0,6.0,3.0,2.0,5.0,4.0,4.0,0.0,3.0,5.0,4.0,0.0,139.0
[STANDARD],1.0,0.0,1.0,1.0,0.0,2.0,4.0,3.0,6.0,10.0,9.0,10.0,30.0,5.0,9.0,4.0,7.0,9.0,2.0,113.0
[GOVERNMENT],6.0,2.0,9.0,11.0,12.0,13.0,6.0,6.0,4.0,6.0,6.0,5.0,6.0,5.0,2.0,3.0,2.0,2.0,2.0,108.0
[POWER],3.0,7.0,3.0,6.0,6.0,6.0,2.0,3.0,4.0,6.0,2.0,5.0,13.0,7.0,8.0,6.0,5.0,6.0,7.0,105.0
[LEVEL],2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,5.0,1.0,5.0,8.0,11.0,5.0,5.0,4.0,22.0,14.0,16.0,101.0
[SYSTEM],3.0,1.0,12.0,6.0,3.0,1.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,8.0,8.0,9.0,7.0,94.0
[CONTROL],1.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,6.0,3.0,6.0,6.0,4.0,5.0,13.0,13.0,11.0,12.0,91.0
[PEACE],0.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,4.0,2.0,6.0,7.0,7.0,11.0,10.0,3.0,7.0,1.0,5.0,89.0
[STATE],3.0,5.0,6.0,7.0,6.0,4.0,4.0,7.0,5.0,4.0,6.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,5.0,88.0
[BALANCE],2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,5.0,6.0,2.0,7.0,9.0,5.0,4.0,11.0,11.0,7.0,13.0,88.0
