lemma,count
silence,12
"",11
correspondence,11
intercourse,10
right,9
force,7
contest,6
ground,6
character,6
integrity,6
government,6
independence,6
place,6
truth,5
opinion,5
principle,5
order,5
rule,4
interest,4
authority,4
course,4
influence,4
public,4
cause,4
stand,4
mind,4
sense,4
uniform,4
conversation,3
soul,3
man,3
word,3
power,3
state,3
navy,3
dignity,3
position,3
fidelity,3
part,3
rank,3
composure,3
system,3
seat,3
reputation,3
family,3
doctrine,3
present,3
action,3
question,3
relation,3
treaty,2
level,2
vigilance,2
distance,2
religion,2
community,2
effort,2
heart,2
innocence,2
land,2
presence,2
affection,2
country,2
opposition,2
sister,2
station,2
citizen,2
perfection,2
letter,2
conflict,2
supply,2
sovereignty,2
ascendency,2
bounty,2
air,2
enjoyment,2
province,2
effect,2
garrison,2
attention,2
whole,2
law,2
inviolate,2
evil,2
sway,2
practice,2
home,2
conviction,2
school,2
equality,2
height,2
wealth,2
epistolary,2
writer,2
existence,2
manner,2
parliament,2
validity,2
hold,2
general,2
balance,2
//,2
form,2
claim,2
light,2
prerogative,1
capital,1
resemblance,1
species,1
period,1
forest,1
patience,1
constituent,1
mother,1
chief,1
muscle,1
subject,1
probability,1
feel,1
throne,1
duty,1
affair,1
nature,1
laborer,1
inquiry,1
evidence,1
freedom,1
eminence,1
care,1
unity,1
child,1
cheerfulness,1
tooth,1
assembly,1
population,1
orphan,1
consciousness,1
publication,1
journal,1
point,1
book,1
sake,1
other,1
faith,1
conscience,1
inflexibility,1
self-respect,1
republican,1
arm,1
brother,1
limit,1
fitting,1
forbearance,1
czar,1
blasphemy,1
converse,1
nation,1
stream,1
supervision,1
town,1
basis,1
person,1
notion,1
command,1
economy,1
intrepidity,1
situation,1
allusion,1
negative,1
instance,1
institution,1
argument,1
serenity,1
lodging,1
possession,1
war,1
prayer,1
parent,1
affirmative,1
purpose,1
risk,1
foothold,1
material,1
reality,1
revelation,1
usage,1
object,1
pledge,1
vagabond,1
legislature,1
subscription,1
police,1
price,1
remedy,1
statement,1
requirement,1
proportion,1
engine,1
wall,1
male,1
wlien,1
extinction,1
drain,1
idea,1
county,1
ako,1
fellow,1
/z/,1
trespass,1
doubt,1
hut,1
congress,1
house,1
piece,1
instructor,1
sultan,1
assumption,1
walk,1
regret,1
distinction,1
consonance,1
fee,1
sympathy,1
advantage,1
partizans,1
league,1
intention,1
absurdity,1
importance,1
standard,1
punishment,1
lover,1
annal,1
prospect,1
color,1
contrary,1
indian,1
legion,1
secretion,1
wit,1
stern,1
consideration,1
disbelief,1
austerity,1
superiority,1
competition,1
control,1
privilege,1
warfare,1
altitude,1
animal,1
number,1
confession,1
people,1
passage,1
post,1
toil,1
tenacity,1
remark,1
respect,1
settlement,1
pretension,1
breath,1
work,1
army,1
age,1
void,1
series,1
dominion,1
passing,1
portrait,1
honor,1
union,1
college,1
expense,1
deportment,1
navigation,1
american,1
sharpers,1
tranquillity,1
tranquility,1
attempt,1
spirit,1
field,1
pastor,1
novelty,1
way,1
pleasure,1
unflagging,1
uprightness,1
president,1
girl,1
history,1
discipline,1
impatience,1
ancient,1
justification,1
cleanliness,1
cession,1
treasury,1
valor,1
profession,1
neutrality,1
length,1
countenance,1
city,1
industry,1
parley,1
clergy,1
renown,1
suit,1
act,1
bond,1
coalition,1
merit,1
education,1
impartiality,1
client,1
antiquity,1
schoolfellow,1
boabdil,1
authori,1
patient,1
bank,1
fight,1
appointment,1
case,1
particle,1
train,1
hostility,1
exhalation,1
accident,1
voice,1
tone,1
water,1
spending,1
individual,1
danger,1
abode,1
trade,1
conformity,1
dependance,1
being,1
district,1
elector,1
magistrate,1
uneasiness,1
tenant,1
circumstance,1
difficulty,1
stratagem,1
mean,1
kingdom,1
play,1
son,1
mankind,1
horseman,1
feeling,1
virtue,1
boldness,1
life,1
immateriality,1
gratitude,1
embargo,1
commerce,1
interview,1
march,1
loneliness,1
fact,1
rest,1
porte,1
theory,1
repetition,1
locomotive,1
correctness,1
fall,1
tenor,1
farm,1
share,1
appearance,1
look,1
interference,1
french,1
