count,lemma
96,""
74,appearance
63,use
38,part
34,way
34,law
33,man
31,escape
29,arrangement
28,attempt
25,preparation
25,/z/
24,effort
24,people
24,progress
24,home
24,king
23,shoot
21,difference
19,plant
18,impression
17,foot
17,subject
17,thing
17,object
17,sacrifice
17,mind
17,country
16,objection
16,--
16,wood
16,place
16,peace
15,border
15,inquiry
15,slave
15,pillar
14,provision
14,distinction
14,right
13,purpose
13,speech
13,government
13,observation
13,bargain
13,treaty
13,remark
13,general
12,change
12,constitution
12,public
12,prisoner
12,excursion
12,advance
12,answer
12,business
11,ground
11,manner
11,report
11,fruit
10,kind
10,fire
10,subservient
10,head
10,vine
10,money
9,article
9,work
9,variety
9,war
9,experiment
9,sort
9,matter
9,word
9,wine
9,improvement
9,will
9,supply
9,debut
9,root
9,allowance
9,form
9,light
8,application
8,question
8,act
8,body
8,amendment
8,statement
8,member
8,tree
8,person
8,image
8,friend
8,plan
8,house
8,faith
8,name
8,state
8,fact
8,power
7,point
7,colony
7,demand
7,other
7,water
7,motion
7,cross
7,character
7,interest
7,eye
7,slavery
7,labor
7,address
7,exertion
7,road
7,tour
7,capital
7,circumstance
7,principle
7,cause
7,standard
7,complaint
7,expression
7,idea
7,difficulty
7,stone
7,proposition
7,profit
7,contract
7,approach
7,committee
7,proposal
7,rose
6,knowledge
6,oath
6,declaration
6,authority
6,cut
6,prayer
6,bow
6,bread
6,coast
6,pilgrimage
6,judgment
6,cotton
6,condition
6,leaf
6,journey
6,number
6,liquor
6,nomination
6,wife
6,blood
6,present
6,gentleman
6,amends
6,nation
6,heart
6,disposition
6,surface
6,appeal
6,convention
6,reply
6,growth
6,stand
6,mean
6,debt
5,acquaintance
5,congress
5,hair
5,church
5,profession
5,search
5,hand
5,interior
5,charge
5,parliament
5,cider
5,bark
5,respect
5,love
5,duke
5,land
5,soil
5,case
5,minister
5,term
5,display
5,action
5,legislature
5,effect
5,care
5,good
5,attack
5,mother
5,silver
5,religion
5,piece
5,mankind
5,flower
5,marriage
5,quantity
5,property
5,vessel
5,rule
5,deficiency
5,book
5,individual
4,bone
4,design
4,practice
4,reference
4,compact
4,register
4,relief
4,trial
4,intention
4,division
4,conquest
4,return
4,stock
4,voyage
4,privilege
4,service
4,family
4,manure
4,mistake
4,chief
4,meeting
4,resistance
4,system
4,alteration
4,doctrine
4,supposition
4,space
4,plank
4,atonement
4,horse
4,pound
4,pretension
4,bush
4,end
4,food
4,manufacturing
4,earth
4,truth
4,plate
4,portion
4,period
4,existence
4,flour
4,operation
4,duty
4,city
4,officer
4,realm
4,departure
4,instance
4,iron
4,result
4,distance
4,wind
4,heaven
4,thread
4,whole
4,knife
4,communication
4,course
4,mountain
4,final
4,wealth
4,english
4,pruning
4,view
4,measure
4,father
4,protection
4,sentiment
4,justice
4,grape
4,party
4,loss
4,dwarf
4,canal
4,woman
4,skin
4,preserve
4,principal
3,assembly
3,kingdom
3,value
3,president
3,requisition
3,language
3,market
3,support
3,visit
3,collection
3,want
3,spectrum
3,sea
3,life
3,voter
3,moment
3,engagement
3,injury
3,explanation
3,foreigner
3,secret
3,household
3,example
3,offer
3,beginning
3,discovery
3,master
3,expense
3,clause
3,society
3,flint
3,exit
3,justification
3,laborer
3,glass
3,senate
3,lash
3,pole
3,cake
3,choice
3,manifest
3,apology
3,affection
3,examination
3,mode
3,occasion
3,descent
3,ship
3,content
3,execution
3,tool
3,list
3,indian
3,precaution
3,soap
3,amount
3,source
3,shade
3,mischief
3,favorite
3,calculation
3,district
3,one
3,stuff
3,letter
3,bride
3,allusion
3,grant
3,circuit
3,citizen
3,bank
3,ballot
3,husband
3,death
3,fight
3,ideal
3,pursuance
3,nature
3,side
3,qualification
3,quarter
3,dung
3,child
3,sash
3,world
3,foundation
3,selection
3,copper
3,firm
3,concession
3,capture
3,ticket
3,french
3,assertion
3,noise
3,trade
3,plain
3,be
3,corn
3,bishop
3,governor
3,civilization
3,shape
3,theatre
3,god
3,meaning
3,order
3,branch
3,liquid
3,railroad
3,show
3,class
3,element
3,resolution
3,flesh
3,advantage
2,force
2,influence
2,agent
2,obsidian
2,start
2,prince
2,animal
2,purchase
2,fine
2,rest
2,talk
2,beast
2,parent
2,spring
2,entrance
2,hollow
2,manioc
2,shoe
2,emancipation
2,haste
2,back
2,ritual
2,total
2,safety
2,dispute
2,casualty
2,rice
2,sex
2,excitement
2,singular
2,wilderness
2,intellectual
2,situation
2,monopoly
2,study
2,group
2,captain
2,tobacco
2,transaction
2,territory
2,evil
2,duchess
2,discrimination
2,avenue
2,heal
2,confidant
2,mud
2,suggestion
2,log
2,punishment
2,appointment
2,inhabitant
2,extract
2,brass
2,scripture
2,sign
2,record
2,regulation
2,notice
2,clergy
2,passage
2,slit
2,marine
2,meal
2,manufacturer
2,manager
2,product
2,beam
2,independence
2,sun
2,sympathy
2,rebel
2,herschel
2,dominion
2,cable
2,human
2,jelly
2,beauty
2,speed
2,instrument
2,moisture
2,sport
2,stage
2,county
2,barrel
2,cane
2,lord
2,exception
2,midst
2,basket
2,spirit
2,relation
2,desire
2,page
2,fortune
2,weapon
2,silk
2,farmer
2,author
2,behalf
2,archbishop
2,call
2,contribution
2,race
2,birth
2,earl
2,manufacture
2,species
2,tart
2,altar
2,gaze
2,priest
2,greatness
2,fish
2,benefit
2,mention
2,tax
2,opposition
2,deer
2,victim
2,fault
2,embarkation
2,intimacy
2,center
2,association
2,bowl
2,obligation
2,widow
2,recovery
2,sin
2,slaveholder
2,queen
2,pay
2,irruption
2,bay
2,tea
2,sense
2,future
2,girl
2,majority
2,noblemen
2,soda
2,room
2,poverty
2,machinery
2,street
2,primitive
2,suffering
2,imperative
2,art
2,squadron
2,figure
2,maize
2,acknowledgment
2,american
2,claim
2,continent
2,discussion
2,due
2,school
2,guilt
2,havoc
2,parade
2,dividend
2,hole
2,disturbance
2,office
2,surplus
2,trouble
2,island
2,negro
2,pope
2,regent
2,camp
2,door
2,account
2,crop
2,gold
2,plantation
2,sum
2,discourse
2,expedition
2,welcome
2,defense
2,reader
2,dish
2,culture
2,carpet
2,substitute
2,department
2,regularity
2,inference
2,round
2,laugh
2,price
2,wire
2,song
2,endeavor
2,flat
2,aspect
2,investment
2,incursion
2,enquiry
2,supper
2,essay
2,issue
2,prohibition
2,method
2,representation
2,twig
2,gratification
2,garment
2,prey
2,mat
2,dust
2,court
2,honor
2,count
2,substance
2,colour
2,apple
2,stranger
2,advice
2,looking-glass
2,satisfaction
2,entry
2,paper
2,excuse
2,commerce
2,ally
2,residence
2,tongue
2,amusement
2,basis
2,town
2,friendship
2,scene
2,turn
2,grass
2,congregation
2,color
2,succession
2,inclination
2,vehicle
2,enemy
2,volcano
2,uniform
2,temper
2,commission
2,consent
2,head-quarters
2,cheese
2,air
2,female
2,produce
2,write
2,candidate
2,decision
1,appendix
1,trough
1,laio
1,counsel
1,lecture
1,sugar
1,prepare
1,universality
1,morrice
1,nerve
1,hell
1,matt
1,gourd
1,pursuit
1,receipt
1,gain
1,razor
1,finish
1,emit
1,combatant
1,lust
1,lady
1,forbear
1,presentation
1,happiness
1,philosophy
1,tradition
1,pendulum
1,impiety
1,seat
1,spoon
1,sight
1,clothes
1,review
1,glory
1,contrast
1,berth
1,blue
1,find
1,screen
1,request
1,proficiency
1,tube
1,education
1,pile
1,expenditure
1,bed
1,superintendent
1,ingenuity
1,deed
1,milk
1,sailor
1,osier
1,groundwork
1,tin
1,building
1,scream
1,sovereign
1,thrust
1,bondman
1,consistence
1,voice
1,refuge
1,gulf
1,danger
1,conformity
1,fatter
1,platinum
1,being
1,climate
1,vpon
1,bearing
1,construction
1,topic
1,elector
1,entertainment
1,consul
1,newspaper
1,security
1,ivory
1,keystone
1,average
1,gospel
1,boy
1,sweetmeat
1,brigadier
1,magnet
1,ingredient
1,cheer
1,dra
1,requisite
1,encounter
1,despot
1,bet
1,spear
1,genius
1,flag
1,estate
1,petition
1,shrub
1,aud
1,deception
1,steamboat
1,event
1,promise
1,hump
1,romanism
1,narrative
1,stout
1,hypocrite
1,cowskin
1,gash
1,currant
1,fly
1,vice
1,raisin
1,heap
1,sand
1,fury
1,spot
1,sine
1,brigade
1,protestation
1,mail
1,camel
1,miracle
1,healing
1,current
1,edge
1,sleep
1,tributary
1,cookery
1,dance
1,wort
1,bible
1,height
1,picture
1,survivor
1,sheep
1,seal
1,freedom
1,carbonate
1,synonyme
1,monster
1,population
1,maraschino
1,mill
1,hostage
1,company
1,conscience
1,poore
1,path
1,brush
1,clearness
1,republican
1,holiness
1,willow
1,celerity
1,peg
1,habit
1,planet
1,spoliation
1,reward
1,apportionment
1,paint
1,fritter
1,huguenot
1,saint
1,mount
1,cloth
1,bell
1,woode
1,whey
1,credit
1,addition
1,ghost
1,comment
1,equator
1,idleness
1,contemporary
1,desponding
1,chaos
1,black
1,clay
1,hamblin
1,landscape
1,caldron
1,uno
1,stick
1,gruel
1,leap
1,fame
1,sound
1,ballet
1,skill
1,modification
1,tender
1,linen
1,garden
1,chasm
1,rapidity
1,stiff
1,tliat
1,cleere
1,information
1,wall
1,location
1,toulon
1,official
1,brigadier-general
1,aid
1,career
1,machine
1,footstool
1,size
1,saving
1,lama
1,assault
1,neck
1,hyeres
1,proximity
1,region
1,quota
1,fat
1,acknowledgement
1,origin
1,manufactory
1,contrary
1,papist
1,visitation
1,disqualification
1,barter
1,consideration
1,fountain
1,beat
1,surprise
1,statue
1,criminal
1,covenant
1,agreement
1,utterance
1,smile
1,box-wood
1,charter
1,move
1,stew
1,baron
1,quarterly
1,disguise
1,bunch
1,hope
1,ditty
1,downe
1,glitter
1,wage
1,chestnut
1,denomination
1,booth
1,restlessness
1,pioneer
1,grammar
1,music
1,cutting
1,editorial
1,daughter
1,illumination
1,stool
1,revenue
1,discount
1,teaching
1,christian
1,gaul
1,supplication
1,lyke
1,pleasure
1,marquis
1,commemoration
1,calamity
1,slaughter
1,history
1,boat
1,fund
1,linsey
1,development
1,restitution
1,gas
1,treasury
1,inquisition
1,exactness
1,length
1,misconduct
1,broth
1,bead
1,mix
1,bale
1,opinion
1,inside
1,emperor
1,rong
1,humanity
1,ado
1,parting
1,proverb
1,enjoyment
1,dissension
1,purveyor
1,kant
1,combination
1,cuckold
1,intelligence
1,hobby
1,bound
1,ministry
1,gallician
1,go
1,chair
1,listener
1,pen
1,offering
1,acid
1,wake
1,adoption
1,urea
1,upper-ground
1,continuance
1,abomination
1,memorandum
1,troop
1,self-willed
1,woolman
1,pimp
1,prejudice
1,compost
1,tack
1,proclamation
1,staples
1,channel
1,bristle
1,favourite
1,turnpike
1,bear
1,tea-pots
1,river
1,catholic
1,relative
1,it
1,sterne
1,foote
1,dissolution
1,passenger
1,destruction
1,vow
1,determination
1,thraldom
1,inspection
1,copy
1,exposure
1,qua
1,baptism
1,pshaw
1,impartiality
1,maximum
1,production
1,accumulation
1,burthen
1,argelander
1,ease
1,companion
1,horsehair
1,cargo
1,volunteer
1,offender
1,take
1,science
1,missionary
1,news
1,jew
1,speak
1,cost
1,harbor
1,fancy
1,drows
1,obeisance
1,verification
1,obedience
1,cushion
1,nunnery
1,observer
1,stamp
1,salt
1,interchange
1,amendes
1,abode
1,negation
1,yard
1,hume
1,messiah
1,colonel
1,correction
1,pie
1,texture
1,roundhead
1,intercourse
1,regard
1,iodide
1,canopy
1,scruple
1,steel
1,play
1,health
1,apartment
1,launch
1,no
1,chalk
1,slander
1,precipitate
1,conversion
1,canary
1,nitrogen
1,spawn
1,artist
1,outcast
1,mass
1,effectual
1,salutation
1,infinity
1,composition
1,generation
1,persuasion
1,construe
1,drama
1,fiber
1,fur
1,grouping
1,sounding
1,sweep
1,delight
1,plume
1,sloop
1,error
1,pressure
1,movement
1,gem
1,theyr
1,metaphor
1,fortress
1,bonfire
1,tragedy
1,soul
1,watch
1,emulation
1,german
1,gesture
1,sole
1,resort
1,club
1,advancement
1,policy
1,helper
1,invalid
1,oak
1,treasurer
1,devotee
1,brick
1,middle
1,wish
1,employer
1,egress
1,journal
1,sake
1,abstract
1,moss
1,tendency
1,liberty
1,eclipse
1,lieutenant
1,leather
1,shelter
1,birch
1,miscreant
1,bridle
1,swamp
1,board
1,pair
1,chisel
1,stream
1,bag
1,stay
1,by-law
1,magnificence
1,felony
1,incision
1,institution
1,heat
1,non
1,mystery
1,possession
1,reception
1,inroad
1,census
1,ligament
1,material
1,admirer
1,mule
1,verse
1,pledge
1,battle
1,shortness
1,theater
1,density
1,participant
1,hamlet
1,engine
1,junction
1,attainment
1,string
1,buckskin
1,convertible
1,process
1,furnace
1,foole
1,partake
1,clatter
1,larch
1,mercury
1,concert
1,mouth
1,merchandise
1,formation
1,republic
1,weight
1,dependent
1,fringe
1,hatred
1,democrat
1,follower
1,medicine-man
1,angle
1,bounty
1,faculty
1,treasure
1,league
1,seed
1,pretext
1,earnestness
1,throng
1,draft
1,failure
1,eruption
1,keen-edged
1,earthenware
1,destiny
1,understanding
1,sinew
1,amber
1,refuse
1,control
1,ropemaker
1,thought
1,chattel
1,reconciliation
1,mortar
1,bird
1,foliage
1,toil
1,taxation
1,loam
1,age
1,utility
1,overture
1,goddess
1,pass
1,misstatement
1,extremity
1,sulphur
1,certaine
1,capability
1,field
1,contention
1,nominate
1,well
1,penitence
1,still
1,wretch
1,almond
1,well-formed
1,coagulum
1,bankrupt
1,vigor
