count,lemma
82,man
76,""
43,use
39,way
38,impression
35,law
34,mind
34,appearance
30,effort
28,speech
28,public
26,progress
23,provision
22,war
22,state
21,other
20,attempt
20,report
20,arrangement
20,people
19,power
18,money
18,preparation
17,world
17,government
16,friend
16,distinction
16,reference
16,rule
15,life
15,slave
15,point
14,party
14,subject
14,observation
14,difference
14,nation
14,part
13,mistake
13,choice
13,general
13,object
13,//
13,work
13,land
13,case
13,thing
13,discovery
12,extract
12,sacrifice
12,congress
12,mean
12,pretension
12,home
11,profession
11,escape
11,duty
11,--
11,interest
11,figure
11,religion
11,country
10,person
10,experiment
10,study
10,excursion
10,remark
10,history
10,treaty
10,advance
10,heart
10,house
10,place
10,purpose
10,prisoner
10,visit
10,action
9,matter
9,selection
9,nature
9,right
9,society
9,direction
9,human
9,show
9,name
9,allowance
9,trial
9,regulation
9,peace
9,room
9,settlement
8,science
8,president
8,judge
8,territory
8,demand
8,word
8,appeal
8,comparison
8,plain
8,exception
8,truth
8,complaint
8,acquaintance
8,office
8,tour
8,labor
8,church
8,enemy
7,statement
7,present
7,live
7,kind
7,earth
7,allusion
7,knowledge
7,portion
7,supposition
7,noise
7,journey
7,body
7,god
7,character
7,application
7,address
7,book
7,image
7,view
7,hand
7,spot
7,change
6,display
6,instrument
6,head
6,attainment
6,measurement
6,passage
6,number
6,light
6,survey
6,wood
6,occasion
6,art
6,reader
6,account
6,subservient
6,experience
6,basis
6,gold
6,minister
6,education
6,faith
6,end
6,system
6,ground
6,business
6,want
6,class
6,movement
6,spirit
6,proclamation
6,condition
6,officer
6,favor
5,water
5,foot
5,stand
5,discrimination
5,college
5,concession
5,quotation
5,will
5,article
5,governor
5,whole
5,eye
5,series
5,authority
5,principle
5,proof
5,property
5,music
5,example
5,opposition
5,harbor
5,defense
5,proportion
5,improvement
5,road
5,father
5,appointment
5,covenant
5,city
5,marriage
5,investment
5,success
5,idea
5,profit
5,silver
5,bargain
5,claim
5,standard
5,examination
5,judgment
5,department
5,side
5,artist
5,difficulty
5,inquiry
5,addition
5,cause
5,constitution
5,step
5,attack
4,total
4,question
4,assertion
4,council
4,literature
4,memory
4,contract
4,capital
4,farmer
4,hat
4,reply
4,removal
4,volume
4,collection
4,loan
4,might
4,exchange
4,stock
4,abode
4,master
4,return
4,supply
4,deduction
4,heaven
4,machine
4,result
4,fame
4,town
4,bible
4,tributary
4,offer
4,lesson
4,beginning
4,fact
4,acknowledgment
4,soul
4,future
4,burden
4,influence
4,committee
4,happiness
4,amends
4,liberty
4,board
4,grant
4,stride
4,relation
4,woman
4,inroad
4,ministry
4,shore
4,advocate
4,scythe
4,english
4,record
4,argument
4,production
4,cheese
4,christian
4,haste
4,declaration
4,theni
4,sort
4,dinner
4,sign
4,fire
3,piety
3,specimen
3,school
3,letter
3,signal
3,ship
3,oral
3,promise
3,intention
3,candle
3,contribution
3,bad
3,period
3,language
3,sympathy
3,delight
3,mention
3,charge
3,forest
3,proprietor
3,christianity
3,opportunity
3,wilderness
3,picture
3,conscience
3,portrait
3,industry
3,court
3,path
3,mass
3,commerce
3,author
3,soldier
3,mode
3,representation
3,love
3,canal
3,landscape
3,imposture
3,thought
3,conclusion
3,decision
3,iron
3,incident
3,tender
3,hut
3,assumption
3,reform
3,legislature
3,jericho
3,calculation
3,paper
3,expedition
3,pretense
3,course
3,good
3,product
3,wool
3,representative
3,objection
3,reputation
3,manner
3,plan
3,copy
3,sea
3,sun
3,justice
3,custom
3,oath
3,roman
3,form
3,disposition
3,source
3,boat
3,weight
3,injury
3,criticism
3,ascent
3,maintenance
3,dash
3,king
3,interior
3,service
3,agent
3,asylum
3,scale
3,force
3,gift
3,virtue
3,reparation
3,plant
3,feeling
3,meeting
3,family
3,line
3,prize
3,merchant
3,metal
3,wine
3,coat
3,senate
3,glass
3,wind
3,estimate
3,entry
3,street
3,salary
3,editor
3,demonstration
3,island
3,village
3,child
3,writer
3,belief
3,fall
3,citizen
3,field
3,ornament
3,look
3,proselytes
3,communication
3,pursuit
3,philosophy
3,glory
3,sake
3,quarter
3,preacher
3,act
3,proficiency
