count,lemma
99,way
93,mind
62,""
58,effort
57,mistake
50,man
48,thing
45,difference
32,fire
31,noise
29,sound
29,move
28,friend
28,home
25,use
24,people
24,sign
23,fun
23,gesture
22,haste
22,love
22,remark
22,hand
22,life
21,trouble
21,fool
20,room
19,comment
18,note
18,trip
18,reply
17,feel
17,point
17,inquiry
17,work
17,attempt
17,think
17,right
17,call
16,face
16,answer
15,bed
15,discovery
14,impression
14,girl
14,look
13,house
13,money
13,boy
13,start
13,progress
13,heart
12,mother
12,statement
12,preparation
12,light
11,fortune
11,place
11,story
11,acquaintance
11,run
11,boat
11,appearance
11,back
11,woman
10,sick
10,eye
10,name
10,change
10,signal
10,camp
9,motion
9,escape
9,movement
9,dash
9,purpose
9,row
9,bargain
9,bow
9,break
9,game
9,sort
9,speech
8,bread
8,promise
8,fly
8,smoke
8,other
8,fuss
8,tea
8,husband
8,cry
8,appeal
8,apology
8,living
8,circle
8,journey
8,door
8,excuse
8,picture
7,decision
7,talk
7,public
7,success
7,hole
7,meaning
7,sun
7,amends
7,pie
7,headway
7,situation
7,blood
7,horse
7,step
7,visit
7,complaint
7,offer
7,basket
6,stand
6,matter
6,land
6,end
6,hat
6,foot
6,circuit
6,prisoner
6,detour
6,lot
6,p.-a
6,defense
6,spot
6,peace
6,music
6,wife
6,advance
6,report
6,word
6,selection
6,smile
6,protest
6,rush
6,turn
6,round
6,wonder
6,confession
6,nest
6,live
6,suggestion
6,plain
6,jump
6,leap
6,soup
6,folk
6,mouth
6,side
6,law
6,kind
6,bird
5,fight
5,absence
5,litter
5,sight
5,child
5,plan
5,tour
5,grimace
5,allusion
5,monkey
5,voice
5,stuff
5,shell
5,catherine
5,water
5,song
5,presence
5,dog
5,you
5,secret
5,father
5,business
5,pot
5,thanksgiving
5,position
5,war
5,wind
5,dark
5,bride
5,window
5,pair
5,meal
5,world
5,figure
5,choice
5,examination
5,past
5,blunder
5,request
5,form
5,felicia
5,objection
5,list
5,prayer
5,wood
5,trail
5,part
5,arrangement
5,head
5,dinner
4,shiver
4,pile
4,purchase
4,party
4,weapon
4,hildegarde
4,ground
4,match
4,doorway
4,rise
4,furniture
4,go
4,charge
4,harbor
4,explanation
4,pole
4,say
4,dream
4,direction
4,air
4,cold
4,baby
4,wish
4,statue
4,duty
4,governor
4,country
4,stop
4,spring
4,fellow
4,demand
4,lady
4,attack
4,arrest
4,ma
4,garden
4,investigation
4,net
4,cloth
4,sleep
4,stone
4,debut
4,string
4,line
4,job
4,try
4,sapling
4,submission
4,come
4,calumet
4,account
4,cover
4,condition
4,creek
4,color
4,compact
4,rule
4,walk
4,conversation
4,supper
3,exit
3,family
3,judge
3,beeg
3,hair
3,enemy
3,sister
3,ring
3,miss
3,spirit
3,audience
3,mat
3,blaze
3,fence
3,play
3,stick
3,wedding
3,event
3,sky
3,disturbance
3,climb
3,acknowledgment
3,human
3,desert
3,master
3,hit
3,mess
3,cake
3,pretense
3,scout
3,observation
3,diamond
3,target
3,pallet
3,courtesy
3,toast
3,farewell
3,knife
3,burden
3,fer
3,good
3,log
3,prudence
3,kitchen
3,number
3,slip
3,cane
3,pilgrimage
3,final
3,whole
3,silence
3,wharf
3,response
3,table
3,sacrifice
3,box
3,specialty
3,code
3,sally
3,spectacle
3,berth
3,leaf
3,count
3,hill
3,cave
3,announcement
3,hero
3,clothes
3,seat
3,deal
3,heaven
3,bit
3,valley
3,wall
3,cavallini
3,president
3,rock
3,hunt
3,laugh
3,difficulty
3,book
3,lie
3,lad
3,will
3,ice
3,shop
3,general
3,bag
3,oyster
3,sore
3,ear
3,donna
3,draw
3,pleasure
3,sail
3,feint
3,ship
3,estimate
3,challoner
3,mystery
3,white
3,touchdown
3,floor
3,city
3,shadow
3,joy
3,sketch
3,piece
3,town
3,vessel
3,bluff
3,quantity
3,dive
3,power
3,study
3,pistol
3,cocoa
3,island
3,dose
3,coat
3,accusation
3,ranch
3,tear
3,timber
3,street
3,record
3,cut
3,pay
3,application
3,pause
3,suspicion
3,ache
3,hollow
3,beast
3,duke
2,deduction
2,mademoiselle
2,cause
2,plaything
2,japanese
2,tree
2,bear
2,it
2,industry
2,mountain
2,suit
2,copy
2,flour
2,glass
2,palace
2,nose
2,deck
2,lead
2,science
2,case
2,carmencita
2,cushion
2,yard
2,present
2,critter
2,billy
2,return
2,pasture
2,circumstance
2,front
2,steel
2,pound
2,experiment
2,portage
2,doll
2,penrod
2,mass
2,mince
2,chapter
2,ball
2,glow
2,fur
2,error
2,bridge
2,bonfire
2,shoot
2,letter
2,dory
2,rear
2,flight
2,soul
2,tally
2,grab
2,shudder
2,just
2,voyage
2,ridge
2,nature
2,curtsy
2,blanket
2,care
2,reason
2,fish
2,resolution
2,weep
2,prue
2,stretcher
2,board
2,chain
2,hide
2,leave
2,shoe
2,allowance
2,wicker
2,battle
2,slight
2,tackle
2,rainbow
2,failure
2,tool
2,bone
2,interest
2,racket
2,question
2,breath
2,tail
2,dirt
2,pearl
2,army
2,taffy
2,pass
2,handle
2,cookie
2,cabin
2,havoc
2,value
2,wash
2,policeman
2,grand
2,skeleton
2,cork
2,raid
2,bottom
2,angel
2,appointment
2,lantern
2,lemonade
2,drive
2,train
2,shingle
2,shore
2,protection
2,engagement
2,dent
2,disposition
2,reading
2,church
2,smudge
2,limb
2,lunge
2,guy
2,eddy
2,mistress
2,scene
2,meeting
2,biscuit
2,sayin
2,check
2,bolt
2,roll
2,occasion
2,fall
2,gang
2,adieu
2,cup
2,lightning
2,quiver
2,yas
2,castle
2,marteau
2,burn
2,tramp
2,reparation
2,attention
2,pup
2,pastry
2,moment
2,truth
2,aspen
2,neighbor
2,princess
2,branch
2,miki
2,corral
2,clock
2,dress
2,stomach
2,like
2,show
2,brute
2,port
2,society
2,village
