lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum
[WAY],108.0,113.0,127.0,130.0,166.0,211.0,176.0,229.0,228.0,201.0,175.0,146.0,145.0,129.0,144.0,175.0,166.0,177.0,227.0,3173.0
[MAN],133.0,167.0,162.0,158.0,176.0,200.0,205.0,187.0,190.0,178.0,149.0,161.0,192.0,118.0,94.0,93.0,87.0,56.0,65.0,2771.0
[USE],175.0,143.0,152.0,135.0,162.0,91.0,122.0,116.0,125.0,164.0,140.0,110.0,156.0,125.0,101.0,109.0,101.0,91.0,44.0,2362.0
[MIND],76.0,109.0,94.0,121.0,142.0,171.0,120.0,129.0,138.0,160.0,110.0,128.0,140.0,86.0,87.0,78.0,62.0,29.0,28.0,2008.0
[EFFORT],122.0,81.0,84.0,77.0,84.0,133.0,101.0,114.0,122.0,143.0,98.0,101.0,117.0,125.0,87.0,103.0,101.0,67.0,71.0,1931.0
[MONEY],20.0,54.0,43.0,47.0,69.0,100.0,79.0,96.0,92.0,77.0,113.0,169.0,163.0,135.0,156.0,132.0,106.0,116.0,123.0,1890.0
[DIFFERENCE],41.0,63.0,51.0,68.0,74.0,91.0,83.0,73.0,103.0,106.0,104.0,112.0,150.0,129.0,132.0,76.0,140.0,127.0,113.0,1836.0
[MISTAKE],19.0,26.0,24.0,39.0,47.0,57.0,67.0,90.0,106.0,134.0,80.0,123.0,142.0,142.0,118.0,112.0,109.0,124.0,118.0,1677.0
[THING],52.0,61.0,52.0,53.0,71.0,70.0,60.0,81.0,99.0,103.0,78.0,81.0,96.0,73.0,104.0,75.0,94.0,77.0,82.0,1462.0
[PEOPLE],32.0,42.0,61.0,63.0,55.0,52.0,72.0,76.0,71.0,84.0,54.0,73.0,92.0,91.0,79.0,84.0,98.0,73.0,91.0,1343.0
[SENSE],5.0,9.0,10.0,5.0,5.0,6.0,5.0,6.0,7.0,5.0,7.0,42.0,72.0,90.0,151.0,143.0,209.0,297.0,259.0,1333.0
[DECISION],10.0,5.0,4.0,4.0,5.0,9.0,6.0,6.0,13.0,24.0,41.0,34.0,104.0,134.0,164.0,146.0,212.0,181.0,193.0,1295.0
[APPEARANCE],107.0,104.0,171.0,127.0,139.0,106.0,74.0,73.0,53.0,33.0,32.0,39.0,63.0,49.0,28.0,19.0,22.0,27.0,26.0,1292.0
[LIFE],33.0,41.0,27.0,33.0,65.0,87.0,82.0,100.0,83.0,87.0,71.0,68.0,61.0,53.0,68.0,64.0,79.0,60.0,76.0,1238.0
[PROGRESS],70.0,63.0,75.0,73.0,67.0,62.0,43.0,55.0,54.0,82.0,56.0,50.0,62.0,72.0,42.0,34.0,46.0,49.0,44.0,1099.0
[ATTEMPT],88.0,44.0,67.0,62.0,66.0,75.0,53.0,57.0,36.0,54.0,70.0,47.0,62.0,48.0,47.0,51.0,32.0,23.0,42.0,1024.0
[LAW],111.0,127.0,99.0,105.0,70.0,51.0,60.0,77.0,53.0,44.0,37.0,37.0,36.0,33.0,15.0,17.0,21.0,19.0,9.0,1021.0
[SPEECH],44.0,30.0,34.0,69.0,47.0,60.0,46.0,63.0,57.0,72.0,83.0,89.0,81.0,74.0,51.0,40.0,38.0,24.0,15.0,1017.0
[HOME],31.0,24.0,63.0,39.0,56.0,61.0,71.0,96.0,61.0,77.0,72.0,50.0,63.0,61.0,34.0,28.0,42.0,41.0,43.0,1013.0
[POINT],38.0,36.0,36.0,36.0,33.0,34.0,38.0,34.0,35.0,59.0,35.0,42.0,74.0,53.0,90.0,85.0,85.0,76.0,85.0,1004.0
[WORK],37.0,45.0,24.0,41.0,64.0,81.0,61.0,66.0,57.0,53.0,52.0,51.0,68.0,43.0,37.0,58.0,54.0,43.0,64.0,999.0
[IMPRESSION],108.0,75.0,69.0,73.0,55.0,69.0,60.0,56.0,44.0,66.0,50.0,60.0,56.0,38.0,28.0,25.0,15.0,12.0,23.0,982.0
[PART],66.0,94.0,70.0,43.0,49.0,50.0,45.0,57.0,50.0,62.0,42.0,41.0,62.0,42.0,44.0,39.0,41.0,33.0,35.0,965.0
[NOISE],40.0,23.0,26.0,53.0,39.0,59.0,43.0,42.0,42.0,62.0,49.0,43.0,64.0,41.0,64.0,72.0,56.0,68.0,72.0,958.0
[LOVE],37.0,26.0,35.0,30.0,23.0,38.0,49.0,29.0,29.0,27.0,32.0,26.0,36.0,55.0,55.0,112.0,118.0,91.0,55.0,903.0
[PUBLIC],54.0,63.0,42.0,60.0,43.0,42.0,52.0,51.0,50.0,49.0,63.0,48.0,57.0,46.0,37.0,34.0,53.0,28.0,24.0,896.0
[CHANGE],31.0,29.0,32.0,24.0,33.0,41.0,29.0,56.0,39.0,49.0,48.0,38.0,63.0,46.0,52.0,38.0,76.0,79.0,71.0,874.0
[FRIEND],36.0,30.0,32.0,48.0,40.0,44.0,58.0,60.0,54.0,50.0,28.0,55.0,64.0,75.0,41.0,32.0,34.0,25.0,54.0,860.0
[WORLD],33.0,26.0,24.0,30.0,48.0,41.0,37.0,43.0,51.0,49.0,37.0,71.0,65.0,61.0,45.0,38.0,49.0,47.0,62.0,857.0
[WAR],54.0,27.0,27.0,49.0,79.0,28.0,41.0,30.0,44.0,88.0,61.0,43.0,75.0,49.0,30.0,39.0,23.0,14.0,19.0,820.0
[SOUND],8.0,13.0,4.0,19.0,6.0,25.0,20.0,27.0,22.0,45.0,41.0,55.0,58.0,80.0,68.0,65.0,59.0,70.0,87.0,772.0
[FEEL],14.0,29.0,18.0,22.0,28.0,37.0,22.0,26.0,34.0,38.0,32.0,48.0,37.0,48.0,47.0,56.0,67.0,56.0,59.0,718.0
[STATEMENT],12.0,18.0,21.0,12.0,20.0,31.0,28.0,39.0,36.0,37.0,48.0,51.0,84.0,39.0,39.0,45.0,62.0,42.0,36.0,700.0
[ARRANGEMENT],53.0,39.0,54.0,57.0,35.0,35.0,34.0,36.0,22.0,22.0,34.0,35.0,52.0,29.0,39.0,32.0,32.0,23.0,27.0,690.0
[PLACE],23.0,22.0,42.0,23.0,39.0,36.0,42.0,51.0,51.0,29.0,30.0,33.0,43.0,70.0,35.0,22.0,26.0,16.0,41.0,674.0
[REMARK],66.0,73.0,42.0,43.0,51.0,38.0,49.0,46.0,20.0,49.0,32.0,27.0,24.0,29.0,19.0,16.0,19.0,17.0,12.0,672.0
[TRIP],3.0,7.0,4.0,2.0,12.0,14.0,20.0,26.0,47.0,45.0,64.0,55.0,82.0,56.0,58.0,34.0,53.0,50.0,38.0,670.0
[CHOICE],16.0,24.0,14.0,22.0,21.0,13.0,20.0,18.0,16.0,24.0,24.0,18.0,47.0,40.0,55.0,48.0,55.0,51.0,95.0,621.0
[ROOM],23.0,21.0,19.0,36.0,40.0,24.0,25.0,27.0,25.0,40.0,26.0,55.0,39.0,49.0,26.0,31.0,38.0,25.0,49.0,618.0
[PEACE],50.0,23.0,31.0,21.0,45.0,13.0,27.0,26.0,24.0,42.0,31.0,47.0,51.0,37.0,35.0,35.0,35.0,16.0,23.0,612.0
[WOMAN],26.0,20.0,16.0,16.0,16.0,27.0,32.0,42.0,33.0,47.0,36.0,39.0,44.0,25.0,23.0,37.0,38.0,42.0,46.0,605.0
[CHILD],27.0,18.0,16.0,24.0,42.0,53.0,18.0,27.0,33.0,46.0,44.0,28.0,27.0,26.0,17.0,47.0,23.0,46.0,30.0,592.0
[REPLY],83.0,51.0,53.0,41.0,40.0,65.0,40.0,39.0,35.0,31.0,32.0,25.0,18.0,7.0,7.0,8.0,7.0,1.0,5.0,588.0
[CALL],9.0,9.0,10.0,16.0,26.0,28.0,17.0,18.0,20.0,24.0,19.0,20.0,38.0,44.0,42.0,44.0,62.0,66.0,75.0,587.0
[GOVERNMENT],41.0,47.0,40.0,22.0,49.0,26.0,32.0,29.0,39.0,31.0,34.0,31.0,32.0,25.0,19.0,28.0,22.0,24.0,12.0,583.0
[OTHER],44.0,43.0,38.0,42.0,43.0,36.0,27.0,22.0,32.0,24.0,30.0,28.0,31.0,17.0,16.0,29.0,30.0,19.0,19.0,570.0
[LIVING],1.0,6.0,2.0,11.0,11.0,12.0,19.0,18.0,31.0,40.0,42.0,56.0,73.0,55.0,40.0,37.0,36.0,38.0,40.0,568.0
[--],9.0,21.0,22.0,28.0,36.0,42.0,41.0,14.0,22.0,23.0,16.0,38.0,23.0,27.0,25.0,28.0,54.0,59.0,39.0,567.0
[SUBJECT],78.0,84.0,58.0,38.0,52.0,35.0,37.0,29.0,23.0,24.0,16.0,14.0,16.0,6.0,8.0,12.0,8.0,13.0,9.0,560.0
[BUSINESS],23.0,31.0,30.0,25.0,25.0,30.0,30.0,33.0,35.0,38.0,29.0,48.0,39.0,27.0,18.0,13.0,31.0,28.0,23.0,556.0
[INQUIRY],77.0,36.0,39.0,53.0,41.0,45.0,33.0,43.0,23.0,32.0,28.0,21.0,15.0,21.0,7.0,17.0,11.0,5.0,8.0,555.0
[MATTER],22.0,36.0,33.0,41.0,26.0,36.0,45.0,34.0,31.0,34.0,27.0,13.0,38.0,24.0,16.0,19.0,27.0,24.0,23.0,549.0
[CASE],20.0,34.0,23.0,29.0,18.0,20.0,18.0,22.0,29.0,24.0,23.0,34.0,33.0,35.0,21.0,28.0,36.0,54.0,45.0,546.0
[DISCOVERY],41.0,35.0,26.0,29.0,46.0,20.0,29.0,31.0,49.0,35.0,42.0,23.0,30.0,23.0,18.0,22.0,19.0,11.0,12.0,541.0
[GESTURE],4.0,5.0,12.0,7.0,15.0,20.0,12.0,14.0,17.0,33.0,42.0,64.0,98.0,25.0,41.0,42.0,41.0,21.0,21.0,534.0
[FACE],9.0,18.0,14.0,15.0,25.0,23.0,22.0,23.0,18.0,25.0,37.0,32.0,48.0,25.0,39.0,39.0,31.0,48.0,42.0,533.0
[STUDY],13.0,18.0,16.0,20.0,23.0,29.0,33.0,55.0,43.0,37.0,34.0,55.0,45.0,25.0,31.0,15.0,17.0,9.0,15.0,533.0
[MOVE],0.0,1.0,4.0,2.0,9.0,9.0,10.0,17.0,18.0,37.0,43.0,26.0,42.0,41.0,56.0,69.0,61.0,40.0,44.0,529.0
[KIND],16.0,30.0,21.0,23.0,10.0,15.0,23.0,31.0,29.0,26.0,22.0,31.0,48.0,34.0,35.0,41.0,37.0,25.0,27.0,524.0
[HEART],64.0,50.0,58.0,41.0,45.0,38.0,31.0,33.0,24.0,25.0,12.0,21.0,11.0,11.0,11.0,6.0,14.0,13.0,16.0,524.0
[PLAN],6.0,7.0,14.0,14.0,12.0,14.0,11.0,27.0,21.0,27.0,38.0,42.0,65.0,40.0,45.0,38.0,42.0,31.0,24.0,518.0
[RIGHT],19.0,33.0,29.0,16.0,24.0,21.0,20.0,20.0,23.0,39.0,18.0,25.0,24.0,25.0,26.0,32.0,35.0,40.0,41.0,510.0
[HOUSE],32.0,33.0,22.0,37.0,29.0,41.0,23.0,36.0,30.0,35.0,20.0,24.0,27.0,16.0,26.0,24.0,17.0,21.0,16.0,509.0
[ACQUAINTANCE],11.0,24.0,30.0,37.0,51.0,55.0,67.0,53.0,30.0,32.0,26.0,23.0,18.0,10.0,6.0,10.0,8.0,6.0,6.0,503.0
[COUNTRY],32.0,29.0,34.0,29.0,25.0,25.0,30.0,29.0,24.0,30.0,29.0,31.0,51.0,17.0,19.0,16.0,24.0,12.0,17.0,503.0
[CONTRIBUTION],4.0,6.0,3.0,6.0,7.0,12.0,6.0,15.0,25.0,19.0,36.0,40.0,71.0,43.0,56.0,40.0,43.0,38.0,32.0,502.0
[PREPARATION],49.0,37.0,50.0,54.0,39.0,32.0,26.0,37.0,29.0,36.0,25.0,17.0,22.0,6.0,12.0,6.0,4.0,7.0,2.0,490.0
[SIGN],38.0,30.0,22.0,20.0,31.0,30.0,25.0,40.0,36.0,42.0,25.0,24.0,21.0,11.0,9.0,27.0,22.0,14.0,15.0,482.0
[NAME],14.0,24.0,26.0,29.0,21.0,30.0,29.0,35.0,23.0,25.0,27.0,23.0,28.0,29.0,16.0,23.0,29.0,20.0,28.0,479.0
[FORTUNE],22.0,25.0,30.0,28.0,29.0,36.0,43.0,25.0,21.0,27.0,24.0,26.0,27.0,21.0,22.0,26.0,17.0,13.0,14.0,476.0
[STATE],32.0,47.0,33.0,34.0,27.0,24.0,29.0,30.0,23.0,18.0,21.0,29.0,26.0,19.0,20.0,18.0,12.0,19.0,12.0,473.0
[SACRIFICE],42.0,37.0,42.0,24.0,35.0,37.0,28.0,20.0,29.0,30.0,20.0,15.0,26.0,15.0,13.0,9.0,19.0,7.0,13.0,461.0
[END],15.0,17.0,13.0,18.0,20.0,27.0,43.0,21.0,40.0,24.0,19.0,27.0,30.0,24.0,34.0,20.0,23.0,22.0,23.0,460.0
[PROVISION],45.0,43.0,46.0,40.0,31.0,21.0,35.0,29.0,23.0,21.0,30.0,19.0,22.0,12.0,7.0,12.0,5.0,15.0,3.0,459.0
[NOTE],10.0,8.0,5.0,16.0,21.0,20.0,21.0,23.0,16.0,36.0,23.0,33.0,39.0,30.0,30.0,34.0,35.0,23.0,31.0,454.0
[HAND],18.0,15.0,24.0,22.0,33.0,23.0,27.0,32.0,24.0,38.0,22.0,24.0,45.0,10.0,22.0,12.0,14.0,24.0,24.0,453.0
[REPORT],19.0,50.0,27.0,28.0,24.0,27.0,20.0,31.0,26.0,22.0,36.0,20.0,40.0,29.0,22.0,11.0,8.0,6.0,6.0,452.0
[PROFIT],3.0,14.0,11.0,27.0,13.0,16.0,20.0,8.0,20.0,26.0,22.0,52.0,41.0,43.0,49.0,30.0,28.0,16.0,12.0,451.0
[EYE],13.0,14.0,27.0,21.0,19.0,23.0,29.0,24.0,24.0,22.0,20.0,19.0,27.0,24.0,28.0,20.0,24.0,30.0,42.0,450.0
[FACT],12.0,18.0,30.0,17.0,23.0,23.0,29.0,23.0,20.0,22.0,34.0,27.0,30.0,22.0,31.0,24.0,27.0,12.0,20.0,444.0
[PICTURE],5.0,8.0,9.0,15.0,20.0,18.0,44.0,28.0,33.0,25.0,40.0,32.0,35.0,29.0,25.0,24.0,16.0,19.0,14.0,439.0
[VISIT],35.0,31.0,22.0,35.0,29.0,39.0,26.0,39.0,23.0,20.0,22.0,11.0,18.0,16.0,11.0,16.0,12.0,16.0,12.0,433.0
[GENERAL],17.0,42.0,31.0,34.0,28.0,20.0,33.0,32.0,23.0,25.0,22.0,24.0,27.0,24.0,14.0,9.0,7.0,12.0,6.0,430.0
[LAND],19.0,32.0,14.0,23.0,25.0,20.0,21.0,43.0,40.0,26.0,26.0,24.0,37.0,14.0,21.0,13.0,11.0,10.0,10.0,429.0
[PRESENT],24.0,36.0,29.0,21.0,46.0,36.0,27.0,30.0,28.0,28.0,26.0,18.0,9.0,17.0,17.0,15.0,10.0,3.0,3.0,423.0
[THINK],11.0,19.0,15.0,13.0,16.0,17.0,15.0,26.0,26.0,48.0,22.0,19.0,27.0,18.0,16.0,27.0,27.0,31.0,27.0,420.0
[LIGHT],20.0,21.0,19.0,28.0,30.0,26.0,19.0,25.0,28.0,27.0,30.0,18.0,24.0,13.0,17.0,20.0,13.0,20.0,18.0,416.0
[DISTINCTION],28.0,23.0,26.0,29.0,22.0,21.0,8.0,8.0,9.0,14.0,23.0,15.0,30.0,37.0,23.0,27.0,28.0,30.0,14.0,415.0
[PROMISE],17.0,20.0,12.0,17.0,12.0,18.0,26.0,32.0,25.0,21.0,17.0,23.0,33.0,15.0,21.0,23.0,21.0,28.0,30.0,411.0
[DEMAND],13.0,16.0,15.0,18.0,24.0,16.0,21.0,32.0,25.0,34.0,32.0,29.0,42.0,12.0,23.0,23.0,15.0,8.0,13.0,411.0
[WORD],21.0,26.0,21.0,25.0,22.0,13.0,17.0,17.0,34.0,22.0,17.0,29.0,41.0,18.0,16.0,13.0,20.0,16.0,22.0,410.0
[FIRE],13.0,13.0,18.0,30.0,44.0,46.0,24.0,20.0,31.0,41.0,38.0,13.0,19.0,12.0,7.0,14.0,10.0,8.0,7.0,408.0
