count,lemma
255,place
114,care
59,""
55,possession
36,part
34,advantage
31,hand
25,stitch
24,refuge
23,food
23,step
23,flight
22,man
19,hold
19,arm
19,--
18,horse
18,pain
18,water
17,prisoner
17,charge
17,view
16,seat
16,form
15,name
15,walk
15,side
15,passage
15,child
15,position
14,boat
14,interest
13,quarter
13,needle
13,lead
13,leave
13,pleasure
13,course
13,delight
12,turn
12,account
11,whole
11,consideration
11,abode
11,body
11,life
11,road
11,notice
11,root
11,effect
10,eye
10,oath
10,aim
10,iron
10,shape
10,precaution
10,think
10,steamer
10,case
10,room
9,breath
9,way
9,work
9,drink
9,car
9,look
9,line
9,home
9,cold
8,exercise
8,shuttle
8,other
8,head
8,selvedge
8,piece
8,departure
8,fire
8,nourishment
8,glance
8,opportunity
7,rank
7,thread
7,trouble
7,boy
7,cognizance
7,party
7,baby
7,wife
7,rest
7,book
7,matter
7,rise
7,rifle
7,breast
7,prison
7,lucien
7,load
6,office
6,command
6,light
6,age
6,nation
6,chance
6,ship
6,mind
6,army
6,cup
6,post
6,responsibility
6,stomach
6,hat
6,world
6,medicine
6,powder
6,shelter
6,bath
6,distance
6,vow
6,family
6,milk
6,ring
6,stand
6,camp
5,trail
5,soldier
5,ground
5,country
5,path
5,end
5,track
5,kind
5,pound
5,house
5,train
5,thing
5,trap
5,trial
5,toll
5,paper
5,lady
5,note
5,liberty
5,wine
5,nest
4,stride
4,heaven
4,purl
4,rail
4,alarm
4,fancy
4,wool
4,class
4,ride
4,power
4,cross
4,loop
4,present
4,wood
4,instance
4,shear
4,surprise
4,war
4,meat
4,situation
4,person
4,leap
4,survey
4,offense
4,portion
4,french
4,forest
4,foe
4,oil
4,absence
4,soul
4,watch
4,cotton
4,air
4,son
4,nature
4,route
4,word
4,lung
4,blanket
4,carriage
4,river
4,cow
4,court
4,cut
4,woman
4,savannah
4,meal
4,justice
4,vision
4,field
4,measure
4,game
4,order
3,representation
3,clothing
3,troop
3,company
3,mean
3,title
3,earth
3,hunt
3,hint
3,interior
3,dinner
3,disadvantage
3,cord
3,start
3,fortune
3,bread
3,bed
3,enemy
3,spring
3,deal
3,nipple
3,death
3,guard
3,deposition
3,physician
3,initiative
3,appetite
3,sort
3,tent
3,fact
3,sin
3,king
3,fright
3,footnote
3,bosom
3,bottle
3,idea
3,law
3,steamboat
3,sick
3,english
3,master
3,religion
3,risk
3,park
3,virchow
3,heed
3,pocket
3,physic
3,clothes
3,captive
3,city
3,region
3,space
3,den
3,instrument
3,state
3,table
3,plain
3,direction
3,will
3,revenge
3,dose
3,pack
3,mouth
3,town
3,mouthful
3,cloth
3,animal
3,stranger
3,wagon
3,confidence
3,edge
3,cap
3,illustration
3,effort
3,share
3,friend
3,mother
3,double
3,moment
3,green
3,coffee
3,crochet
3,pill
3,pride
3,business
3,avidity
3,wing
3,chapter
3,land
3,mule
3,supper
3,occasion
3,public
3,battery
3,point
3,testimony
3,niggah
3,quantity
3,cell
3,counsel
2,rebel
2,pen
2,acid
2,example
2,tree
2,travel
2,semblance
2,mountain
2,fit
2,leetle
2,ease
2,gold
2,physiology
2,volume
2,knife
2,front
2,treatment
2,opponent
2,conversion
2,corinth
2,mass
2,address
2,parcel
2,escape
2,species
2,letter
2,row
2,key
2,throne
2,affair
2,misery
2,compassion
2,trip
2,close
2,heart
2,rubber
2,dog
2,hotel
2,satisfaction
2,layer
2,foot
2,advice
2,creek
2,credit
2,bag
2,chain
2,chill
2,love
2,institution
2,heat
2,authority
2,female
2,stick
2,material
2,railroad
2,vessel
2,basket
2,garden
2,hole
2,glove
2,action
2,stage
2,shot
2,supply
2,fee
2,beast
2,bench
2,labor
2,color
2,bone
2,lunch
2,control
2,scale
2,people
2,weakness
2,bird
2,drop
2,silver
2,question
2,tail
2,prize
2,dram
2,mesh
2,depot
2,sense
2,cabin
2,music
2,attempt
2,daughter
2,constitution
2,gaul
2,stroll
2,courage
2,pipe
2,heel
2,hospital
2,history
2,canal
2,floor
2,sunbeam
2,officer
2,nap
2,mine
2,motion
2,store
2,shore
2,vegetable
2,oval
2,reading
2,limb
2,service
2,gun
2,wreck
2,shoulder
2,force
2,virtue
2,bundle
2,repose
2,coat
2,hall
2,contract
2,husband
2,quiver
2,center
2,storm
2,subject
2,truth
2,venture
2,organ
2,disgust
2,slice
2,detail
2,brother
2,port
2,back-track
2,precedence
2,strain
2,tissue
2,hollow
2,dislike
2,sun
2,father
2,perspiration
2,beer
2,scalp
2,attraction
2,morsel
2,employment
2,knee
2,governor
2,allegiance
2,proof
2,breeze
2,telescope
2,debate
2,singular
2,pity
2,hearth
2,live
2,horn
2,cart
2,red
2,condition
2,cloud
2,canoe
2,system
2,secret
2,rod
2,bigamy
2,rock
2,potash
2,sponge
2,sight
2,fruit
2,hill
2,glory
2,act
2,team
2,individual
2,magistrate
2,entertainment
2,flame
2,money
2,arrow
2,event
2,government
1,hope
1,prayer
1,vibration
1,parole
1,camping
1,carelessness
1,human
1,hypothenuse
1,survivor
1,servant
1,wildness
1,fleet
1,fashion
1,sexton
1,oilcloth
1,torture
1,triumph
1,difference
1,petrine
1,figure
1,pick
1,flank
1,sport
1,breakfast
1,american
1,creature
1,lord
1,poker
1,sumichrast
1,epoch
1,rusk
1,warning
1,sway
1,nitrite
1,desire
1,musket
1,weapon
1,silk
1,commonwealth
1,china
1,concourse
1,characteristic
1,option
1,amusement
1,helm
1,repulsion
1,commander
1,run-way
1,germ
1,well
1,grasp
1,yava
1,danger
1,till
1,compound
1,overcoat
1,value
1,meaning
1,sergeant
1,dinner-plate
1,island
1,grass
1,gallop
1,pathway
1,lumber
1,christian
1,soap
1,fear
1,minister
1,stuff
1,borax
1,anthropology
1,dieu
1,radiation
1,bear
1,prairie
1,similarity
1,wash
1,calamity
1,pair
1,character
1,whiskey
1,frontier
1,discipline
1,bridle
1,station
1,drudgery
1,note-book
1,conflict
1,round
1,birch
1,development
1,inventory
1,adjutant
1,restitution
1,causation
1,housekeeper
1,reward
1,taste
1,autobiography
1,broth
1,countenance
1,habit
1,god
1,dungeon
1,bearing
1,lecturer
1,brace
1,intrigue
1,cue
1,clerk
1,ascent
1,ticket
1,diamond
1,bond
1,granite
1,mythology
1,hunger
1,spark
1,merit
1,cradle
1,attribute
1,convention
1,snow
1,parting
1,plan
1,thistle
1,melting
1,vote
1,artery
1,model
1,ark
1,brougham
1,principal
1,future
1,provision
1,atmosphere
1,execution
1,vaccination
1,orange
1,stoic
1,technicality
1,nail
1,nook
1,tub
1,task
1,patient
1,sword
1,leg
1,deformity
1,catherine
1,comparison
1,petticoat
1,custom
1,mould
1,opium
1,council
1,shackle
1,drive
1,store-rooms
1,plough
1,tong
1,mucilage
1,opera
1,butyl
1,fish
1,presence
1,imputation
1,shingle
1,window
1,encampment
1,idol
1,flock
1,protection
1,madam
1,torch
1,remain
1,carbonate
1,wish
1,violet
1,emergence
1,hebrew
1,circuit
1,middle
1,page
1,signal
1,ration
1,brandy
1,brick
1,recruit
1,blood
1,bill
1,foundation
1,panic
1,lease
1,roughness
1,mamma
1,lock
1,clove
1,by-road
1,steam
1,rain
1,support
1,disposition
1,twist
1,article
1,bemis
1,district
1,halleck
1,propensity
1,peel
1,lake
1,museum
1,treaty
1,plank
1,newspaper
1,stratum
1,surgeon
1,church
1,ballast
1,lighthouse
1,readiness
1,document
1,liking
1,stock
1,savage
1,structure
1,multiplication
1,difficulty
1,draught
1,gully
1,hook
1,favor
1,prawn
1,collection
1,white
1,tack
1,hen
1,gunboat
1,lee
1,polytheism
1,alcoholic
1,ditch
1,increase
1,examination
1,willie
1,fort
1,population
1,kindness
1,shale
1,furniture
1,joy
1,type
1,residence
1,offensive
1,desk
1,block
1,dig
1,straw
1,luggage
1,intruder
1,fawn
1,pickerel
1,macon
1,halo
1,couple
1,evacuation
1,bend
1,ridge
1,epidemic
1,restaurant
1,growing
1,medium
1,progress
1,coast
1,womb
1,reply
1,coddle
1,allure
1,consequence
1,inflammation
1,atrocity
1,pattern
1,wolf
1,vetoes
1,communion
1,street
1,fall
1,flesh
1,molecule
1,pack-horse
1,pay
1,vexation
1,match
1,voyage
1,tincture
1,chattanooga
1,german
1,appearance
1,basin
1,run
1,solution
1,chlorate
1,race
1,after-life
1,thrush
1,medulla
1,rear
1,archangel
1,lance
1,face
1,boot
1,maid
1,mocha
1,answer
1,poison
1,elastic
1,castle
1,magazine
1,assistant
1,rate
1,vapour
1,ear
1,byzantium
1,absorption
1,widow
1,buggy
1,tramp
1,snake
1,cloak
1,tea
1,bridge
1,rowboat
1,image
1,ethics
1,inn
1,tomato
1,scope
1,pork
1,impulse
1,alum
1,broil
1,tomahawk
1,neighbor
1,feel
1,diffusion
1,bastard
1,irritation
1,farm
1,briskness
1,traveler
1,dwell
1,thucydides
1,error
1,language
1,evidence
1,offer
1,ray
1,sorrow
1,dish
1,waist
1,sounding
1,unity
1,interval
1,bluff
1,ball
1,dishcloth
1,rattle
1,estimate
1,tooth
1,assembly
1,placenta
1,half
1,three-headed
1,rink
1,oran
1,premise
1,generation
1,mush
1,composition
1,twig
1,cake
1,gerty
1,school
1,mess
1,advance
1,morass
1,colour
1,spread
1,hue
1,curtain
1,broadcast
1,turkey
1,liquid
1,montfaucon
1,farewell
1,show
1,issue
1,front-door
1,drummer
1,salvation
1,quarry
1,limit
1,sting
1,vehemence
1,alimentary
1,sister
1,flag
1,drug
1,frost
1,hostage
1,hip
1,well-filled
1,pin
1,bite
1,outside
1,succession
1,curve
1,infection
1,deception
1,follow
1,corollary
1,bow
1,pocket-book
1,sovereignty
1,tremor
1,sack
1,jail
1,license
1,lock-up
1,bourbon
1,epigenesis
1,tithe
1,mill
1,babe
1,eel
1,vassal
1,tent-poles
1,masquerade
1,wind
1,aphorism
1,garrison
1,play
1,infusion
1,transportation
1,freight
1,stratagem
1,cow-pox
1,vest
1,blade
1,datum
1,wheat
1,permanganate
1,transfer
1,gift
1,pine
1,strength
1,melius
1,intercourse
1,concrete
1,argument
1,journey
1,snuff
1,lodging
1,administration
1,scripture
1,contest
1,criticism
1,oar
1,pantaloons
1,circumstance
1,perennial
1,wealth
1,strife
1,goose
1,phase
1,shirt
1,sea
1,can
1,degree
1,dwelling-house
1,captor
1,narrative
1,handful
1,bourgeois
1,behalf
1,beginning
1,headquarters
1,p.-a
1,carnivora
1,grimness
1,evangelist
1,ammunition
1,table-spoonfuls
1,horseback
1,loss
1,expedition
1,gum
1,scenery
1,bait
1,donkey
1,walking-tour
1,correction
1,element
1,proportion
1,colonel
1,guide
1,skin
1,pistol
1,fly
1,lasso
1,blank
1,prescription
1,dane
1,aggregate
1,hilt
1,missive
1,study
1,confederacy
1,cherub
1,left
1,set
1,investigation
1,gale
1,drill
1,vice
1,trade
1,veteran
1,eat
1,sand
1,experience
1,sepulchre
1,quote
1,if
1,tapestry
1,equanimity
1,mahomet
1,interruption
1,bar
1,keg
1,sea-side
1,term
1,sum
1,territory
1,cavalry
1,symptom
1,bay
1,maxim
1,exchange
1,gates
1,blizzard
1,tone
1,amount
1,hurry
1,complacency
1,entrails
1,private
1,cattle
1,barrel
1,sustenance
1,relief
1,speed
1,student
1,foreigner
1,sympathy
1,want
1,boarder
1,kink
1,essentials
1,comfort
1,tribe
1,observer
1,stamp
1,bitter
1,counter
1,devil
1,mend
1,obedience
1,staff
1,leisure
1,crime
1,importance
1,partner
1,poet
1,corner
1,imprint
1,papacy
1,division
1,purchaser
1,candle
1,excess
1,boor
1,polish
1,organism
1,moral
1,distrust
1,indian
1,jew
1,group
1,ram
1,coonskins
1,news
1,panela
1,wit
1,stone
1,member
1,stern
1,ambulance
1,offspring
1,reptile
1,depth
1,vivacity
1,privilege
1,rawness
1,spur
1,rustle
1,default
1,sky
1,top
1,strip
1,gardener
1,moon
1,purgative
1,lawyer
1,plunge
1,whiteness
1,substance
1,harbour
1,half-submerged
1,scotch
1,write
1,proceed
1,brises
1,tea-spoon
1,writing
1,goat
1,prince
1,elder
1,past
1,penitent
1,sample
1,general
1,vixen
1,trophy
1,towel
1,mullet
1,welcome
1,choice
1,resistance
1,geography
1,half-pay
1,ovary
1,lad
1,nose
1,companion
1,remnant
1,table-cloth
1,energy
1,expulsion
1,tournament
1,palace
1,multitude
1,chair
1,mail
1,honor
1,stall
1,pump
1,observation
1,glass
1,current
1,logia
1,remonstrance
1,hazel
1,eucharist
1,sermon
1,swim
1,shovel
1,skylark
1,gourd
1,cognisance
1,stair
1,list
1,change
1,muslin
1,amrou
1,axe
1,appeaser
1,university
1,tardy
1,thief
1,bit
1,valley
1,regiment
1,calm
1,gate
1,philosophy
1,infirmity
1,right
1,flour
1,hive
1,sleep
1,spoon
1,stove
1,toast
1,duty
1,review
1,preparation
1,excellence
1,disintegration
1,footing
1,glimpse
1,plaything
1,father-in-law
1,official
1,county
1,pellet
1,dynasty
1,band
1,hut
1,balloon
1,male
1,size
1,wrap
1,conveyance
1,weight
1,assault
1,payment
1,copy
1,quail
1,esquire
1,pus
1,wall
1,slight
1,bayonet
1,axis
1,entrance
1,linen
1,fellow-passenger
1,mirror
1,engine
1,follower
1,rag
1,kill
1,cambrensis
1,frere
1,achaians
1,principle
1,beauty
1,rein
1,plant
1,fat
1,enterprise
1,viands
1,deed
1,advertisement
1,reform
1,stump
1,stimulant
1,seed
1,priest
1,cheese
1,purity
1,standard
1,sweet
1,senate
1,heal
1,shop
1,dread
