count,lemma
149,place
129,hand
103,care
63,part
62,possession
51,arm
47,step
44,seat
44,""
40,thing
30,man
29,way
27,look
27,advantage
26,notice
25,house
25,word
24,turn
24,pocket
24,pledge
23,letter
22,child
21,leave
20,paper
20,life
20,walk
20,interest
19,hat
19,boat
19,chance
19,note
19,side
18,eye
18,hold
18,pain
18,money
17,room
16,charge
16,work
15,trouble
15,home
14,piece
14,matter
14,heart
14,view
13,book
13,pleasure
13,coat
12,road
12,risk
12,stand
12,head
12,advice
11,prisoner
11,refuge
11,position
11,case
11,fancy
11,right
11,father
11,glass
10,form
10,horse
10,girl
10,other
9,shape
9,rest
9,liberty
9,exercise
9,line
9,steamer
9,cold
9,wife
9,baby
8,tea
8,horn
8,cross
8,woman
8,course
8,train
8,wood
8,fire
8,carriage
8,action
8,station
8,heed
8,water
8,abode
8,mother
8,passage
8,nap
7,vessel
7,meal
7,revolver
7,picture
7,mind
7,surprise
7,delight
7,lady
7,order
7,bill
7,drive
7,departure
7,enemy
7,name
7,lesson
7,store
7,breath
7,watch
7,english
7,chair
6,situation
6,shot
6,envelope
6,command
6,aim
6,street
6,moment
6,milk
6,oar
6,air
6,measure
6,bag
5,advance
5,responsibility
5,wing
5,nature
5,field
5,fish
5,twin
5,boy
5,overcoat
5,christy
5,observation
5,ground
5,pride
5,wheel
5,one
5,fly
5,car
5,church
5,bit
5,journey
5,sir
5,friend
5,bread
5,valise
5,strength
5,bath
5,captain
5,color
5,end
5,survey
5,good
5,city
5,offense
5,comfort
5,path
5,soul
5,expedition
4,world
4,whole
4,expression
4,war
4,hook
4,human
4,creature
4,burden
4,minister
4,cup
4,passenger
4,shoulder
4,food
4,chapter
4,key
4,table
4,duty
4,consideration
4,glance
4,fact
4,share
4,face
4,package
4,drink
4,cigar
4,kind
4,be
4,husband
4,cutter
4,candle
4,cap
4,bonnet
4,account
4,occasion
4,body
4,person
4,oath
4,tree
4,light
4,people
4,counsel
4,card
4,quarter
4,luncheon
4,think
4,study
4,blame
4,breast
4,play
4,stateroom
4,bull
4,trap
4,mine
4,stage
4,bay
4,bottle
4,town
4,land
4,gold
4,stern
3,decision
3,residence
3,dive
3,game
3,dog
3,god
3,affair
3,schooner
3,pause
3,sort
3,office
3,rank
3,ride
3,cargo
3,weapon
3,resolution
3,patient
3,direction
3,lad
3,art
3,hospital
3,supper
3,dress
3,confidence
3,collar
3,courage
3,officer
3,keer
3,corner
3,farewell
3,disease
3,son
3,ladder
3,hair
3,medicine
3,nate
3,river
3,brook
3,suit
3,sun
3,tone
3,fellow
3,plan
3,visitor
3,present
3,quarter-deck
3,knee
3,plunge
3,ionian
3,offer
3,conversation
3,stock
3,buggy
3,question
3,idea
3,ring
3,hotel
3,shore
3,routine
3,meaning
3,precaution
3,vengeance
3,belt
3,box
3,sum
3,bicycle
3,shake
3,cake
3,copy
3,pen
3,top
3,thought
3,opportunity
3,ease
3,illustration
3,fear
3,brush
3,number
3,attitude
3,back
3,story
3,sister
3,sugar
3,task
3,dinner
3,scene
3,beauty
3,blix
3,master
3,square
3,shelter
2,market
2,cloth
2,cat
2,ache
2,run
2,hall
2,bird
2,contract
2,lump
2,sloop
2,chain
2,tail
2,smell
2,prize
2,chill
2,cage
2,help
2,dear
2,subject
2,starch
2,impulse
2,sense
2,portrait
2,tinge
2,knife
2,tell
2,bridge
2,door
2,evidence
2,message
2,cabin
2,magazine
2,stomach
2,pet
2,point
2,rear
2,flight
2,exception
2,manuelito
2,warning
2,spirit
2,turkey
2,detail
2,self-respect
2,companion
2,lane
2,attack
2,ornament
2,earth
2,fiddle
2,nursery
2,come
2,village
2,helm
2,stick
2,just
2,club
2,orrin
2,pencil
2,law
2,sign
2,heel
2,introduction
2,file
2,tar
2,party
2,whiskey
2,policeman
2,sea
2,brain
2,leap
2,doctor
2,mate
2,handful
2,timber
2,mule
2,shop
2,roundabout
2,price
2,proportion
2,dungeon
2,deck
2,draught
2,custody
2,instruction
2,string
2,shopkeeper
2,pistol
2,cue
2,diamond
2,colony
2,fit
2,regard
2,hear
2,bar
2,country
2,trip
2,talk
2,lead
2,principal
2,plot
2,official
2,front
2,stable
2,holiday
2,partnership
2,jasper
2,ration
2,mouth
2,staff
2,load
2,crime
2,plain
2,grannie
2,blessing
2,locket
2,lot
2,dining-room
2,glove
2,trail
2,silence
2,member
2,library
2,opera
2,consequence
2,confusion
2,pack
2,sail
2,neck
2,cafe
2,protection
2,grandfather
2,write
2,post
2,listen
2,method
2,veil
2,pound
2,rail
2,confederate
2,honor
2,roman
2,slip
2,college
2,drawer
2,page
2,bullet
2,packet
2,no
2,thread
2,stair
2,coal
2,news
2,purse
2,rein
2,provision
2,dust
2,ceremony
2,practice
2,sight
2,fruit
2,hill
2,photograph
2,pocket-book
2,saloon
2,count
2,knitting
2,doll
2,joke
2,pail
2,lake
2,pile
2,mop
2,bed
2,ticket
2,enterprise
2,gaze
2,vacation
2,girdle
2,difficulty
2,mean
2,ambergris
2,team
2,peep
2,alarm
2,service
2,wrap
2,character
2,handkerchief
2,prophet
2,strap
2,powder
2,newspaper
2,commission
2,lecturer
2,issue
2,fort
2,coin
2,boot
2,poet
2,lunch
2,kitchen
2,flag
2,petition
2,check
2,government
2,pair
2,roll
1,butler
1,roof
1,tooth
1,spoil
1,gratification
1,organ
1,sprinter
1,garment
1,theme
1,more'n
1,puff
1,show
1,sneer
1,brute
1,grizzly
1,dodo
1,frolic
1,brother
1,port
1,storage
1,tenement
1,infant
1,start
1,sack
1,friendliness
1,collective
1,dandy
1,guard
1,bunk
1,florine
1,wind
1,ribbon
1,prospectus
1,bosom
1,tow
1,blade
1,throb
1,chemical
1,dislike
1,knit
1,device
1,rocker
1,gift
1,stocking
1,meat
1,concrete
1,horror
1,farce
1,daily
1,omnibus
1,lodging
1,scent
1,mercy
1,heavin
1,beach
1,wealth
1,can
1,shirt
1,degree
1,flower
1,broom
1,mood
1,royalty
1,manner
1,reality
1,ten-pound
1,sleigh-ride
1,significance
1,farm-work
1,lamp
1,pinafore
1,porch
1,cimabue
1,fishing
1,sleigh
1,colonna
1,intimacy
1,ammunition
1,loss
1,cook
1,liver
1,pan
1,beer
1,cipher
1,deadfall
1,guide
1,guinea
1,highway
1,skin
1,self
1,crescent
1,scheme
1,shell
1,religion
1,uncle
1,flat
1,humour
1,soldier
1,hearty
1,experience
1,stolidity
1,whip
1,keg
1,recess
1,apprehension
1,mutton
1,clew
1,parlor
1,abdomen
1,governor
1,sultan
1,allegiance
1,arkwright
1,stigma
1,relation
1,pole
1,ape
1,gentleman
1,relief
1,loveliness
1,fool
1,swing
1,brayton
1,boarder
1,class
1,toll
1,brass
1,rental
1,punishment
1,suggestion
1,star
1,anither
1,burro
1,forelock
1,grant
1,truth-loving
1,moral
1,indian
1,decanter
1,ship
1,pity
1,errand
1,shed
1,revenge
1,scamp
1,spur
1,austrian
1,live
1,purchase
1,conference
1,umbrage
1,function
1,animal
1,axle
1,shawl
1,cudgel
1,dimple
1,necessity
1,peach
1,cuban
1,green
1,red
1,pose
1,general
1,choice
1,chart
1,scholar
1,remnant
1,cloud
1,trust
1,wait
1,secret
1,rod
1,yeh
1,theatre
1,department
1,chick
1,knowledge
1,cognisance
1,chateaugay
1,rock
1,goldsmith
1,earshot
1,yis
1,spade
1,impatience
1,parrot
1,suffering
1,plane
1,mantel-piece
1,caricature
1,leaf
1,cover
1,berth
1,blue
1,glimpse
1,hoang
1,appreciation
1,rival
1,death
1,atonement
1,dexterity
1,criterion
1,sweetness
1,mirror
1,ingenuity
1,speaker
1,richness
1,book-shelves
1,buckler
1,fight
1,boatman
1,tin
1,loadin
1,building
1,corridor
1,bondman
1,parole
1,cognizance
1,gulf
1,forward
1,seam
1,disadvantage
1,commissioner
1,snow
1,shame
1,banker
1,entertainment
1,ban
1,flame
1,burglar
1,bandage
1,stroke
1,average
1,rate
1,divine
1,cheer
1,rifle
1,school
1,bitterness
1,grandchild
1,moonlight
1,estate
1,disturbance
1,arrow
1,forefoot
1,bite
1,steamboat
1,event
1,humor
1,beach-combers
1,spot
1,defense
1,pulpit
1,elder
1,mail
1,list
1,whiff
1,promenade
1,operation
1,cell
1,japanese
1,isom
1,deliberation
1,break
1,example
1,kerchief
1,stone
1,moss-grown
1,jail
1,memorandum
1,troop
1,tack
1,pebble
1,cord
1,bear
1,opposite
1,relative
1,difference
1,net
1,gaston
1,rotation
1,frock
1,mountain
1,bucket
1,determination
1,will
1,beggar
1,comedy
1,stove
1,calm
1,theft
1,palace
1,barn
1,materialize
1,mulberry
1,worm
1,volunteer
1,armament
1,investor
1,predicament
1,blink
1,presidio
1,dose
1,malcom
1,gershom
1,leisure
1,cost
1,painter
1,grove
1,punch
1,salt
1,hatch
1,concord
1,eat
1,missive
1,marine
1,wisdom
1,yard
1,suburb
1,pie
1,colonel
1,bait
1,infantry
1,storybook
1,dauphin
1,circumstance
1,pacer
1,performing
1,phosphate
1,treatment
1,tuscan
1,steering
1,wrist
1,apartment
1,health
1,child-study
1,lock-up
1,snapper
1,baggage
1,comrade
1,hue
1,mass
1,premise
1,debt
1,ball
1,fur
1,sweep
1,waist
1,pressure
1,flyer
1,movement
1,pork
1,parcel
1,figgers
1,french
1,cloak
1,shoot
1,cane
1,tragedy
1,typewriter
1,threat
1,consent
1,ridge
1,moslem
1,elephant
1,furniture
1,dance
1,hen
1,lip
1,excellence
1,gasket
1,skidway
1,compassion
1,spadeful
1,ewe
1,cave
1,blood
1,close
1,resk
1,matter-of-course
1,blanket
1,tub
1,middle
1,reason
1,appetite
1,siege
1,sin
1,filter
1,romance
1,sword
1,faith
1,tendency
1,bloom
1,court
1,adversity
1,manacle
1,strand
1,leather
1,lieutenant
1,satisfaction
1,stowaway
1,amateur
1,round
1,birch
1,foot
1,cracker
1,scalloping
1,nation
1,y'r
1,grass
1,stranger
1,postman
1,ford
1,credit
1,salt-water
1,restraint
1,junk
1,laboratory
1,notion
1,love
1,barrenness
1,butcher
1,black
1,breakfast
1,opening
1,post-office
1,optic
1,den
1,ink
1,root
1,stride
1,souvenir
1,psalm
1,potion
1,mustang
1,shoe
1,fairy
1,allowance
1,cut
1,desperado
1,tour
1,tobacco
1,aggravate
1,material
1,iron
1,success
1,beekman
1,trout
1,object
1,cadence
1,theater
1,dispatch
1,proceeding
1,smoke
1,fork
1,bid
1,basket
1,garden
1,buckskin
1,rack
1,get
1,process
1,aunt
1,conveyance
1,embodiment
1,band
1,offen-
1,fling
1,aid
1,salmon
1,concert
1,valdez
1,grit
1,conservatory
1,papa
1,honeymoon
1,republic
1,weight
1,quail
1,heaven
1,constitutional
1,tackle
1,refusal
1,hint
1,king
1,rag
1,mange
1,ruling
1,fee
1,generosity
1,bounty
1,menace
1,daguerreotype
1,deposit
1,principle
1,chip
1,fat
1,beast
1,bench
1,league
1,family
1,bullet-in
1,steamship
1,standard
1,lover
1,job
1,protest
1,throat
1,thoroughfare
1,failure
1,apple
1,cardboard
1,eruption
1,phalanx
1,prophecy
1,tool
1,fever
1,englefield
1,gag
1,destiny
1,reader
1,majesty
1,snub
1,nightmare
1,sombrero
1,hansom
1,giovanni
1,absence
1,spoonful
1,chattel
1,pace
1,altitude
1,capture
1,final
1,handcuff
1,skull
1,havin
1,drop
1,silver
1,scissors
1,cod
1,baron
1,carcass
1,role
1,diary
1,consternation
1,niece
1,pocketbook
1,tablecloth
1,bunch
1,quarrel
1,hope
1,army
1,bean
1,squad
1,pass
1,servant
1,boom
1,slaughter-house
1,reputation
1,figure
1,denomination
1,initiative
1,property
1,apron
1,exuberance
1,lord
1,grammar
1,music
1,dummy
1,pupil
1,daughter
1,bedding
1,funnel
1,kid
1,virility
1,last
1,literature
1,westgate
1,snap-shot
1,bandbox
1,commander
1,story-writing
1,well
1,playground
1,lockup
1,stuff
1,stroll
1,favorite
1,finger
1,history
1,gripe
1,manuscript
1,cooperation
1,mode
1,canadian
1,express
1,bark
1,lager
1,well-worn
1,jargon
1,infamy
1,caramba
1,profession
1,taste
1,sheepskin
1,cutlass
1,blinders
1,bale
1,witness
1,dimension
1,pinacoteca
1,culpability
1,clerk
1,picket
1,dalton
1,sphere
1,trick
1,sick
1,parting
1,player
1,sceaux
1,meddler
1,tierney
1,flo
1,frying-pan
1,necklace
1,teasel
1,mazatlan
1,tide
1,connection
1,latin
1,indiscretion
1,mold
1,philosopher
1,lantern
1,ting
1,tintoretto
1,liquor
1,hostility
1,presence
1,physician
1,pop
1,catnap
1,teacher
1,perfumery
1,sally
1,sheet
1,torch
1,dice
1,violet
1,me
1,strategy
1,sleeping
1,violence
1,observatory
1,blow
1,convict
1,youth
1,outing
1,gondola
1,blush
1,frisco
1,clown
1,nourishment
1,fortune
1,brandy
1,warm
1,countess
1,hiding-place
1,pug
1,column
1,creation
1,ruby
1,lopez
1,interior
1,raft
1,temperature
1,fly-fishing
1,reading
1,messenger
1,doughnut
1,surgeon
1,certitude
1,casket
1,extinguisher
1,liking
1,destination
1,route
1,oyster
1,tannery
1,white
1,mistress
1,gun
1,yucatan
1,force
1,tale
1,vehicle
1,shadow
1,cotton
1,equipment
1,aids
1,t'ree
1,bundle
1,nipper
1,block
1,rectangle
1,giovanelli
1,cunning
1,refreshment
1,floridian
1,march
1,couple
1,relish
