count,lemma
144,place
61,care
41,step
39,office
38,advantage
37,action
35,part
33,look
32,""
25,job
24,drug
23,account
22,--
22,risk
21,hand
19,shape
19,seat
18,case
18,position
18,picture
17,course
17,turn
16,stand
15,home
15,leave
15,life
14,trip
14,chance
14,view
14,people
13,form
13,note
13,measure
13,credit
13,toll
12,child
12,issue
12,test
12,call
11,power
11,lot
11,house
10,money
10,shot
10,street
10,walk
10,woman
10,country
10,lesson
9,thing
9,role
9,law
9,world
9,city
9,government
9,fact
9,cut
9,word
9,control
9,charge
9,lead
8,effect
8,responsibility
8,heart
8,ride
8,man
8,wife
8,family
8,refuge
8,court
8,pride
8,run
8,school
8,pain
8,pill
8,company
8,hold
8,interest
7,notice
7,hostage
7,task
7,way
7,business
7,blood
7,swipe
7,war
7,breath
7,stage
7,car
6,matter
6,question
6,side
6,bus
6,work
6,arm
6,advice
6,live
6,friend
6,initiative
6,right
6,space
6,bank
6,tax
6,mother
6,aim
6,shower
6,food
6,baby
6,opportunity
6,pay
6,name
6,stride
6,hospital
6,girl
6,train
6,public
6,amendment
6,end
6,pleasure
5,page
5,root
5,dance
5,base
5,boy
5,room
5,president
5,drink
5,beating
5,glass
5,phone
5,class
5,comfort
5,camera
5,father
5,bow
5,audience
5,subject
5,absence
5,hat
5,stance
5,prisoner
5,state
5,party
5,rest
5,meal
5,final
5,lunch
5,order
5,heat
4,air
4,line
4,fall
4,delivery
4,husband
4,problem
4,point
4,approach
4,cost
4,book
4,campaign
4,dinner
4,precedence
4,situation
4,handful
4,shoe
4,talk
4,site
4,film
4,revenge
4,residence
4,effort
4,kind
4,post
4,general
4,passenger
4,dog
4,reader
4,mind
4,labor
4,emergency
4,plant
4,head
4,rate
4,eye
4,tack
4,town
4,example
4,command
4,photograph
4,boat
4,idea
4,station
4,loan
4,tour
4,cue
4,program
3,shift
3,attitude
3,news
3,trade
3,present
3,front
3,apartment
3,tie
3,voter
3,pressure
3,flight
3,policy
3,middle
3,atmosphere
3,sip
3,hotel
3,exam
3,possession
3,pledge
3,number
3,computer
3,hope
3,human
3,american
3,kid
3,field
3,trouble
3,x-ray
3,ad
3,nap
3,plan
3,vote
3,deduction
3,leg
3,design
3,scene
3,couple
3,restaurant
3,coat
3,hall
3,capital
3,center
3,director
3,storm
3,other
3,ferry
3,road
3,back
3,worker
3,reality
3,body
3,light
3,loss
3,medicine
3,amount
3,coach
3,jog
3,bribe
3,group
3,member
3,market
3,sample
3,inflation
3,series
3,act
3,vacation
3,team
3,security
3,examination
3,curtain
3,fly
3,missile
3,aspect
3,result
3,band
3,machine
3,crisis
3,prison
3,surprise
2,exception
2,cab
2,farmer
2,license
2,touch
2,earth
2,answer
2,offer
2,no
2,son
2,future
2,project
2,wind
2,sex
2,golf
2,tag
2,gun
2,rack
2,potential
2,punishment
2,salt
2,chemistry
2,history
2,park
2,officer
2,farm
2,commission
2,box
2,level
2,retirement
2,multiple-choice
2,hit
2,agency
2,process
2,artist
2,cold
2,direction
2,deficit
2,respirator
2,profit
2,production
2,conservative
2,material
2,glow
2,bacterium
2,detour
2,horror
2,water
2,truth
2,secretary
2,guilt
2,author
2,argument
2,criticism
2,moment
2,change
2,flag
2,giant
2,sail
2,critic
2,sheet
2,manuscript
2,purpose
2,animal
2,youngster
2,plunge
2,underling
2,utes
2,block
2,unemployment
2,beach
2,use
2,sightseeing
2,deputy
2,fiction
2,private
2,pass
2,degree
2,defense
2,politics
2,writing
2,top
2,ground
2,share
2,doctor
2,consumer
2,movie
2,king
2,energy
2,culture
2,leadership
2,past
2,garden
2,edge
2,snooze
2,sleep
2,table
2,fleet
2,sleeping
2,player
2,blow
2,potshot
2,condition
2,evidence
2,resistance
2,duty
2,door
2,mine
2,battle
2,excursion
2,game
2,context
2,standard
2,gas
2,struggle
2,think
2,system
2,advertising
2,editor
2,bush
2,alcohol
2,college
2,organization
2,rod
2,oath
2,bid
2,health
2,republican
2,satisfaction
2,investment
2,half
2,department
2,foot
2,incident
2,meaning
2,wall
2,twa
2,fear
2,duck
2,testimony
2,kickback
2,rock
2,theater
2,official
2,religion
2,vow
2,garbage
2,study
2,break
2,comment
2,podium
2,value
2,acid
2,love
2,breakfast
2,bit
2,citizenship
2,message
2,set
2,investigation
2,sport
2,reporter
2,occasion
2,prize
2,label
2,steer
2,premise
2,plane
2,generation
2,property
2,detail
2,decision
2,suburb
2,blue
2,dispute
2,casualty
2,show
2,satellite
2,music
2,management
2,temperature
2,brother
2,spill
2,dutch
2,fellow
2,god
2,stroll
2,petticoat
2,client
2,attempt
2,term
2,horse
2,industry
2,sake
2,kill
2,wrather
2,flyer
2,land
2,cure
2,convention
2,witness
2,success
2,bicycle
2,unit
2,hunt
2,orchestra
2,executive
2,shelter
2,society
2,governor
2,nader
2,sign
2,victim
2,bottle
2,stock
2,negotiation
2,jump
2,solace
2,relation
2,shoot
2,score
2,quality
2,report
2,drive
2,dose
2,embassy
2,burden
2,student
2,capsule
2,benefit
2,poll
2,opposition
2,election
2,trial
2,face
2,hook
2,chief
2,marriage
2,captive
2,initial
2,parent
2,overdose
1,store
1,opponent
1,sanctuary
1,immigration
1,negra
1,patient
1,coon
1,novelist
1,feminism
1,fox
1,juice
1,temple
1,pound
1,mankind
1,concreteness
1,home-equity
1,jungle
1,shackle
1,over
1,wrist
1,toilet
1,know-how
1,winnebago
1,feisty
1,opera
1,liquor
1,court-appointed
1,physician
1,pavement
1,array
1,catnap
1,walnut
1,shingle
1,radio
1,flu
1,accident
1,flock
1,hose
1,window
1,plotter
1,quip
1,wheel
1,remain
1,deposition
1,aquarium
1,listen
1,gordimer
1,pool
1,kitten
1,semiconductor
1,violence
1,youth
1,deal
1,automobile
1,encouragement
1,sophistication
1,cultivation
1,tape
1,singer
1,circumstance
1,bill
1,studio
1,disc
1,lease
1,amphetamine
1,range
1,contest
1,teddy
1,steam
1,bankruptcy
1,support
1,solemnity
1,interior
1,bathroom
1,neo-conservative
1,mayor
1,therapist
1,museum
1,catholicism
1,percentage
1,overtone
1,captain
1,release
1,mommy
1,abnegation
1,intellectual
1,try
1,integrity
1,liar
1,probers
1,skier
1,collection
1,apparatus
1,white
1,service
1,guy
1,edna
1,argentine
1,horseback
1,force
1,fantasy
1,tale
1,hijacker
1,nameplate
1,vitamin
1,cotton
1,joy
1,type
1,aids
1,information
1,meeting
1,businessman
1,classic
1,bundle
1,recession
1,peo
1,pickup
1,.22-caliber
1,violation
1,ex-agent
1,undergraduate
1,trend
1,fraction
1,march
1,sackful
1,artifact
1,tianity
1,miskitos
1,botkin
1,establishment
1,cleaner
1,repose
1,nationality
1,valium
1,living
1,roll
1,curator
1,decorate
1,toy
1,resolve
1,claim
1,progress
1,ascendance
1,consequence
1,angiogram
1,art
1,wood
1,bounce
1,lick
1,majority
1,revolution
1,stretch
1,sandwich
1,molecule
1,yard
1,accountant
1,unwind
1,sampies
1,statehood
1,vet
1,fitness
1,engineer
1,crash
1,monoxide
1,nego-
1,courtroom
1,oil
1,marathon
1,knife
1,contract
1,mobile
1,inspiration
1,soviet
1,novel
1,expectation
1,murder
1,lump
1,oenology
1,tucci
1,conclusion
1,ice
1,assistant
1,repeat
1,recording
1,instinct
1,rug
1,hammer
1,guerrilla
1,three-game
1,tea
1,double
1,defender
1,koizumi
1,cap
1,bran
1,dear
1,tandem
1,invasion
1,reebok
1,handgun
1,oral
1,personality
1,metroliner
1,rise
1,princess
1,midpoint
1,community
1,possibility
1,viscera
1,fiance
1,chicken
1,pear
1,offense
1,camp
1,talent
1,existence
1,cathedral
1,loeb
1,intermission
1,garb
1,punch
1,thatcherism
1,resonance
1,surroundings
1,basement
1,self-limiting
1,strike
1,football
1,ocean
1,bacteriology
1,rerun
1,administrator
1,shuttle
1,sub
1,accutane
1,nikon
1,spread
1,rank
1,turkey
1,poet
1,gambling
1,mortality
1,anger
1,streamer
1,volume
1,era
1,solar
1,size
1,attack
1,rally
1,diethylstilbestrol
1,eagerness
1,mortgage
1,port
1,journalism
1,offensiveness
1,expert
1,worth
1,marketing
1,collie
1,volcano
1,belief
1,u.s.-backed
1,patent
1,teaspoon
1,candidate
1,anniversary
1,card
1,annexation
1,accomplishment
1,duke
1,salary
1,spring
1,guard
1,person
1,ment
1,saving
1,boater
1,sameness
1,hoover
1,garrison
1,thanks
1,tow
1,moon
1,gold
1,vocabulary
1,science
1,bomb
1,urgency
1,perform
1,dislike
1,chemical
1,arab
1,square
1,primary
1,strength
1,bender
1,brink
1,depreciation
1,factory
1,concrete
1,communism
1,daily
1,substance
1,research
1,interrogation
1,swill
1,barrier
1,long-planned
1,english
1,sun
1,quotation
1,prince
1,mood
1,assault
1,national-news
1,upturn
1,leader
1,antidepressant
1,frustration
1,timber
1,neighborhood
1,pant
1,crayon
1,chastity
1,skolimowski
1,prop
1,fishing
1,aspirin
1,intoxicant
1,region
1,koch
1,don
1,orientation
1,tactic
1,price
1,quiet
1,proportion
1,tylenols
1,skin
1,tranquilizer
1,milestone
1,pistol
1,press
1,diplomacy
1,procession
1,librarian
1,pinch
1,aggregate
1,blame
1,glamour
1,custody
1,monkey
1,recidivism
1,drill
1,kilauea
1,snort
1,taxidermist
1,soldier
1,nurturing
1,extra-strength
1,experience
1,saunter
1,cashier
1,multi-armed
1,recess
1,layoff
1,crisp
1,lack
1,frenchman
1,training
1,stork
1,ballot
1,methodology
1,subcommittee
1,worm
1,lawmaker
1,festival
1,bay
1,correspondent
1,perspective
1,filmmaker
1,telescope
1,mri
1,dairy
1,speed
1,foreground
1,fool
1,ruling
1,swing
1,nose
1,tribe
1,terrorist
1,l-lysine
1,drone
1,friction
1,bitter
1,five-nation
1,consumption
1,deep
1,worshiper
1,staff
1,load
1,crime
1,concern
1,importance
1,budget
1,airway
1,corner
1,israeli
1,suggestion
1,debate
1,tailback
1,involvement
1,lab
1,burger
1,pulse
1,symbol
1,refugee
1,wit
1,tip
1,palace
1,stern
1,margin
1,maternity
1,cohesiveness
1,competition
1,conviction
1,cast
1,special
1,treat
1,nickel
1,discrepancy
1,u-turn
1,kleenex
1,maximum
1,insurance
1,function
1,cafe
1,restriction
1,ideology
1,hygiene
1,rap
1,cudgel
1,proceed
1,specimen
1,style
1,cabecita
1,mini-course
1,ourthe
1,blackand-white
1,laurel
1,settlement
1,visit
1,green
1,hagy
1,pose
1,exposure
1,throat
1,choice
1,moxie
1,continental
1,dark
1,stallone
1,copy
1,inspection
1,whole
1,trust
1,text
1,honor
1,smog
1,pump
1,warhead
1,crowd
1,flavor
1,coup
1,sugar
1,bronze
1,standing
1,curse
1,visitor
1,survivability
1,economics
1,coal
1,cyclone
1,cowboy
1,preference
1,menand
1,university
1,continent
1,reflection
1,lady
1,pounding
1,affront
1,philosophy
1,collapse
1,sinologist
1,carrot
1,mechanism
1,turnoff
1,fruit
1,cover
1,joke
1,screen
1,husting
1,condemnation
1,contrary
1,mink
1,spleen
1,hite
1,disease
1,education
1,rival
1,make
1,selflessness
1,parley
1,enterprise
1,rhetoric
1,combine
1,architect
1,roller-coaster
1,robber
1,usc
1,roach
1,peasant
1,speech
1,fight
1,saber
1,factor
1,particle
1,full-page
1,building
1,yorker
1,pizazz
1,difference
1,questionnaire
1,fuss
1,voice
1,cyanide-laced
1,runway
1,firm
1,blindness
1,say
1,cognizance
1,resnick
1,radar
1,morality
1,ple
1,aircraft
1,catch
1,jalalabad
1,prairie
1,frontier
1,character
1,picnic
1,pancho
1,bear
1,topic
1,warehouse
1,shame
1,banker
1,foursome
1,newspaper
1,antihistamine
1,methodist
1,b-flat
1,goodwill
1,acrylic
1,emission
1,truancy
1,consideration
1,mission
1,machinery
1,inventory
1,walken
1,stroke
1,gowanus
1,coin
1,carbon
1,five-city
1,finance
1,tree
1,cadre
1,arch
1,video
1,trait
1,requisite
1,libretto
1,rifle
1,glance
1,cell
1,bet
1,maker
1,genius
1,hanford
1,estate
1,bite
1,event
1,promise
1,tint
1,oat
1,volun-
1,underarm
1,planning
1,venezuelan
1,airport
1,coloration
1,peace
1,breather
1,tango
1,corporation
1,tumble
1,fry
1,incidence
1,woe
1,crude
1,boulevard
1,butterfly
1,miracle
1,observation
1,employee
1,rose
1,proposal
1,need
1,song
1,battering
1,cobalt
1,corn
1,write-off
1,combination
1,height
1,recklessness
1,stone
1,syphilis
1,enclave
1,extreme
1,freedom
1,barricade
1,disarmament
1,polka
1,method
1,pummelings
1,sky
1,reign
1,gut
1,sword
1,count
1,path
1,passport
1,planet
1,autobiography
1,paint
1,invitation
1,chest
1,ogen
1,inde
1,christa
1,drubbing
1,urn
1,zip
1,ford
1,hockey
1,bureau
1,exit
1,unrest
1,laboratory
1,one
1,section
1,welcome
1,espionage
1,complaint
1,megatrend
1,blandishments
1,magnitude
1,notebook
1,dentist
1,basketball
1,stick
1,chair
1,outbreak
1,ranger
1,priority
1,poke
1,soil
1,loft
1,nature
1,electron
1,close
1,sitcom
1,holiday
1,wave
1,throne
1,pontiff
1,gymnast
1,barbershop
1,employer
1,carriage
1,fluid
1,appetite
1,journal
1,electronics
1,spiral
1,code
1,furniture
1,liberty
1,outboard
1,cycle
1,wartime
1,presidency
1,assassination
1,edition
1,leather
1,barge
1,transfusion
1,bride
1,cadillac
1,nation
1,board
1,supervision
1,bedmate
1,mark
1,stranger
