count,lemma
228,place
63,part
54,possession
39,care
38,leave
32,advantage
27,""
25,view
24,liberty
24,interest
22,account
22,occasion
22,measure
21,notice
20,consideration
19,pleasure
18,hand
17,oath
17,subject
17,pain
16,course
16,step
14,opportunity
13,lead
13,arm
13,country
13,name
13,refuge
13,charge
13,prisoner
12,seat
12,life
11,trouble
10,mind
10,present
10,//
9,character
9,state
9,effect
9,precaution
9,delight
9,war
9,example
9,hold
9,government
8,general
8,pride
8,advice
8,degree
8,note
8,piece
8,opinion
8,number
8,question
8,public
7,work
7,survey
7,english
7,side
7,connection
7,other
7,cultivation
7,stand
7,law
6,man
6,town
6,counsel
6,house
6,word
6,walk
6,root
6,nation
5,courage
5,money
5,body
5,circumstance
5,rise
5,passage
5,power
5,ground
5,field
5,consequence
5,chief
5,colony
5,citizen
5,resolution
5,disease
5,case
5,feeling
5,departure
5,direction
5,turn
5,cognizance
5,position
4,affair
4,heed
4,party
4,history
4,allegiance
4,thing
4,order
4,cause
4,king
4,rest
4,share
4,french
4,indian
4,reader
4,census
4,hatchet
4,progress
4,surprise
4,period
4,substance
4,author
4,form
4,end
4,child
4,volume
4,friend
4,paper
3,burden
3,event
3,aim
3,force
3,greek
3,tobacco
3,chair
3,meal
3,protection
3,station
3,tomahawk
3,crown
3,council
3,property
3,color
3,population
3,quantity
3,whole
3,labor
3,water
3,world
3,letter
3,portion
3,opposition
3,article
3,spring
3,enemy
3,heart
3,offense
3,safety
3,small-pox
3,title
3,condition
3,doctor
3,situation
3,umbrage
3,deliberation
3,mean
3,alarm
3,home
3,publication
3,execution
3,choice
3,school
3,discussion
3,fact
3,report
3,merit
3,credit
3,point
3,hint
3,right
3,idea
3,family
3,exercise
2,pen
2,master
2,distance
2,justice
2,literature
2,copy
2,pay
2,land
2,material
2,quarter
2,iron
2,appearance
2,cup
2,ardor
2,species
2,age
2,sovereign
2,madame
2,river
2,mace
2,manner
2,mouth
2,record
2,food
2,trumpet
2,mother
2,admission
2,description
2,grammar
2,truth
2,people
2,lord
2,vessel
2,head
2,future
2,voyage
2,object
2,fire
2,branch
2,politics
2,style
2,employment
2,necessity
2,permanency
2,missionary
2,existence
2,tone
2,interval
2,use
2,estimate
2,seal
2,good
2,book
2,close
2,province
2,spread
2,rank
2,cruiser
2,lady
2,portrait
2,particle
2,silver
2,audience
2,study
2,settlement
2,definition
2,change
2,precedence
2,sea
2,respect
2,theni
2,fancy
2,breath
2,product
2,examination
2,education
2,health
2,savage
2,person
2,proceeding
2,security
2,trust
2,pound
2,sick
2,gentleman
2,model
2,glance
2,register
2,abode
2,way
2,remainder
2,advance
2,engineer
2,principle
2,trial
2,comfort
2,court
2,rein
2,purse
2,action
2,pocket
2,proof
2,rent
2,responsibility
2,length
2,deal
2,extent
2,matter
2,tip
2,royalist
2,gallery
2,range
2,practice
2,bribe
2,supremacy
2,command
2,table
2,image
2,currency
2,church
2,manuscript
2,duty
2,instance
2,debate
2,phrase
2,complaint
2,cross
2,act
2,indemnity
2,son
2,ship
2,coffee
2,continent
2,neighboring
2,authority
2,argument
2,shakspeare
2,exception
2,library
2,journey
2,belt
2,chance
2,affection
2,risk
2,lodging
2,vengeance
2,value
2,sum
1,purchase
1,outfit
1,thought
1,altitude
1,final
1,animal
1,submission
1,restriction
1,distraction
1,weakness
1,horn
1,lyra
1,praise
1,cudgel
1,writer
1,todd
1,prosperity
1,mask
1,post
1,pause
1,limestone
1,hereafter
1,charter
1,arithmetic
1,russian
1,cod
1,sample
1,herodotus
1,descent
1,writ
1,capacity
1,liriodendron
1,resistance
1,quarrel
1,hope
1,hay
1,army
1,activity
1,clause
1,displeasure
1,business
1,remnant
1,depot
1,cloud
1,utility
1,human
1,chambers
1,sense
1,circle
1,assistance
1,necromancer
1,system
1,instrument
1,slave
1,maiden
1,main
1,lecture
1,denomination
1,union
1,college
1,sixpence
1,reviewer
1,sport
1,sugar
1,spirit
1,silk
1,commonwealth
1,commander
1,outset
1,meaning
1,island
1,lumber
1,pipe
1,heel
1,file
1,proposition
1,boat
1,fund
1,lime
1,canal
1,bark
1,alleviation
1,sures
1,countenance
1,city
1,floor
1,witness
1,nomination
1,actor
1,legendre
1,jives
1,observance
1,picket
1,ifi
1,birth
1,officer
1,bull
1,vote
1,principal
1,sea-breeze
1,lesson
1,improvement
1,store
1,task
1,patient
1,temple
1,dispute
1,comparison
1,petticoat
1,custom
1,performance
1,briton
1,popularity
1,silence
1,opera
1,accommodation
1,box
1,erection
1,sally
1,dice
1,hero
1,connivance
1,hebrew
1,convict
1,beverage
1,struggle
1,clown
1,arsenal
1,side-table
1,support
1,tfte
1,date
1,profile
1,pulaski
1,hunt
1,ridicule
1,empire
1,liking
1,unequals
1,stock
1,content
1,structure
1,intellectual
1,diploma
1,passion
1,route
1,collection
1,white
1,penalty
1,deviation
1,air
1,virtue
1,commission
1,burst
1,mastery
1,cotton
1,scene
1,refreshment
1,march
1,publisher
1,dima
1,tion
1,establishment
1,repose
1,read
1,correctness
1,hat
1,equal
1,chamber
1,abuse
1,look
1,feature
1,benefit
1,capital
1,contract
1,husband
1,gunpowder
1,mobile
1,independent
1,sanctity
1,absorption
1,representative
1,tea
1,partition
1,arrangement
1,storm
1,moment
1,schoolboy
1,neighbor
1,locality
1,childhood
1,princess
1,lie
1,dwell
1,corps
1,laborer
1,shine
1,inquiry
1,physiologist
1,think
1,perusal
1,spoil
1,sub
1,theme
1,detail
1,management
1,attack
1,desert
1,road
1,sting
1,port
1,rip
1,infant
1,strain
1,congaree
1,patent
1,anecdote
1,repast
1,stu
1,license
1,remittance
1,hranch
1,bosom
1,transportation
1,growth
1,rover
1,gift
1,evil
1,factory
1,monk
1,administration
1,usher
1,whitefish
1,memoir
1,visit
1,intelligence
1,scat
1,office
1,knowledge
1,herculaneum
1,pursuit
1,cognisance
1,rapids
1,colquhoun
1,rule
1,preference
1,denial
1,enumeration
1,imagination
1,valley
1,moderation
1,regiment
1,po
1,supper
1,secretary
1,suffering
1,mythology
1,happiness
1,philosophy
1,apparel
1,hunter
1,catholic
1,sight
1,add
1,clothes
1,leaf
1,bail
1,cover
1,bucket
1,mountain
1,destruction
1,glimpse
1,beef
1,condemnation
1,circulation
1,dudgeon
1,exposure
1,debarkation
1,death
1,warmth
1,produce
1,peculiarity
1,companion
1,nose
1,speaker
1,cargo
1,deck
1,oration
1,custody
1,gaze
1,orchestra
1,despotism
1,nausea
1,speech
1,gold
1,fight
1,bitt
1,girdle
1,expression
1,bard
1,mathematics
1,poet
1,cost
1,precedency
1,hypocrisy
1,exchange
1,piano
1,doubloon
1,prevention
1,individual
1,territory
1,translation
1,trade
1,brood
1,conformity
1,minister
1,controversy
1,planter
1,colonel
1,frontier
1,calculation
1,wood
1,delivery
1,siesta
1,topic
1,elector
1,shame
1,p.-a
1,magistrate
1,compass
1,contest
1,newspaper
1,custom-house
1,omen
1,increase
1,spareness
1,knot
1,seminary
1,feud
1,no
1,fort
1,slander
1,portage
1,conversion
1,rate
1,gospel
1,baggage
1,acknowledgment
1,borea
1,chairman
1,commerce
1,mass
1,generation
1,guaranty
1,spear
1,chapter
1,spaniard
1,flag
1,language
1,error
1,wheat
1,negro
1,beginning
1,lodge
1,prerogative
1,consignee
1,magazine
1,candle
