count,lemma
185,care
116,hand
110,place
70,""
40,seat
38,man
37,arm
36,part
34,money
33,look
32,child
32,hold
32,interest
31,step
31,hat
27,train
25,advantage
23,order
23,thing
22,possession
22,home
22,turn
22,chance
21,charge
20,word
20,note
19,mother
19,house
18,horse
18,way
18,case
18,trouble
17,boy
16,girl
16,life
16,car
16,breath
15,walk
15,medicine
15,book
15,heart
15,rest
14,notice
14,paper
14,refuge
13,aim
13,chair
13,side
13,room
12,dinner
11,trip
11,leave
11,coat
11,head
11,friend
11,stand
11,father
10,lot
10,letter
10,people
10,bed
10,nap
10,wife
10,pain
10,tea
10,risk
10,baby
9,dog
9,box
9,bread
9,fancy
9,pleasure
9,copy
9,cigar
9,boarder
9,courage
9,account
9,drink
9,cold
9,bit
9,sleep
8,town
8,stock
8,pocket
8,journey
8,pony
8,business
8,picture
8,matter
8,road
8,heed
7,basket
7,think
7,job
7,world
7,bill
7,stitch
7,lake
7,luncheon
7,other
7,love
7,package
7,handful
7,supper
7,cigarette
7,brother
6,advice
6,work
6,back
6,hint
6,river
6,water
6,clothes
6,country
6,eye
6,city
6,pani
6,right
6,foot
6,pull
6,pride
6,vow
6,gift
6,cut
6,woman
6,action
5,ring
5,stable
5,store
5,face
5,hotel
5,lead
5,rose
5,view
5,photograph
5,line
5,ride
5,board
5,sin
5,corner
5,bet
5,engine
5,stride
5,bottle
5,you
5,carriage
5,command
5,land
5,piece
5,cap
5,opportunity
5,course
5,sister
5,youth
5,trail
5,shoulder
5,notion
5,pencil
5,tablet
5,daughter
5,key
5,watch
5,rope
4,horn
4,wand
4,passage
4,fire
4,god
4,meal
4,cross
4,sight
4,houseboat
4,pouch
4,occasion
4,consequence
4,pen
4,street
4,form
4,fight
4,story
4,root
4,run
4,melon
4,party
4,mine
4,departure
4,liberty
4,bosom
4,desk
4,fellow
4,leg
4,shoe
4,school
4,boat
4,candle
4,stocking
4,gold
4,glass
4,dance
4,warning
4,stump
4,bath
4,cry
4,name
4,handkerchief
4,hose
4,trunk
4,position
4,ship
4,end
4,stroll
4,nozzle
4,surprise
4,stranger
4,ease
4,side-show
4,counsel
3,cane
3,constans
3,camp
3,offense
3,hook
3,edge
3,steamer
3,can
3,prisoner
3,guest
3,barn
3,hero
3,sea
3,peek
3,herd
3,observation
3,flower
3,strength
3,ground
3,indian
3,neighbor
3,fence
3,deal
3,direction
3,shape
3,service
3,spell
3,rein
3,sir
3,patent
3,moment
3,thread
3,knee
3,inventory
3,wood
3,umbrella
3,leetle
3,bridle
3,fact
3,glance
3,cabin
3,sign
3,lesson
3,pair
3,cause
3,parcel
3,show
3,canoe
3,forward
3,keer
3,cup
3,farewell
3,credit
3,farm
3,power
3,bunch
3,shot
3,oath
3,number
3,fall
3,earnest
3,suit
3,cottage
3,death
3,nerve
3,cake
3,sample
3,lamp
3,guard
3,size
3,red
3,finger
3,wing
3,check
3,chapter
3,cat
3,floor
3,good
3,provision
3,dress
3,leap
3,seed
3,son
3,grip
3,air
3,company
3,window
3,note-book
3,table
3,family
3,sting
2,gardener
2,chauffeur
2,half
2,swindler
2,vessel
2,voyage
2,front
2,vest
2,theme
2,battle
2,meaning
2,grape
2,exception
2,fan
2,beauty
2,ass
2,stuff
2,pin
2,wrist
2,reservation
2,start
2,card
2,whirl
2,pond
2,neighboring
2,wind
2,distance
2,hospital
2,affair
2,station
2,civilization
2,manuscript
2,brain
2,hitch
2,wall
2,oar
2,violin
2,swig
2,sun
2,degree
2,witch
2,idea
2,thumb
2,county
2,close
2,balance
2,chum
2,blanket
2,pad
2,tree
2,responsibility
2,light
2,cook
2,pan
2,beer
2,grit
2,captive
2,coffee
2,papa
2,self
2,pistol
2,glove
2,bracelet
2,neck
2,washing
2,religion
2,dignity
2,resolution
2,cure
2,envelope
2,tabby
2,cemetery
2,breast
2,plate
2,patient
2,exercise
2,belle
2,purse
2,fat
2,sketch
2,beast
2,precaution
2,doll
2,jump
2,shelter
2,silence
2,gentleman
2,tip
2,detective
2,pail
2,leather
2,devil
2,wheel
2,sheet
2,load
2,pool
2,hedge
2,punishment
2,bribe
2,star
2,locket
2,dare
2,round
2,throat
2,pity
2,conductor
2,alarm
2,boss
2,fear
2,consideration
2,rain
2,lunch
2,honey
2,kind
2,general
2,towel
2,fold
2,trust
2,quarter
2,rail
2,outfit
2,well-earned
2,slave
2,bag
2,madame
2,gun
2,tone
2,smile
2,salt
2,joy
2,pause
2,stair
2,belt
2,axe
2,drop
2,lady
2,silver
2,turk
2,question
2,tail
2,hill
2,confidence
2,marshal
2,diary
2,read
2,roll
2,offer
2,knitting
2,forefinger
2,abode
2,vacation
2,revolver
2,tin
2,pay
2,match
2,quarrel
2,puppy
2,fer
2,wallet
2,burden
2,peep
2,effort
2,spite
2,sock
2,bearing
2,food
2,husband
2,sense
2,servant
2,address
2,share
2,lump
2,magician
2,crack
2,traveling
2,triumph
2,french
2,gonzalvo
2,present
2,rowboat
2,tramp
2,egg
2,rosary
2,bite
2,cloak
2,american
2,storm
2,disciple
2,potato
2,truth
2,fly
2,stick
2,cadet
2,fishin
2,gilpin
2,property
2,lord
2,energy
2,office
2,truslow
2,down
2,tillman
2,song
2,flight
2,pot
2,dish
2,soul
2,stool
2,faith
2,sword
2,path
2,satisfaction
2,strap
2,roof
1,melanctha
1,outside
1,hair
1,bee
1,strain
1,village
1,morty
1,seaside
1,telegram
1,spring
1,license
1,babe
1,sophy
1,robe
1,ribbon
1,sex
1,affliction
1,dah
1,law
1,situation
1,readin
1,lighter
1,square
1,worker
1,evil
1,elmer
1,trieste
1,lodging
1,war
1,pantaloons
1,manager
1,phase
1,gulp
1,yawn
1,broom
1,doctor
1,dorman
1,piglet
1,sentence
1,neighborhood
1,headquarters
1,porch
1,body
1,excursion
1,fishing
1,subscription
1,wiv
1,remedy
1,bread-and-butter
1,butt
1,proportion
1,han
