count,lemma
423,place
106,part
91,care
79,form
57,account
53,advantage
42,""
28,interest
28,step
25,course
25,position
25,job
24,view
24,action
22,chance
22,name
21,pain
21,man
21,charge
21,case
20,consideration
19,risk
18,wife
17,example
17,notice
17,work
16,hand
16,child
16,life
15,turn
14,oath
14,hold
14,home
13,field
13,attitude
13,other
12,matter
12,measure
12,water
12,order
12,side
12,way
11,office
11,opportunity
11,stand
11,possession
11,whole
11,money
11,root
10,activity
10,land
10,toll
10,shape
10,fact
10,government
10,city
10,line
10,thing
10,refuge
9,war
9,family
9,lead
9,trouble
9,function
9,end
9,food
9,loss
9,prisoner
9,problem
9,country
9,measurement
9,pride
8,person
8,animal
8,amount
8,word
8,group
8,arm
8,society
8,people
8,bank
8,plant
8,air
8,human
8,point
7,trip
7,train
7,organization
7,party
7,ship
7,evidence
7,road
7,paper
7,product
7,gold
7,sea
7,effect
7,state
7,material
7,situation
7,book
7,piece
7,standard
7,general
7,individual
6,body
6,interval
6,father
6,stock
6,service
6,process
6,history
6,machine
6,meaning
6,railroad
6,route
6,set
6,task
6,business
6,lesson
6,origin
6,greek
6,precaution
6,number
6,character
6,question
6,liberty
6,duty
6,surprise
6,heart
5,story
5,culture
5,period
5,property
5,friend
5,buyer
5,woman
5,world
5,//
5,look
5,car
5,role
5,mother
5,good
5,system
5,cost
5,experience
5,aspect
5,picture
5,communion
5,boat
5,quantity
5,battle
5,king
5,power
5,room
5,bottle
5,pound
5,company
5,lot
5,kind
5,volume
5,control
5,command
5,walk
5,court
5,delight
5,nature
5,church
5,foot
5,use
5,cognizance
5,circulation
5,issue
5,management
5,house
4,occasion
4,milk
4,proof
4,cross
4,vacation
4,president
4,commission
4,precedence
4,photograph
4,town
4,army
4,percentage
4,building
4,rate
4,value
4,affair
4,direction
4,market
4,note
4,level
4,operation
4,yard
4,rifle
4,center
4,alarm
4,cash
4,province
4,curtain
4,scientist
4,member
4,result
4,shelter
4,enemy
4,public
4,test
4,force
4,need
4,institution
4,congress
4,idea
4,pleasure
3,hat
3,street
3,german
3,stride
3,appearance
3,courage
3,leave
3,revenge
3,authority
3,capital
3,live
3,oratory
3,formula
3,contract
3,illustration
3,floor
3,change
3,instruction
3,slave
3,area
3,profit
3,nerve
3,sales
3,knowledge
3,plan
3,leadership
3,residence
3,right
3,ceremony
3,seat
3,sight
3,clothes
3,hill
3,essence
3,program
3,expenditure
3,bed
3,dress
3,bullion
3,half
3,appeal
3,tax
3,sort
3,mint
3,mouth
3,protection
3,brother
3,sheet
3,weight
3,future
3,stage
3,manufacturing
3,entertainment
3,blood
3,roman
3,examination
3,holiday
3,boot
3,glance
3,school
3,cell
3,negro
3,beginning
3,guard
3,ground
3,top
3,energy
3,aim
3,observation
3,law
3,title
3,rest
3,support
3,chemical
3,article
3,meat
3,tree
3,argument
3,temperature
3,count
3,brush
3,failure
3,english
3,degree
3,bone
3,characteristic
3,offer
3,significance
3,difficulty
3,custody
3,light
3,marriage
3,son
3,price
3,engineer
3,permission
3,pressure
3,bird
3,study
3,reaction
3,meal
3,report
3,breath
3,wage
3,instrument
3,training
3,allegiance
3,share
3,advice
3,relation
3,brain
3,couple
3,present
3,delivery
3,profession
3,responsibility
3,difference
3,interpretation
3,buy
3,theory
3,track
3,letter
3,will
3,exercise
3,load
2,age
2,cleaning
2,civilization
2,construction
2,dinner
2,detail
2,pen
2,slice
2,territory
2,unit
2,frazer
2,can
2,habit
2,box
2,scope
2,radio
2,firm
2,legislator
2,selection
2,gas
2,lip
2,sleeper
2,abode
2,mathematics
2,tin
2,mount
2,store
2,credit
2,troop
2,shear
2,fight
2,monarch
2,surroundings
2,enterprise
2,mineral
2,index
2,jurisdiction
2,horse
2,leader
2,section
2,tank
2,earth
2,content
2,length
2,production
2,understanding
2,instance
2,mind
2,peninsula
2,waiter
2,plate
2,pile
2,space
2,tube
2,gathering
2,cow
2,context
2,wood
2,dog
2,soil
2,disease
2,spouse
2,survey
2,shield
2,shoot
2,joke
2,custom
2,pagan
2,variety
2,shop
2,wing
2,calf
2,sense
2,atom
2,thought
2,prince
2,surplus
2,cover
2,ram
2,label
2,beer
2,celebration
2,statement
2,happiness
2,proportion
2,maximum
2,election
2,thicket
2,fabric
2,scale
2,imagination
2,motion
2,feast
2,possibility
2,metal
2,revolution
2,blank
2,assault
2,payment
2,vitamin
2,drink
2,washing
2,supply
2,pass
2,religion
2,coach
2,airplane
2,loyalty
2,axiom
2,draw
2,joy
2,reform
2,vote
2,type
2,freight
2,movement
2,rise
