0,1,2,3
[;RMIDDLE],middle,,
[;USNOOZE],snooze,,
[AMERICANISATION],americanise,,
[AMERICANIZATION],americanize,,
[ANGLICISATION],anglicise,,
[ANGLICIZATION],anglicize,,
[ASSUMPTION],assume,,
[CALL],call,,
[CATHOLICISM],catholicize,,
[CHARLESTON],Charleston,,
[CHRISTIANISATION],Christianise,,
[CHRISTIANIZATION],Christianize,,
[COMMUNION],commune,,
[CREATION],create,,
[CROWN],crown,coronate,
[CRUSADE],crusade,,
[EUROPEANISATION],europeanise,,
[EUROPEANIZATION],europeanize,,
[FTP],FTP,,
[FALL],fall,,
[GOOGLE],google,,
[MAPQUEST],mapquest,,
[OK],O.K.,,
[PRESIDENT],preside,,
[RESTORATION],restore,,
[STALINISATION],stalinise,,
[STALINIZATION],stalinize,,
[TRANSFIGURATION],transfigure,,
[X-RAYING],x-ray,,
[ABANDONMENT],abandon,,
[ABANDONMENT],abandon,,
[ABANDONMENT],abandon,,
[ABASEMENT],abase,,
[ABASHMENT],abash,,
[ABATEMENT],abate,,
[ABBREVIATION],abbreviate,,
[ABDICATION],abdicate,,
[ABDICATION],abdicate,,
[ABDUCTION],abduct,,
[ABDUCTION],abduct,,
[ABERRANCE],aberrate,,
[ABERRATION],aberrate,,
[ABERRATION],aberrate,,
[ABERRATION],aberrate,,
[ABETMENT],abet,,
[ABETTAL],abet,,
[ABHORRENCE],abhor,,
[ABIDANCE],abide,,
[ABIDANCE],abide,,
[ABJURATION],abjure,,
[ABLATION],ablate,,
[ABLATION],ablate,,
[ABNEGATION],abnegate,,
[ABNEGATION],abnegate,,
[ABOLISHMENT],abolish,,
[ABOLITION],abolish,,
[ABOMINATION],abominate,,
[ABOMINATION],abominate,,
[ABORTION],abort,,
[ABORTION],abort,,
[ABOUT-FACE],about-face,,
[ABOUT-FACE],about-face,,
[ABRASION],abrade,,
[ABRASION],abrade,,
[ABRASION],abrade,,
[ABREACTION],abreact,,
[ABRIDGEMENT],abridge,,
[ABROGATION],abrogate,,
[ABSCISSION],abscise,,
[ABSCONDMENT],abscond,,
[ABSENCE],absent,,
[ABSOLUTION],absolve,,
[ABSOLUTION],absolve,,
[ABSORPTION],absorb,,
[ABSORPTION],absorb,,
[ABSORPTION],absorb,,
[ABSORPTION],absorb,,
[ABSORPTION],absorb,,
[ABSTRACT],abstract,,
[ABSTRACT],abstract,,
[ABSTRACTION],abstract,,
[ABSTRACTION],abstract,,
[ABUSE],abuse,,
[ABUSE],abuse,,
[ABUSE],abuse,,
[ABUTMENT],abut,,
[ACCENT],accentuate,,
[ACCENT],accentuate,,
[ACCENT],accentuate,,
[ACCENT],accentuate,,
[ACCENT],accentuate,,
[ACCENTUATION],accentuate,,
[ACCENTUATION],accentuate,,
[ACCEPTANCE],accept,,
[ACCEPTANCE],accept,,
[ACCEPTANCE],accept,,
[ACCEPTANCE],accept,,
[ACCEPTATION],accept,,
[ACCEPTATION],accept,,
[ACCEPTATION],accept,,
[ACCESS],access,,
[ACCESSION],accede,,
[ACCESSION],access,accede,
[ACCLAIM],acclaim,,
[ACCLAMATION],acclaim,,
[ACCLIMATION],acclimate,,
[ACCLIMATISATION],acclimatise,,
[ACCLIMATIZATION],acclimatize,,
[ACCOMMODATION],accommodate,,
[ACCOMMODATION],accommodate,,
[ACCOMMODATION],accommodate,,
[ACCOMMODATION],accommodate,,
[ACCOMPANIMENT],accompany,,
[ACCOMPANIMENT],accompany,,
[ACCOMPANIMENT],accompany,,
[ACCOMPLISHMENT],accomplish,,
[ACCORDANCE],accord,,
[ACCOUNT],account,,
[ACCOUNT],account,,
[ACCOUNTING],account,,
[ACCOUNTING],account,,
[ACCOUNTING],account,,
[ACCOUNTING],account,,
[ACCREDITATION],accredit,,
[ACCRETION],accrete,,
[ACCRETION],accrete,,
[ACCRUAL],accrue,,
[ACCRUEMENT],accrue,,
[ACCULTURATION],acculturate,,
[ACCUMULATION],accumulate,,
[ACCUSAL],accuse,,
[ACCUSATION],accuse,,
[ACCUSATION],accuse,,
[ACE],ace,,
[ACETYLATION],acetylate,,
[ACHE],ache,,
[ACHIEVEMENT],achieve,,
[ACHING],ache,,
[ACIDIFICATION],acidify,,
[ACKNOWLEDGMENT],acknowledge,,
[ACKNOWLEDGMENT],acknowledge,,
[ACKNOWLEDGMENT],acknowledge,,
[ACQUAINTANCE],acquaint,,
[ACQUIESCENCE],acquiesce,,
[ACQUIESCENCE],acquiesce,,
[ACQUIRING],acquire,,
[ACQUISITION],acquire,,
[ACQUISITION],acquire,,
[ACQUISITION],acquire,,
[ACQUITTAL],acquit,,
[ACT],act,,
[ACT],act,,
[ACTING],act,,
[ACTION],act,,
[ACTION],act,,
[ACTION],action,,
[ACTIVATION],activate,,
[ACTIVATION],activate,,
[ACTUALISATION],actualise,,
[ACTUALIZATION],actualize,,
[ACTUATION],actuate,,
[ACUMEN],acuminate,,
[AD-LIB],ad-lib,,
[ADAPTATION],adapt,,
[ADAPTION],adapt,,
[ADDICTION],addict,,
[ADDICTION],addict,,
[ADDITION],add,,
[ADDITION],add,,
[ADDRESS],address,,
[ADDRESS],address,,
[ADDRESS],address,,
[ADDRESS],address,,
[ADDRESS],address,,
[ADDUCTION],adduct,,
[ADHESION],adhere,,
[ADJOURNMENT],adjourn,,
[ADJOURNMENT],adjourn,,
[ADJUNCTION],adjoin,,
[ADJURATION],adjure,,
[ADJUSTMENT],adjust,,
[ADJUSTMENT],adjust,,
[ADJUSTMENT],adjust,,
[ADJUSTMENT],adjust,,
[ADJUSTMENT],adjust,,
[ADMINISTRATION],administer,,
[ADMINISTRATION],administer,,
[ADMIRATION],admire,,
[ADMISSION],admit,,
[ADMISSION],admit,,
[ADMISSION],admit,,
[ADMIXTURE],admix,,
[ADMONISHMENT],admonish,,
[ADMONITION],admonish,,
[ADMONITION],admonish,,
[ADOLESCENCE],adolesce,,
[ADOPTION],adopt,,
[ADOPTION],adopt,,
[ADOPTION],adopt,,
[ADORNMENT],adorn,,
[ADSORPTION],adsorb,,
[ADVANCE],advance,,
[ADVANCE],advance,,
[ADVANCE],advance,,
[ADVANCE],advance,,
[ADVANCEMENT],advance,,
[ADVANCEMENT],advance,,
[ADVANCEMENT],advance,,
[ADVECTION],advect,,
[ADVENTURE],adventure,,
[ADVERB],adverbial,,
[ADVERB],adverbial,,
[ADVERBIAL],adverbial,,
[ADVERTENCE],advert,,
[ADVERTENCY],advert,,
[ADVERTISEMENT],advertise,,
[ADVERTISING],advertise,,
[ADVERTISING],advertise,,
[ADVERTIZEMENT],advertize,,
[ADVISEMENT],advise,,
[ADVISORY],advise,,
[ADVOCACY],advocate,,
[AERATION],aerate,,
[AERATION],aerate,,
[AEROSOL],aerosolize,aerosolise,
[AESTIVATION],aestivate,,
[AFFECT],affect,,
[AFFILIATION],affiliate,,
[AFFILIATION],affiliate,,
[AFFIRMATION],affirm,,
[AFFIRMATION],affirm,,
[AFFIRMATION],affirm,,
[AFFIX],affix,,
[AFFIXATION],affix,,
[AFFIXATION],affix,,
[AFFIXATION],affix,,
[AFFLICTION],afflict,,
[AFFLICTION],afflict,,
[AFFORESTATION],afforest,,
[AFFRIGHT],affright,,
[AFFRONT],affront,,
[AGGLUTINATION],agglutinate,,
[AGGLUTINATION],agglutinate,,
[AGGRANDISEMENT],aggrandise,,
[AGGRANDIZEMENT],aggrandize,,
[AGGRAVATION],aggravate,,
[AGGRAVATION],aggravate,,
[AGGRAVATION],aggravate,,
[AGGRESSION],aggress,,
[AGGRESSION],aggress,,
[AGONY],agonize,agonise,
[AGONY],agonise,,
[AGREEMENT],agree,,
[AGREEMENT],agree,,
[AGREEMENT],agree,,
[AGREEMENT],agree,,
[AID],aid,,
[AILMENT],ail,,
[AIM],aim,,
[AIM],aim,,
[AIM],aim,,
[AIR],air,,
[AIRLIFT],airlift,,
[AIRMAIL],airmail,,
[ALARM],alarm,,
[ALCHEMY],alchemize,,
[ALERT],alert,,
[ALERT],alert,,
[ALERT],alert,,
[ALIBI],alibi,,
[ALIBI],alibi,,
[ALIGNMENT],align,,
[ALIMENTATION],aliment,,
[ALLEGEMENT],allege,,
[ALLEGORY],allegorize,allegorise,
[ALLEGORY],allegorize,allegorise,
[ALLEGORY],allegorize,allegorise,
[ALLEVIATION],alleviate,,
[ALLEVIATION],alleviate,,
[ALLIANCE],ally,,
[ALLITERATION],alliterate,,
[ALLOCATION],allocate,,
[ALLOCATION],allocate,,
[ALLOCATION],allocate,,
[ALLOTMENT],allot,,
[ALLOWANCE],allowance,allow,
[ALLOWANCE],allow,,
[ALLUREMENT],allure,,
[ALLUSION],allude,,
[ALPHABET],alphabetize,alphabetise,
[ALPHABETIZATION],alphabetize,,
[ALTERATION],alter,,
[ALTERATION],alter,,
[ALTERNATION],alternate,,
[AMAZEMENT],amaze,,
[AMBITION],ambition,,
[AMBLE],perambulate,ambulate,
[AMBULATION],ambulate,,
[AMBUSCADE],ambuscade,,
[AMBUSH],ambush,,
[AMELIORATION],ameliorate,,
[AMENDMENT],amend,,
[AMENDMENT],amend,,
[AMERCEMENT],amerce,,
[AMMONIFICATION],ammonify,,
[AMNESTY],amnesty,,
[AMNESTY],amnesty,,
[AMNESTY],amnesty,,
[AMORTISATION],amortise,,
[AMORTIZATION],amortize,,
[AMOUNT],amount,,
[AMPUTATION],amputate,,
[AMPUTATION],amputate,,
[AMUSEMENT],amuse,,
[AMUSEMENT],amuse,,
[ANAGRAM],anagrammatize,anagrammatise,
[ANALOGY],analogize,analogise,
[ANALOGY],analogize,analogise,
[ANALYSIS],analyze,,
[ANALYSIS],analyze,,
[ANALYSIS],analyze,,
[ANATHEMA],anathematize,,
[ANATHEMATISATION],anathematise,,
[ANATHEMATIZATION],anathematize,,
[ANATOMY],anatomize,anatomise,
[ANATOMY],anatomize,anatomise,
[ANCHOR],anchor,,
