0,1,2,3
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;R],,,
[;RCENTER_OF_ATTENTION],,,
[;RCENTER_OF_IMMERSION],,,
[;RCHEQUING_ACCOUNT],,,
[;RCURRENT_ACCOUNT],,,
[;RESSENCE],,,
[;RMIDDLE],middle,,
[;RPOGEY],,,
[;U],,,
[;U],,,
[;U],,,
[;U],,,
[;U],,,
[;U],,,
[;U],,,
[;UPRINCETON_WORDNET],,,
[;USNOOZE],snooze,,
[@(EITHEROFTWOPUNCTUATIONMARKS(OR],,,
[ABERDEEN],,,
[ABERDEEN],,,
[ABERDEEN],,,
[ABERDEEN],,,
[ADVENTISM],,,
[AFGHAN],,,
[AFGHANI],,,
[AFGHANISTAN],,,
[AFRIKAANS],,,
[ALASKA],,,
[ALBANIA],,,
[ALBANIAN],,,
[ALGERIA],,,
[ALGONKIAN],,,
[ALGONQUIN],,,
[ALPINISM],,,
[ALSACE],,,
[ALTAIC],,,
[AMERICA],,,
[AMERICAN],,,
[AMERICANISATION],americanise,,
[AMERICANIZATION],americanize,,
[AMERIND],,,
[AMHARIC],,,
[ANABAPTISM],,,
[ANDALUSIA],,,
[ANGLICISATION],anglicise,,
[ANGLICIZATION],anglicize,,
[ANGLO-SAXON],,,
[ANGLOPHILIA],,,
[ANGLOPHILIA],,,
[ANGLOPHOBIA],,,
[ANGLOPHOBIA],,,
[ANGOLA],,,
[ANGUILLA],,,
[ANTARCTIC],,,
[ANTIGUA],,,
[APOCALYPSE],,,
[APOCRYPHA],,,
[APPALACHIA],,,
[ARABIA],,,
[ARABIC],,,
[ARABIC_NUMERAL],,,
[ARABIC_NUMERAL],,,
[ARAM],,,
[ARAMAIC],,,
[ARAWAK],,,
[ARCTIC],,,
[ARGENTINA],,,
[ARGOS],,,
[ARIANISM],,,
[ARIANISM],,,
[ARMENIA],,,
[ARMENIAN],,,
[ARMENIAN],,,
[ARMINIANISM],,,
[ASSAMESE],,,
[ASSUMPTION],assume,,
[ATHANASIANISM],,,
[ATHANASIANISM],,,
[ATHENS],,,
[ATHENS],,,
[ATHENS],,,
[ATTIC],,,
[AUSTRALASIA],,,
[AUSTRALIA],,,
[AUSTRALIAN],,,
[AUSTRIA],,,
[AUSTRONESIA],,,
[AUSTRONESIAN],,,
[AVESTA],,,
[AVESTAN],,,
[AVESTAN],,,
[AZERBAIJANI],,,
[BABYLON],,,
[BAHAMAS],,,
[BALTIC],,,
[BANTU],,,
[BARBADOS],,,
[BARBADOS],,,
[BAVARIA],,,
[BEETHOVEN],,,
[BELARUS],,,
[BELARUSIAN],,,
[BELGIUM],,,
[BENGALI],,,
[BERLIN],,,
[BIBLE],,,
[BOEOTIA],,,
[BOHEMIA],,,
[BOLIVIA],,,
[BOOK],,,
[BOSNIA],,,
[BRAZIL],,,
[BRITAIN],,,
[BROBDINGNAG],,,
[BRONX_CHEER],,,
[BRUNEI],,,
[BUDDHISM],,,
[BULGARIA],,,
[BULGARIAN],,,
[BURMESE],,,
[BURUNDI],,,
[CALCUTTA],,,
[CALIFORNIA],,,
[CALL],call,,
[CALVINISM],,,
[CAMBODIA],,,
[CAMBRIA],,,
[CAMEROON],,,
[CANADA],,,
[CAPPADOCIA],,,
[CARTHAGE],,,
[CATALAN],,,
[CATALONIA],,,
[CATHOLICISM],catholicize,,
[CAUCASIA],,,
[CAUCASUS],,,
[CELTIC],,,
[CHAD],,,
[CHALDEA],,,
[CHALDEA],,,
[CHARLESTON],Charleston,,
[CHARTISM],,,
[CHILE],,,
[CHIOS],,,
[CHRISTIAN_BIBLE],,,
[CHRISTIANISATION],Christianise,,
[CHRISTIANITY],,,
[CHRISTIANIZATION],Christianize,,
[CHRISTOLOGY],,,
[CHRISTOLOGY],,,
[COLOMBIA],,,
[COLONY],,,
[COMMUNION],commune,,
[CONGREGATIONALISM],,,
[CONTINENT],,,
[COPTIC],,,
[CORINTH],,,
[CORSICA],,,
[CORSICA],,,
[COSTA_RICA],,,
[CREATION],create,,
[CROATIA],,,
[CROWN],crown,coronate,
[CRUSADE],crusade,,
[CUBA],,,
[CUBA],,,
[CYPRUS],,,
[CYRILLIC],,,
[CZECH],,,
[CZECHOSLOVAKIA],,,
[DALMATIA],,,
[DALTONISM],,,
[DANISH],,,
[DELPHI],,,
[DEMOTIC],,,
[DIPYLON],,,
[DJIBOUTI],,,
[DONATISM],,,
[EARTH],,,
[EAST_AFRICA],,,
[EAST_INDIA],,,
[EBONICS],,,
[ECUADOR],,,
[EGYPT],,,
[EGYPT],,,
[EGYPTIAN],,,
[EGYPTOLOGY],,,
[EL_SALVADOR],,,
[ELYSIUM],,,
[ENGLAND],,,
[ENGLISH],,,
[ENGLISH],,,
[ERITREA],,,
[ESTONIA],,,
[ESTONIAN],,,
[ETHIOPIA],,,
[EUCHARIST],,,
[EUROCENTRISM],,,
[EUROPEANISATION],europeanise,,
[EUROPEANIZATION],europeanize,,
[FTP],FTP,,
[FALL],fall,,
[FIJI],,,
[FIJIAN],,,
[FILIPINO],,,
[FINNISH],,,
[FLEMISH],,,
[FORMOSA],,,
[FRISIA],,,
[GAELIC],,,
[GALILEE],,,
[GALLOWAY],,,
[GAMBIA],,,
[GEORGIA],,,
[GEORGIA],,,
[GERMAN],,,
[GERMANIC],,,
[GHANA],,,
[GIBRALTAR],,,
[GLASGOW],,,
[GOOD_BOOK],,,
[GOOGLE],google,,
[GOTHIC],,,
[GOTHIC],,,
[GOTHIC_ROMANCE],,,
[GRAND_DUCHY_OF_LUXEMBOURG],,,
[GREEK],,,
[GRENADA],,,
[GUATEMALA],,,
[GUINEA],,,
[HAITI],,,
[HAWAII],,,
[HAWAII],,,
[HAWAIIAN],,,
[HEAVEN],,,
[HEAVEN],,,
[HEBREW],,,
[HEBRIDES],,,
[HELL],,,
[HELL],,,
[HELLENIC],,,
[HELLENISM],,,
[HIGHLANDS],,,
[HINDI],,,
[HINDUSTANI],,,
[HISPANIOLA],,,
[HOLLAND],,,
[HOLY_SACRAMENT],,,
[HOLY_SCRIPTURE],,,
[HOLY_WRIT],,,
[HUNGARY],,,
[IBERIA],,,
[ICELAND],,,
[ICELAND],,,
[INDIA],,,
[INDONESIA],,,
[INFERNO],,,
[IRAN],,,
[IRANIAN],,,
[IRELAND],,,
[IRELAND],,,
[IRISH],,,
